field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	additive_destinations	remove_from_current_field	review_required	action_class	row_count	reason	expected_semantic_classes
Environment_Local_Scale_SD	gut/fecal local context	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	407314	unresolved:no deterministic semantic component	care_setting|environment_local_scale
Environment_Medium_SD	marine	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	40376	unresolved:no deterministic semantic component	environment_medium
Sample_Type_SD	chicken carcass	unresolved		unresolved:no deterministic semantic component	low	legacy_decomposition_candidate	admin_review	false	true	classifier_uncertain	25723	unresolved:no deterministic semantic component	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context
Environment_Broad_Scale_SD	geologic/extreme environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	20934	unresolved:no deterministic semantic component	environment_broad_scale
Environment_Local_Scale_SD	coastal area	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	17767	unresolved:no deterministic semantic component	care_setting|environment_local_scale
Host_SD	Canis lupus familiaris	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	16529	unresolved:no deterministic semantic component	host_taxon
Host_SD	Sus scrofa domesticus	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	12638	unresolved:no deterministic semantic component	host_taxon
Environment_Local_Scale_SD	wetland	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	10771	unresolved:no deterministic semantic component	care_setting|environment_local_scale
Environment_Broad_Scale_SD	estuarine environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	9898	unresolved:no deterministic semantic component	environment_broad_scale
Environment_Broad_Scale_SD	built/urban environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	6676	unresolved:no deterministic semantic component	environment_broad_scale
Environment_Local_Scale_SD	urban area	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	6195	unresolved:no deterministic semantic component	care_setting|environment_local_scale
Environment_Local_Scale_SD	agricultural land	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	5599	unresolved:no deterministic semantic component	care_setting|environment_local_scale
Environment_Medium_SD_Broad	agricultural fecal material	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	4625	unresolved:no deterministic semantic component	environment_medium
Sample_Type_SD	drainage	unresolved		unresolved:no deterministic semantic component	low	legacy_decomposition_candidate	admin_review	false	true	classifier_uncertain	4174	unresolved:no deterministic semantic component	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context
Sample_Type_SD_Broad	agricultural fecal material	unresolved		unresolved:no deterministic semantic component	low	legacy_decomposition_candidate	admin_review	false	true	classifier_uncertain	4019	unresolved:no deterministic semantic component	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context|source_context
