field	standardized_value	semantic_class	proposed_destination	reason	assembly_accession	biosample	organism	raw_attribute_name	raw_value	Host	Host_SD	Host_Context_SD	Host_Disease_SD	Host_Health_State_SD	Host_Production_Context_SD	Host_Anatomical_Site_SD	Isolation Source	Isolation_Source_SD	Isolation_Source_SD_Broad	Sample Type	Sample_Type_SD	Sample_Type_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Medium_SD_Broad	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Collection Date	Country
Isolation_Source_SD_Broad	culture	sample_processing	Sample_Processing_SD	Broad source category mixes non-source semantic classes; document or migrate.	GCA_000003135.1	SAMN00001475	Bifidobacterium longum subsp. longum ATCC 55813	Host	Homo sapiens	Homo sapiens	Homo sapiens						ATCC 55813	culture	culture					biological product	biological/clinical product	terrestrial environment		absent	absent
Host_Health_State_SD	patient	host_context	Host_Context_SD	Host_Health_State_SD should contain strict health states only.	GCA_000003215.1	SAMN02470531	Clostridioides difficile QCD-66c26	Isolation Source	patient with severe CDAD	Homo sapiens	Homo sapiens			patient			patient with severe CDAD											absent	Canada
Isolation_Source_SD	blood	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_000008985.1	SAMEA3138185	Francisella tularensis subsp. tularensis SCHU S4	Host	absent	absent								blood	clinical/host-associated material									absent	absent
Isolation_Source_SD	blood	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_000009025.1	SAMEA3138187	Dehalococcoides mccartyi CBDB1	Host	absent	absent								blood	clinical/host-associated material									absent	absent
Isolation_Source_SD	blood	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_000009045.1	SAMEA3138188	Bacillus subtilis subsp. subtilis str. 168	Host	absent	absent								blood	clinical/host-associated material									absent	absent
Host_Health_State_SD	patient	host_context	Host_Context_SD	Host_Health_State_SD should contain strict health states only.	GCA_000009885.1	SAMD00060934	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	Isolation Source	isolated from blood of a patient with liver abscess and meningitis	absent	Homo sapiens		meningitis	patient			isolated from blood of a patient with liver abscess and meningitis	clinical fluid/material	clinical fluid/material				organ/tissue site					absent	absent
Isolation_Source_SD_Broad	clinical fluid/material	sample_material	Sample_Type_SD	Broad source category mixes non-source semantic classes; document or migrate.	GCA_000009885.1	SAMD00060934	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	Host	absent	absent	Homo sapiens		meningitis	patient			isolated from blood of a patient with liver abscess and meningitis	clinical fluid/material	clinical fluid/material				organ/tissue site					absent	absent
Isolation_Source_SD	clinical fluid/material	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_000009885.1	SAMD00060934	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	Host	absent	absent	Homo sapiens		meningitis	patient			isolated from blood of a patient with liver abscess and meningitis	clinical fluid/material	clinical fluid/material				organ/tissue site					absent	absent
Sample_Type_SD_Broad	clinical/host-associated material	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000013925.2	SAMN02603346	Mycobacterium ulcerans Agy99	Host	absent	absent	Homo sapiens						human tissue biopsy	clinical/host-associated material	clinical/host-associated material		biopsy	clinical/host-associated material						1999	Ghana
Host_Health_State_SD	dead	vital_status	Host_Vital_Status_SD	Vital status should move to Host_Vital_Status_SD.	GCA_000014845.1	SAMN02603424	Escherichia coli APEC O1	Isolation Source	lesion site (lung) of a dead turkey with colibacillosis	absent	Meleagris gallopavo			dead		lower respiratory tract/bronch/pleural cavity	lesion site (lung) of a dead turkey with colibacillosis	poultry meat/product	food/meat		poultry meat	food/meat						absent	Turkey
