field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	row_count	reason	additive_destinations	proposed_destination	remove_from_current_field	action_class
Environment_Broad_Scale_SD	food-associated environment	food_commodity		food_commodity:explicit food or commodity context	high	incompatible	58756	Environment_Broad_Scale_SD should contain broad environmental settings only.	Isolation_Source_SD|Sample_Type_SD	Isolation_Source_SD|Sample_Type_SD	true	manual_review
Environment_Broad_Scale_SD	aquatic sediment environment	environment_medium		environment_medium:environmental medium	high	incompatible	46883	Environment_Broad_Scale_SD should contain broad environmental settings only.	Environment_Medium_SD	Environment_Medium_SD	true	manual_review
Environment_Broad_Scale_SD	clinical/host-associated material	source_context		source_context:clinical or host-associated source context	high	incompatible	40680	Environment_Broad_Scale_SD should contain broad environmental settings only.	Isolation_Source_SD	Isolation_Source_SD	true	manual_review
Environment_Broad_Scale_SD	wastewater/sewage	environment_medium		environment_medium:wastewater/sewage	high	incompatible	37767	Environment_Broad_Scale_SD should contain broad environmental settings only.	Environment_Medium_SD	Environment_Medium_SD	true	manual_review
Environment_Broad_Scale_SD	environmental sample	sampling_context		sampling_context:environmental	high	incompatible	33064	Environment_Broad_Scale_SD should contain broad environmental settings only.	Sampling_Context_SD	Sampling_Context_SD	true	manual_review
Environment_Broad_Scale_SD	geologic/extreme environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	20934	Environment_Broad_Scale_SD should contain broad environmental settings only.	admin_review	admin_review	false	classifier_uncertain
Environment_Broad_Scale_SD	estuarine environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	9898	Environment_Broad_Scale_SD should contain broad environmental settings only.	admin_review	admin_review	false	classifier_uncertain
Environment_Broad_Scale_SD	built/urban environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	6676	Environment_Broad_Scale_SD should contain broad environmental settings only.	admin_review	admin_review	false	classifier_uncertain
Environment_Broad_Scale_SD	geothermal environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	963	Environment_Broad_Scale_SD should contain broad environmental settings only.	admin_review	admin_review	false	classifier_uncertain
Environment_Broad_Scale_SD	anthropogenic environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	705	Environment_Broad_Scale_SD should contain broad environmental settings only.	admin_review	admin_review	false	classifier_uncertain
Environment_Broad_Scale_SD	anthropogenic terrestrial biome	unresolved		unresolved:no deterministic semantic component	low	incompatible	359	Environment_Broad_Scale_SD should contain broad environmental settings only.	admin_review	admin_review	false	classifier_uncertain
