field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	row_count	reason	additive_destinations	proposed_destination	remove_from_current_field	action_class
Isolation_Source_SD_Broad	plant-associated material	source_context	host_context|sampling_context|sample_material	source_context:plant-associated material|host_context:plant-associated|sampling_context:plant-associated|sample_material:plant material	high	compatible_composite	17656	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	Isolation_Source_SD|Host_Context_SD|Sampling_Context_SD|Sample_Material_SD|Sample_Type_SD	Isolation_Source_SD|Host_Context_SD|Sampling_Context_SD|Sample_Material_SD|Sample_Type_SD	false	composite_requires_split
Isolation_Source_SD	plant-associated material	source_context	host_context|sampling_context|sample_material	source_context:plant-associated material|host_context:plant-associated|sampling_context:plant-associated|sample_material:plant material	high	compatible_composite	17612	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	Host_Context_SD|Sampling_Context_SD|Sample_Material_SD|Sample_Type_SD	Host_Context_SD|Sampling_Context_SD|Sample_Material_SD|Sample_Type_SD	false	composite_requires_split
Isolation_Source_SD	blood	sample_material	anatomical_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	medium	compatible_composite	9729	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	false	composite_requires_split
Isolation_Source_SD_Broad	clinical fluid/material	sample_material		sample_material:clinical fluid or purulent material	high	compatible	9023	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	Sample_Material_SD|Sample_Type_SD	Sample_Material_SD|Sample_Type_SD	false	additive_axis_enrichment
Isolation_Source_SD	clinical fluid/material	sample_material		sample_material:clinical fluid or purulent material	high	compatible	9021	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	Sample_Material_SD|Sample_Type_SD	Sample_Material_SD|Sample_Type_SD	false	additive_axis_enrichment
Isolation_Source_SD	urine	sample_material		sample_material:physical specimen/material	high	compatible	2891	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	Sample_Material_SD|Sample_Type_SD	Sample_Material_SD|Sample_Type_SD	false	additive_axis_enrichment
Isolation_Source_SD	feces/stool	sample_material	anatomical_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	medium	compatible_composite	343	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	false	composite_requires_split
Isolation_Source_SD_Broad	feces/stool	sample_material	anatomical_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	medium	compatible_composite	343	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	false	composite_requires_split
Isolation_Source_SD	milk	sample_material		sample_material:physical specimen/material	high	compatible	123	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	Sample_Material_SD|Sample_Type_SD	Sample_Material_SD|Sample_Type_SD	false	additive_axis_enrichment
Isolation_Source_SD	caeca content	sample_material		sample_material:physical specimen/material	high	compatible	80	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	Sample_Material_SD|Sample_Type_SD	Sample_Material_SD|Sample_Type_SD	false	additive_axis_enrichment
Isolation_Source_SD	Broncho-alveolar lavage	sample_material	collection_method	collection_method:collection method|sample_material:physical specimen/material	medium	compatible_composite	72	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	Sample_Material_SD|Sample_Type_SD|Sample_Collection_Method_SD	Sample_Material_SD|Sample_Type_SD|Sample_Collection_Method_SD	false	composite_requires_split
Isolation_Source_SD	fermented milk/dairy product	sample_material	food_commodity	food_commodity:explicit food or commodity context|sample_material:physical specimen/material	medium	compatible_composite	64	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	Sample_Material_SD|Sample_Type_SD	Sample_Material_SD|Sample_Type_SD	false	composite_requires_split
Isolation_Source_SD	coral mucus	sample_material	anatomical_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	medium	compatible_composite	44	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	false	composite_requires_split
Isolation_Source_SD_Broad	tissue	sample_material		sample_material:physical specimen/material	high	compatible	44	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	Sample_Material_SD|Sample_Type_SD	Sample_Material_SD|Sample_Type_SD	false	additive_axis_enrichment
