synonym,source_column,original_value,normalized_value,destination,category,proposed_value,broad_value,ontology_id,method,confidence,status,note
"human, animal or environmental",Host,"human, animal or environmental",human animal or environmental,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Chicken environment,Host,Chicken environment,chicken environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
pig farm environment,Host,pig farm environment,pig farm environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environmental bovine,Host,environmental bovine,environmental bovine,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
flock environment broiler (Gallus gallus),Host,flock environment broiler (Gallus gallus),flock environment broiler gallus gallus,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Environment of broiler farm,Host,Environment of broiler farm,environment of broiler farm,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Bacteria isolated in solid culture medium,Host,Bacteria isolated in solid culture medium,bacteria isolated in solid culture medium,Sample_Type_SD,bacterial culture,bacterial culture,culture/laboratory,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: culture/laboratory.
Sus scrofa domesticus: environment,Host,Sus scrofa domesticus: environment,sus scrofa domesticus environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
Environment of broiler farms,Host,Environment of broiler farms,environment of broiler farms,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environment/source context.
environmental swabs sponge,Host,environmental swabs sponge,environmental swabs sponge,Sample_Type_SD,environmental swab,environmental swab,swab,,batch3_source_like_host_review,high,approved,Batch 3 route after Host demotion: environmental swab.
