assembly_accession	biosample	organism	decision	reason	Host	Host_Original	Host_SD	Host_TaxID	Host_Context_SD	Sampling_Context_SD	Host_Colonization_Status_SD	Host_Vital_Status_SD	Sample_Material_SD	Isolation_Source_SD	Sample_Type_SD	Environment_Medium_SD	Environment_Local_Scale_SD	Environment_Broad_Scale_SD	raw_context
GCA_015845675.1	SAMN03654337	Bacillus xiamenensis	keep	vital-status audit	absent	dead mosquito larvae	Culicidae	7157				deceased		clinical/host-associated material	cell culture				cell culture | culture | clinical/host-associated material | clinical/host-associated material | dead mosquito larvae | cell culture | dead mosquito larvae | cell culture
GCA_056342725.1	SAMN45853068	Proteus mirabilis	keep	vital-status audit	chicken	chicken	Gallus gallus	9031				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Dead embryos | Dead embryos
GCA_056342885.1	SAMN45853060	Proteus mirabilis	keep	vital-status audit	chicken	chicken	Gallus gallus	9031				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Dead embryos | Dead embryos
GCA_002162275.1	SAMN06141923	Histophilus somni	keep	vital-status audit	Bos taurus	Bos taurus	Bos taurus	9913				alive		28144					28144 | nasopharynx/oropharynx | 28144 | nasopharynx | mucus | nasopharynx
GCA_001874105.1	SAMN03375481	Pasteurella multocida subsp. multocida	keep	vital-status audit	Vicugna pacos	Vicugna pacos	Vicugna pacos	30538				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | lungs of dead pneumonia animals | lungs of dead pneumonia animals
GCA_031711695.1	SAMN36398612	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_031714975.1	SAMN36398542	Pasteurella multocida	keep	vital-status audit	Duck	Duck	Anas platyrhynchos	8839				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | organ/tissue site | liver | liver
GCA_033206715.1	SAMN03121725	Campylobacter jejuni	keep	vital-status audit	absent	Grey seal pup; dead wild	Phocidae	9709				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Grey seal pup; dead wild
GCA_001471575.2	SAMN03996325	Vibrio harveyi	keep	vital-status audit	absent	dead amphipod	Amphipoda	6654				deceased		clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | dead amphipod
GCA_002859365.1	SAMN04622944	Pasteurella multocida	keep	vital-status audit	Bos taurus	Bos taurus	Bos taurus	9913				alive	bronchoalveolar lavage fluid	clinical/host-associated material	bronchoalveolar lavage fluid				bronchoalveolar lavage fluid | respiratory sample | clinical/host-associated material | clinical/host-associated material | lower respiratory tract/bronch/pleural cavity | 17239 | bronchoalveolar lavage | bodily fluid | bronchoalveolar lavage
