count,source_column,raw_value,normalized_value,destination,category,confidence,note
1400,Isolation Source,Human faeces,human faeces,Sample_Type_SD,feces/stool,high,fecal material
672,Isolation Source,healthy people,healthy people,Host_Health_State_SD,healthy/no disease reported,medium,health state
527,Isolation Source,cattle feces,cattle feces,Sample_Type_SD,feces/stool,high,fecal material
505,Host Disease,other,other,Sample_Type_SD,metadata descriptor/non-source,high,metadata/admin descriptor
402,Isolation Source,Human Stool,human stool,Sample_Type_SD,feces/stool,high,fecal material
355,Isolation Source,human - faeces,human faeces,Sample_Type_SD,feces/stool,high,fecal material
343,Isolation Source,"Human, Blood",human blood,Sample_Type_SD,blood,high,clinical material
339,Host Disease,Lyme disease,lyme disease,Host_Health_State_SD,diseased,medium,health state
338,Environment Medium,Urine,urine,Sample_Type_SD,urine,high,clinical material
321,Isolation Source,Cattle faeces,cattle faeces,Sample_Type_SD,feces/stool,high,fecal material
310,Isolation Source,human blood,human blood,Sample_Type_SD,blood,high,clinical material
300,Isolation Source,Chicken faeces,chicken faeces,Sample_Type_SD,feces/stool,high,fecal material
295,Host Disease,Chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,Host_Health_State_SD,diseased,medium,health state
292,Isolation Source,human feces,human feces,Sample_Type_SD,feces/stool,high,fecal material
283,Isolation Source,human sputum,human sputum,Sample_Type_SD,sputum,high,respiratory material
277,Host Disease,hospital acquired infection,hospital acquired infection,Isolation_Source_SD,healthcare facility,high,healthcare-associated location
272,Host Disease,M. abscessus lung disease,m. abscessus lung disease,Host_Health_State_SD,diseased,medium,health state
268,Isolation Source,chicken feces,chicken feces,Sample_Type_SD,feces/stool,high,fecal material
267,Isolation Source,Human blood sample,human blood sample,Sample_Type_SD,blood,high,clinical material
265,Isolation Source,Human stool,human stool,Sample_Type_SD,feces/stool,high,fecal material
260,Isolation Source,feces from patient with diarrhea,feces from patient with diarrhea,Sample_Type_SD,feces/stool,high,fecal material
252,Isolation Source,"Human, Stool",human stool,Sample_Type_SD,feces/stool,high,fecal material
250,Isolation Source,cattle fecal samples,cattle fecal samples,Sample_Type_SD,feces/stool,high,fecal material
243,Host Disease,diseased,diseased,Host_Health_State_SD,diseased,medium,health state
241,Host Disease,Legionnaires' disease,legionnaires disease,Host_Health_State_SD,diseased,medium,health state
236,Isolation Source,Human urine,human urine,Sample_Type_SD,urine,high,clinical material
230,Host Disease,Screening culture,screening culture,Sample_Type_SD,surveillance sample,medium,screening/surveillance descriptor
222,Environment (Local Scale),Shallow water sediment,shallow water sediment,Environment_Medium_SD,sediment,high,environmental medium
216,Isolation Source,Hospital patients,hospital patients,Isolation_Source_SD,healthcare facility,high,healthcare-associated location
209,Isolation Source,human stool,human stool,Sample_Type_SD,feces/stool,high,fecal material
206,Environment (Local Scale),soil,soil,Environment_Medium_SD,soil,high,environmental medium
193,Environment (Local Scale),seawater,seawater,Environment_Medium_SD,seawater,high,water type
190,Isolation Source,soil adjacent to human cadaver hip,soil adjacent to human cadaver hip,Environment_Medium_SD,soil,high,environmental medium
188,Isolation Source,fecal sample from STEC-infected patient,fecal sample from stec infected patient,Sample_Type_SD,feces/stool,high,fecal material
187,Environment (Local Scale),Wastewater,wastewater,Environment_Medium_SD,wastewater,high,environmental medium
169,Environment (Local Scale),soil [ENVO:00001998],soil envo 00001998,Environment_Medium_SD,soil,high,environmental medium
161,Isolation Source,poultry feces,poultry feces,Sample_Type_SD,feces/stool,high,fecal material
159,Environment (Local Scale),sediment,sediment,Environment_Medium_SD,sediment,high,environmental medium
149,Isolation Source,Cattle feces,cattle feces,Sample_Type_SD,feces/stool,high,fecal material
146,Isolation Source,Chicken feces,chicken feces,Sample_Type_SD,feces/stool,high,fecal material
142,Isolation Source,pig stool,pig stool,Sample_Type_SD,feces/stool,high,fecal material
135,Sample Type,Biofilm,biofilm,Environment_Medium_SD,biofilm,high,environmental medium
126,Isolation Source,Pooled sheep faecal samples collected from floor of farm,pooled sheep faecal samples collected from floor of farm,Sample_Type_SD,feces/stool,high,fecal material
122,Environment Medium,fecal sample,fecal sample,Sample_Type_SD,feces/stool,high,fecal material
118,Isolation Source,"human, urine",human urine,Sample_Type_SD,urine,high,clinical material
117,Isolation Site,fecal,fecal,Sample_Type_SD,feces/stool,high,fecal material
112,Isolation Source,Human feces,human feces,Sample_Type_SD,feces/stool,high,fecal material
110,Host Disease,surveillance,surveillance,Sample_Type_SD,surveillance sample,medium,screening/surveillance descriptor
110,Host Disease,rectal swab,rectal swab,Sample_Type_SD,rectal swab,high,swab material
107,Isolation Source,stool (fecal) sample from asymptomatic human participant,stool sample from asymptomatic human participant,Sample_Type_SD,feces/stool,high,fecal material
107,Environment Medium,hospital,hospital,Isolation_Source_SD,healthcare facility,high,healthcare-associated location
103,Isolation Source,Feral swine feces,feral swine feces,Sample_Type_SD,feces/stool,high,fecal material
102,Host Disease,Legionnaires' Disease,legionnaires disease,Host_Health_State_SD,diseased,medium,health state
96,Isolation Source,blood from patient with bacteremia,blood from patient with bacteremia,Sample_Type_SD,blood,high,clinical material
95,Environment Medium,feces,feces,Sample_Type_SD,feces/stool,high,fecal material
89,Isolation Source,Human blood,human blood,Sample_Type_SD,blood,high,clinical material
83,Environment (Local Scale),rhizosphere,rhizosphere,Environment_Medium_SD,soil,high,environmental medium
82,Isolation Source,Pig stool,pig stool,Sample_Type_SD,feces/stool,high,fecal material
82,Environment Medium,nasal swab,nasal swab,Sample_Type_SD,nasal swab,high,upper respiratory swab
78,Environment Medium,blood,blood,Sample_Type_SD,blood,high,clinical material
76,Isolation Source,human faeces,human faeces,Sample_Type_SD,feces/stool,high,fecal material
73,Environment (Local Scale),Marine sediment [ENVO:03000033],marine sediment envo 03000033,Environment_Medium_SD,sediment,high,environmental medium
72,Isolation Source,Human Feces,human feces,Sample_Type_SD,feces/stool,high,fecal material
70,Host Disease,cold water disease,cold water disease,Host_Health_State_SD,diseased,medium,health state
69,Isolation Source,feces of feedlot cattle,feces of feedlot cattle,Sample_Type_SD,feces/stool,high,fecal material
69,Environment Medium,urine,urine,Sample_Type_SD,urine,high,clinical material
68,Isolation Source,cattle stool,cattle stool,Sample_Type_SD,feces/stool,high,fecal material
67,Isolation Source,human urine,human urine,Sample_Type_SD,urine,high,clinical material
67,Environment (Local Scale),Sediment,sediment,Environment_Medium_SD,sediment,high,environmental medium
67,Environment (Local Scale),saline sediment environment (ENVO:01001050),saline sediment environment,Environment_Medium_SD,sediment,high,environmental medium
66,Isolation Source,pig feces,pig feces,Sample_Type_SD,feces/stool,high,fecal material
66,Environment (Local Scale),sea water environment,sea water environment,Environment_Medium_SD,seawater,high,water type
65,Isolation Source,Human sputum,human sputum,Sample_Type_SD,sputum,high,respiratory material
64,Isolation Source,feces cow,feces cow,Sample_Type_SD,feces/stool,high,fecal material
64,Host Disease,disease,disease,Host_Health_State_SD,diseased,medium,health state
63,Isolation Source,human faecal samples,human faecal samples,Sample_Type_SD,feces/stool,high,fecal material
63,Isolation Source,Pig feces,pig feces,Sample_Type_SD,feces/stool,high,fecal material
63,Host Disease,disease by infectious agent,disease by infectious agent,Host_Health_State_SD,diseased,medium,health state
63,Host Disease,Legionaires' Disease,legionaires disease,Host_Health_State_SD,diseased,medium,health state
