current_field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	affected_assignments	additive_destinations	remove_from_current_field	action_class	confidence	rationale	source_flags
Environment_Local_Scale_SD	gut/fecal local context	unresolved		unresolved:no deterministic semantic component	407314	admin_review	false	classifier_uncertain	low	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Environment_Broad_Scale_SD	food-associated environment	food_commodity		food_commodity:explicit food or commodity context	58756	Isolation_Source_SD|Sample_Type_SD	true	manual_review	high	Environment_Broad_Scale_SD should contain broad environmental settings only.	non_broad_values_in_environment_broad_scale
Sample_Type_SD	cell culture	sample_entity	sample_processing	sample_entity:cell culture|sample_processing:cultured	54613	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Environment_Broad_Scale_SD	aquatic sediment environment	environment_medium		environment_medium:environmental medium	46883	Environment_Medium_SD	true	manual_review	high	Environment_Broad_Scale_SD should contain broad environmental settings only.	non_broad_values_in_environment_broad_scale
Sample_Type_SD	sterile body site	anatomical_site		anatomical_site:anatomical site or plant part	46778	Host_Anatomical_Site_SD|Isolation_Site_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Environment_Medium_SD_Broad	environmental material	source_context		source_context:broad source context	42562	Isolation_Source_SD	true	manual_review	high	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	non_medium_values_in_environment_medium_broad
Environment_Broad_Scale_SD	clinical/host-associated material	source_context		source_context:clinical or host-associated source context	40680	Isolation_Source_SD	true	manual_review	high	Environment_Broad_Scale_SD should contain broad environmental settings only.	non_broad_values_in_environment_broad_scale
Environment_Medium_SD	marine	environment_broad_scale		environment_broad_scale:marine environment	40376	Environment_Broad_Scale_SD	true	manual_review	high	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Environment_Broad_Scale_SD	wastewater/sewage	environment_medium		environment_medium:wastewater/sewage	37767	Environment_Medium_SD	true	manual_review	high	Environment_Broad_Scale_SD should contain broad environmental settings only.	non_broad_values_in_environment_broad_scale
Environment_Broad_Scale_SD	environmental sample	sampling_context		sampling_context:environmental	33064	Sampling_Context_SD	true	manual_review	high	Environment_Broad_Scale_SD should contain broad environmental settings only.	non_broad_values_in_environment_broad_scale
Sample_Type_SD	nasopharynx/oropharynx	anatomical_site		anatomical_site:anatomical site or plant part	31643	Host_Anatomical_Site_SD|Isolation_Site_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD_Broad	upper respiratory tract	anatomical_site		anatomical_site:anatomical site or plant part	31643	Host_Anatomical_Site_SD|Isolation_Site_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	chicken carcass	unresolved		unresolved:no deterministic semantic component	25723	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Host_Anatomical_Site_SD	feces/stool	anatomical_material	sample_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	23405	Host_Anatomical_Material_SD|Sample_Material_SD|Sample_Type_SD	true	manual_review	medium	Site field contains non-site material/context without an anatomical-site component.	conflicting_anatomical_site_fields
Sample_Type_SD	culture	sample_entity	sample_processing	sample_entity:culture entity|sample_processing:cultured	21152	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Environment_Broad_Scale_SD	geologic/extreme environment	unresolved		unresolved:no deterministic semantic component	20934	admin_review	false	classifier_uncertain	low	Environment_Broad_Scale_SD should contain broad environmental settings only.	non_broad_values_in_environment_broad_scale
Isolation_Site_SD	skin/body surface	anatomical_site	environment_local_scale	anatomical_site:anatomical site or plant part|environment_local_scale:local environmental or facility feature	19165	Host_Anatomical_Site_SD|Environment_Local_Scale_SD	false	composite_requires_split	medium	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	remaining_non_site_values
Environment_Local_Scale_SD	coastal area	unresolved		unresolved:no deterministic semantic component	17767	admin_review	false	classifier_uncertain	low	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Isolation_Source_SD_Broad	plant-associated material	source_context	host_context|sampling_context|sample_material	source_context:plant-associated material|host_context:plant-associated|sampling_context:plant-associated|sample_material:plant material	17656	Isolation_Source_SD|Host_Context_SD|Sampling_Context_SD|Sample_Material_SD|Sample_Type_SD	false	composite_requires_split	high	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	material_values_in_isolation_source
Isolation_Source_SD	plant-associated material	source_context	host_context|sampling_context|sample_material	source_context:plant-associated material|host_context:plant-associated|sampling_context:plant-associated|sample_material:plant material	17612	Host_Context_SD|Sampling_Context_SD|Sample_Material_SD|Sample_Type_SD	false	composite_requires_split	high	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	material_values_in_isolation_source
Isolation_Site_SD	organ/tissue site	anatomical_site	sample_material	sample_material:physical specimen/material|anatomical_site:anatomical site or plant part	15402	Host_Anatomical_Site_SD|Sample_Material_SD|Sample_Type_SD	false	composite_requires_split	medium	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	remaining_non_site_values
Environment_Local_Scale_SD	activated sludge	environment_medium		environment_medium:activated sludge	13130	Environment_Medium_SD	true	manual_review	high	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Environment_Local_Scale_SD	groundwater	environment_medium		environment_medium:groundwater	12834	Environment_Medium_SD	true	manual_review	high	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Sample_Type_SD	single cell	sample_entity	sample_processing	sample_entity:single cell|sample_processing:single-cell preparation	11833	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Sample_Type_SD	microbial isolate	sample_entity	sample_processing	sample_entity:microbial isolate|sample_processing:isolated	11428	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Environment_Local_Scale_SD	wetland	unresolved		unresolved:no deterministic semantic component	10771	admin_review	false	classifier_uncertain	low	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Environment_Broad_Scale_SD	estuarine environment	unresolved		unresolved:no deterministic semantic component	9898	admin_review	false	classifier_uncertain	low	Environment_Broad_Scale_SD should contain broad environmental settings only.	non_broad_values_in_environment_broad_scale
Host_Anatomical_Site_SD	cecal/gut content	anatomical_material	sample_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	9821	Host_Anatomical_Material_SD|Sample_Material_SD|Sample_Type_SD	true	manual_review	medium	Site field contains non-site material/context without an anatomical-site component.	conflicting_anatomical_site_fields
Isolation_Source_SD	blood	sample_material	anatomical_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	9729	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	false	composite_requires_split	medium	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	material_values_in_isolation_source
Isolation_Source_SD_Broad	clinical fluid/material	sample_material		sample_material:clinical fluid or purulent material	9023	Sample_Material_SD|Sample_Type_SD	false	additive_axis_enrichment	high	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	material_values_in_isolation_source
Isolation_Source_SD	clinical fluid/material	sample_material		sample_material:clinical fluid or purulent material	9021	Sample_Material_SD|Sample_Type_SD	false	additive_axis_enrichment	high	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	material_values_in_isolation_source
Isolation_Site_SD	plant root/rhizosphere	environment_local_scale	host_context	environment_local_scale:local environmental or facility feature|host_context:host-associated context|environment_local_scale:rhizosphere|host_context:plant-associated	8567	Environment_Local_Scale_SD|Host_Context_SD	true	manual_review	medium	Isolation_Site_SD should contain anatomical sites or plant parts only.	conflicting_anatomical_site_fields|non_site_values_in_isolation_site|remaining_non_site_values
Sample_Type_SD_Broad	laboratory environment	environment_broad_scale		environment_broad_scale:laboratory environment	8034	Environment_Broad_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Environment_Medium_SD	environmental material	source_context		source_context:broad source context	7929	Isolation_Source_SD	true	manual_review	high	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Sample_Type_SD_Broad	water	environment_medium		environment_medium:environmental medium	7606	Environment_Medium_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Isolation_Site_SD	leaf tissue	anatomical_site	sample_material	sample_material:physical specimen/material|anatomical_site:anatomical site or plant part	6701	Host_Anatomical_Site_SD|Sample_Material_SD|Sample_Type_SD	false	composite_requires_split	medium	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	remaining_non_site_values
Environment_Broad_Scale_SD	built/urban environment	unresolved		unresolved:no deterministic semantic component	6676	admin_review	false	classifier_uncertain	low	Environment_Broad_Scale_SD should contain broad environmental settings only.	non_broad_values_in_environment_broad_scale
Environment_Local_Scale_SD	urban area	unresolved		unresolved:no deterministic semantic component	6195	admin_review	false	classifier_uncertain	low	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Sampling_Context_SD	clinical subject	source_context		source_context:broad source context	6141	Isolation_Source_SD	true	manual_review	high	Sampling_Context_SD should contain sampling-context values only.	invalid_sampling_context_values
Environment_Local_Scale_SD	agricultural land	unresolved		unresolved:no deterministic semantic component	5599	admin_review	false	classifier_uncertain	low	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Sample_Type_SD	stream	environment_local_scale		environment_local_scale:local environmental or facility feature	5416	Environment_Local_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	environment_values_in_sample_type|non_material_values_in_sample_type
Sample_Type_SD	pure/single culture	sample_entity	sample_processing	sample_entity:culture entity|sample_processing:pure/single culture	5271	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Sample_Type_SD	mixed culture	sample_entity	sample_processing	sample_entity:mixed culture|sample_processing:mixed culture	4790	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Sample_Type_SD	bacterial culture	sample_entity	sample_processing	sample_entity:bacterial culture|sample_processing:cultured	4744	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Environment_Medium_SD_Broad	agricultural fecal material	unresolved		unresolved:no deterministic semantic component	4625	admin_review	false	classifier_uncertain	low	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	non_medium_values_in_environment_medium_broad
Sample_Type_SD_Broad	agricultural environment	environment_broad_scale		environment_broad_scale:agricultural environment	4379	Environment_Broad_Scale_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	drainage	unresolved		unresolved:no deterministic semantic component	4174	admin_review	false	classifier_uncertain	low	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
