field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	row_count	reason	additive_destinations	proposed_destination	remove_from_current_field	action_class
Sample_Type_SD	stream	environment_local_scale		environment_local_scale:local environmental or facility feature	high	legacy_decomposition_candidate	5416	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD	manure	sample_material	environment_medium	sample_material:manure/fecal material|environment_medium:agricultural organic material	high	compatible_composite	4019	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Sample_Material_SD|Environment_Medium_SD	Sample_Material_SD|Environment_Medium_SD	false	composite_requires_split
Sample_Type_SD	cold seep	environment_local_scale		environment_local_scale:cold seep	high	legacy_decomposition_candidate	3866	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD	farm	environment_local_scale		environment_local_scale:farm	high	legacy_decomposition_candidate	3734	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD	cave biofilm	environment_medium	environment_local_scale	environment_medium:environmental medium|environment_local_scale:local environmental or facility feature	medium	legacy_decomposition_candidate	1716	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Medium_SD|Environment_Local_Scale_SD	Environment_Medium_SD|Environment_Local_Scale_SD	false	composite_requires_split
Sample_Type_SD	drain	environment_local_scale		environment_local_scale:drain	high	legacy_decomposition_candidate	1546	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD	anaerobic digester	environment_local_scale		environment_local_scale:anaerobic digester	high	legacy_decomposition_candidate	1532	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD	sink	environment_local_scale		environment_local_scale:sink	high	legacy_decomposition_candidate	1323	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD	saline water	environment_medium		environment_medium:environmental medium	high	legacy_decomposition_candidate	1316	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Medium_SD	Environment_Medium_SD	false	legacy_compatibility_label
Sample_Type_SD	hospital wastewater	environment_medium	environment_local_scale	environment_medium:environmental medium|environment_local_scale:local environmental or facility feature	medium	legacy_decomposition_candidate	1185	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Medium_SD|Environment_Local_Scale_SD	Environment_Medium_SD|Environment_Local_Scale_SD	false	composite_requires_split
Sample_Type_SD	hospital sewage	environment_medium	environment_local_scale	environment_medium:environmental medium|environment_local_scale:local environmental or facility feature	medium	legacy_decomposition_candidate	913	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Medium_SD|Environment_Local_Scale_SD	Environment_Medium_SD|Environment_Local_Scale_SD	false	composite_requires_split
Sample_Type_SD	terrestrial environment	environment_broad_scale		environment_broad_scale:broad environmental setting	high	legacy_decomposition_candidate	845	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Broad_Scale_SD	Environment_Broad_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD	long-term care facility	environment_local_scale	care_setting	care_setting:care setting|environment_local_scale:local environmental or facility feature	medium	legacy_decomposition_candidate	841	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD|Host_Care_Setting_SD	Environment_Local_Scale_SD|Host_Care_Setting_SD	false	composite_requires_split
Sample_Type_SD	surface layer	environment_local_scale		environment_local_scale:local environmental or facility feature	high	legacy_decomposition_candidate	797	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD	glacier	environment_local_scale		environment_local_scale:glacier	high	legacy_decomposition_candidate	736	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD	dairy farm	environment_local_scale	production_context|host_context	production_context:dairy production setting|host_context:cattle/livestock|environment_local_scale:farm	high	legacy_decomposition_candidate	645	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD|Host_Production_Context_SD|Host_Context_SD	Environment_Local_Scale_SD|Host_Production_Context_SD|Host_Context_SD	false	composite_requires_split
Sample_Type_SD	deciduous forest	environment_local_scale	environment_broad_scale	environment_broad_scale:forest/terrestrial environment|environment_local_scale:deciduous forest	high	legacy_decomposition_candidate	570	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD|Environment_Broad_Scale_SD	Environment_Local_Scale_SD|Environment_Broad_Scale_SD	false	composite_requires_split
Sample_Type_SD	dental plaque	sample_material	environment_medium|anatomical_site	sample_material:dental plaque/biofilm|environment_medium:biofilm|anatomical_site:oral cavity/tooth surface	high	compatible_composite	423	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Sample_Material_SD|Environment_Medium_SD|Host_Anatomical_Site_SD|Isolation_Site_SD	Sample_Material_SD|Environment_Medium_SD|Host_Anatomical_Site_SD|Isolation_Site_SD	false	composite_requires_split
Sample_Type_SD	cleanroom floor	environment_local_scale		environment_local_scale:local environmental or facility feature	high	legacy_decomposition_candidate	121	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD	estuary	environment_local_scale		environment_local_scale:estuary	high	legacy_decomposition_candidate	77	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD	rhizosphere	environment_local_scale	host_context	environment_local_scale:rhizosphere|host_context:plant-associated	medium	legacy_decomposition_candidate	46	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD|Host_Context_SD	Environment_Local_Scale_SD|Host_Context_SD	false	composite_requires_split
Sample_Type_SD	food-contact surface	food_commodity	environment_local_scale	food_commodity:explicit food or commodity context|environment_local_scale:local environmental or facility feature	medium	compatible_composite	26	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Isolation_Source_SD|Environment_Local_Scale_SD	Isolation_Source_SD|Environment_Local_Scale_SD	false	composite_requires_split
Sample_Type_SD	non-food-contact surface	environment_local_scale		environment_local_scale:non-food-contact surface	high	legacy_decomposition_candidate	12	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
