field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	additive_destinations	remove_from_current_field	review_required	action_class	row_count	reason	expected_semantic_classes
Environment_Broad_Scale_SD	host-associated gut/oral/fecal environment	source_context	anatomical_site|host_context	anatomical_site:anatomical site or plant part|host_context:host-associated context|source_context:broad source context	medium	incompatible	Isolation_Source_SD|Host_Anatomical_Site_SD|Isolation_Site_SD|Host_Context_SD	true	true	manual_review	372564	anatomical_site:anatomical site or plant part; host_context:host-associated context; source_context:broad source context	environment_broad_scale
Environment_Broad_Scale_SD	marine environment	environment_broad_scale		environment_broad_scale:broad environmental setting	high	compatible		false	false	legacy_compatibility_label	95852	environment_broad_scale:broad environmental setting	environment_broad_scale
Environment_Broad_Scale_SD	terrestrial environment	environment_broad_scale		environment_broad_scale:broad environmental setting	high	compatible		false	false	legacy_compatibility_label	91101	environment_broad_scale:broad environmental setting	environment_broad_scale
Environment_Broad_Scale_SD	freshwater environment	environment_broad_scale	environment_medium	environment_medium:environmental medium|environment_broad_scale:broad environmental setting	medium	compatible_composite	Environment_Medium_SD	false	true	composite_requires_split	81887	environment_medium:environmental medium; environment_broad_scale:broad environmental setting	environment_broad_scale
Environment_Broad_Scale_SD	food-associated environment	food_commodity		food_commodity:food or commodity context	high	incompatible	Isolation_Source_SD|Sample_Type_SD	true	true	confirmed_high_confidence_fix	58756	food_commodity:food or commodity context	environment_broad_scale
Environment_Broad_Scale_SD	aquatic sediment environment	environment_medium		environment_medium:environmental medium	high	incompatible	Environment_Medium_SD	true	true	confirmed_high_confidence_fix	46883	environment_medium:environmental medium	environment_broad_scale
Environment_Broad_Scale_SD	clinical/host-associated material	source_context		source_context:clinical or host-associated source context	high	incompatible	Isolation_Source_SD	true	true	confirmed_high_confidence_fix	40680	source_context:clinical or host-associated source context	environment_broad_scale
Environment_Broad_Scale_SD	wastewater/sewage	environment_medium		environment_medium:environmental medium	high	incompatible	Environment_Medium_SD	true	true	confirmed_high_confidence_fix	37767	environment_medium:environmental medium	environment_broad_scale
Environment_Broad_Scale_SD	environmental sample	sampling_context		sampling_context:sampling context	high	incompatible	Sampling_Context_SD	true	true	confirmed_high_confidence_fix	33064	sampling_context:sampling context	environment_broad_scale
Environment_Broad_Scale_SD	healthcare-associated environment	environment_broad_scale		environment_broad_scale:broad environmental setting	high	compatible		false	false	legacy_compatibility_label	25943	environment_broad_scale:broad environmental setting	environment_broad_scale
Environment_Broad_Scale_SD	geologic/extreme environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	20934	unresolved:no deterministic semantic component	environment_broad_scale
