count,host_original,host_sd,taxid,host_method
2374,infant feces,Homo sapiens,9606,context_dictionary
807,human gut metagenome,Homo sapiens,9606,context_cleaned_match
662,dairy calf feces,Bos taurus,9913,context_dictionary
482,dairy cattle manure,Bos taurus,9913,context_cleaned_match
411,WT Mouse intestinal epithelial cells,Mus musculus,10090,context_cleaned_match
362,"Feces, Gull (Larus spp.)",Laridae,8911,context_broad_dictionary
355,human - faeces,Homo sapiens,9606,context_cleaned_match
308,human gut,Homo sapiens,9606,context_cleaned_match
307,"human, animal or environmental",Homo sapiens,9606,context_cleaned_match
300,bovine manure,Bos taurus,9913,context_cleaned_match
286,human oral metagenome,Homo sapiens,9606,context_cleaned_match
284,Chicken faeces,Gallus gallus,9031,context_cleaned_match
284,water deer,Hydropotes inermis,9883,dictionary
277,cattle feces,Bos taurus,9913,context_cleaned_match
252,"Human, Stool",Homo sapiens,9606,context_cleaned_match
250,cattle fecal samples,Bos taurus,9913,context_cleaned_match
244,"broiler, feces",Gallus gallus,9031,context_cleaned_match
229,Calf fecal composite,Bos taurus,9913,context_dictionary
228,cattle manure,Bos taurus,9913,context_cleaned_match
199,water buffalo,Bubalus bubalis,89462,dictionary
190,soil adjacent to human cadaver hip,Homo sapiens,9606,context_cleaned_match
176,Cattle faeces,Bos taurus,9913,context_cleaned_match
168,human feces metagenome,Homo sapiens,9606,context_cleaned_match
155,chicken meat,Gallus gallus,9031,cleaned_match
149,Fermented cow milk,Bos taurus,9913,context_cleaned_match
142,Pooled cattle faecal samples collected from floor of farm,Bos taurus,9913,context_cleaned_match
132,poultry manure,Aves,8782,context_broad_dictionary
129,Chicken feces,Gallus gallus,9031,context_cleaned_match
126,Pooled sheep faecal samples collected from floor of farm,Ovis aries,9940,context_cleaned_match
122,Pooled pig faecal samples collected from floor of farm,Sus scrofa,9823,context_cleaned_match
118,mouse gut metagenome,Mus musculus,10090,context_cleaned_match
113,canine feces,Canis lupus familiaris,9615,context_cleaned_match
110,human feces,Homo sapiens,9606,context_cleaned_match
103,Feral swine feces,Sus scrofa,9823,context_cleaned_match
97,the intestinal tract of small mammals,Mammalia,40674,context_broad_dictionary
96,bovine feces,Bos taurus,9913,context_cleaned_match
96,chicken feces,Gallus gallus,9031,context_cleaned_match
96,chicken manure swab,Gallus gallus,9031,context_cleaned_match
84,chick bedding sample/shipment liner from hatchery,Gallus gallus,9031,context_broad_dictionary
83,mosquito larval water,Culicidae,7157,context_broad_dictionary
82,Pig stool,Sus scrofa,9823,context_cleaned_match
80,dairy cattle manure digester,Bos taurus,9913,context_cleaned_match
76,dairy cattle manure (Bos taurus),Bos taurus,9913,context_cleaned_match
76,cow's milk,Bos taurus,9913,context_cleaned_match
76,Isolated from feces from dairy calf,Bos taurus,9913,context_dictionary
75,meat chicken,Gallus gallus,9031,cleaned_match
71,Raw sheep milk,Ovis aries,9940,context_cleaned_match
69,animal feces,Metazoa,33208,context_broad_dictionary
65,Human faeces,Homo sapiens,9606,context_cleaned_match
64,rat gut,Rattus norvegicus,10116,context_cleaned_match
63,raw cow milk,Bos taurus,9913,context_cleaned_match
63,Human rectal swab,Homo sapiens,9606,context_cleaned_match
63,canine urine,Canis lupus familiaris,9615,context_cleaned_match
63,pig gut metagenome,Sus scrofa,9823,context_cleaned_match
63,human stool,Homo sapiens,9606,context_cleaned_match
59,chicken manure,Gallus gallus,9031,context_cleaned_match
56,Canine feces,Canis lupus familiaris,9615,context_cleaned_match
56,"""dairy cattle manure, Bos taurus""",Bos taurus,9913,context_cleaned_match
55,Chicken environment,Gallus gallus,9031,context_cleaned_match
52,Swine manure pit,Sus scrofa,9823,context_cleaned_match
50,cow milk,Bos taurus,9913,context_cleaned_match
48,broiler chicken feces,Gallus gallus,9031,context_cleaned_match
48,feedlot cattle feces,Bos taurus,9913,context_cleaned_match
48,Pooled sheep fecal samples collected from floor of farm,Ovis aries,9940,context_cleaned_match
47,ICU patient rectal swab,Homo sapiens,9606,context_dictionary
47,bacteria culture,Bacteria,2,context_dictionary
46,"Human, Faeces",Homo sapiens,9606,context_cleaned_match
46,human metagenome,Homo sapiens,9606,cleaned_match
45,chicken gut metagenome,Gallus gallus,9031,context_cleaned_match
44,"broiler, faeces",Gallus gallus,9031,context_cleaned_match
44,feral swine feces,Sus scrofa,9823,context_cleaned_match
44,Human stool,Homo sapiens,9606,context_cleaned_match
42,chicken gut,Gallus gallus,9031,context_cleaned_match
42,Water Buffalo,Bubalus bubalis,89462,dictionary
40,"Fattening pig, feces",Sus scrofa,9823,context_cleaned_match
40,Dog faeces,Canis lupus familiaris,9615,context_cleaned_match
40,Fermented yak milk,Bos grunniens,30521,context_cleaned_match
39,Human gut stool,Homo sapiens,9606,context_cleaned_match
39,chicken offal or meat,Gallus gallus,9031,cleaned_match
39,Bacteria culture,Bacteria,2,context_dictionary
38,feces livestock,Mammalia,40674,context_broad_dictionary
38,swine caecal sample,Sus scrofa,9823,context_cleaned_match
38,pig farm environment,Sus scrofa,9823,context_cleaned_match
37,Animal-Swine-Feces,Sus scrofa,9823,context_cleaned_match
36,cloacal swab from wild animal,Metazoa,33208,context_broad_dictionary
36,Pooled cattle fecal samples collected from floor of farm,Bos taurus,9913,context_cleaned_match
36,Human fecal samples,Homo sapiens,9606,context_cleaned_match
36,Korean adult feces,Homo sapiens,9606,context_dictionary
35,chicken (food),Gallus gallus,9031,context_dictionary
35,"cattle feces, cows",Bos taurus,9913,context_cleaned_match
34,Pooled faeces sample collected from floor of poultry farm,Aves,8782,context_broad_dictionary
32,Poultry faeces,Aves,8782,context_broad_dictionary
31,Bovine Faeces,Bos taurus,9913,context_cleaned_match
30,milk-raw bovine,Bos taurus,9913,context_cleaned_match
30,rodent feces,Rodentia,9989,context_broad_dictionary
28,human feces in bioreactor,Homo sapiens,9606,context_cleaned_match
27,yak feces,Bos grunniens,30521,context_cleaned_match
27,de-identified patient sample,Homo sapiens,9606,context_dictionary
27,Fecal samples of broiler chickens,Gallus gallus,9031,context_cleaned_match
26,Pig faeces,Sus scrofa,9823,context_cleaned_match
26,broiler environment - boot swab,Gallus gallus,9031,context_cleaned_match
26,retail raw whole milk cow,Bos taurus,9913,context_cleaned_match
26,mouse gut,Mus musculus,10090,context_cleaned_match
25,environmental bovine,Bos taurus,9913,context_cleaned_match
24,flock environment broiler (Gallus gallus),Gallus gallus,9031,context_cleaned_match
23,Cattle feces,Bos taurus,9913,context_cleaned_match
23,bovine milk,Bos taurus,9913,context_cleaned_match
23,gut of vertebrate mammal,Mammalia,40674,context_broad_dictionary
23,human blood monocytes,Homo sapiens,9606,context_dictionary
22,Bovine faeces,Bos taurus,9913,context_cleaned_match
22,Human (feces),Homo sapiens,9606,context_dictionary
22,Pooled pig fecal samples collected from floor of farm,Sus scrofa,9823,context_cleaned_match
22,Grass with Chicken Manure,Gallus gallus,9031,context_cleaned_match
22,Pig (baby) - fecal,Sus scrofa,9823,context_cleaned_match
21,environmental swabs collected from manure belts in poultry house,Aves,8782,context_broad_dictionary
21,Environment of broiler farm,Gallus gallus,9031,context_cleaned_match
20,Canine Urine (Canis lupus familiaris),Canis lupus familiaris,9615,context_cleaned_match
20,Porcine: Feces,Sus scrofa,9823,context_cleaned_match
20,animal rectal swab,Metazoa,33208,context_broad_dictionary
19,chicken field feces,Gallus gallus,9031,context_cleaned_match
19,Pig feces,Sus scrofa,9823,context_cleaned_match
19,"Human, Feces",Homo sapiens,9606,context_cleaned_match
19,Feces of three-weeks old elephant,Elephantidae,9780,context_broad_dictionary
19,Bacteria isolated in solid culture medium,Bacteria,2,context_dictionary
19,Pure culture of bacteria,Bacteria,2,context_dictionary
18,"Human, Blood culture",Homo sapiens,9606,context_cleaned_match
18,cow feces,Bos taurus,9913,context_cleaned_match
18,Sus scrofa domesticus: environment,Sus scrofa,9823,cleaned_match
18,swine feces,Sus scrofa,9823,context_cleaned_match
18,raw sheep milk,Ovis aries,9940,context_cleaned_match
17,feline feces,Felis catus,9685,context_cleaned_match
17,raw bovine milk,Bos taurus,9913,context_cleaned_match
17,fecal composite of dairy cows,Bos taurus,9913,context_broad_dictionary
17,fermented cow milk,Bos taurus,9913,context_cleaned_match
17,termite gut,Termitoidae,1912919,context_broad_dictionary
16,poultry manure (Gallus gallus domesticus),Aves,8782,context_broad_dictionary
16,Human feces,Homo sapiens,9606,context_cleaned_match
16,livestock feces,Mammalia,40674,context_broad_dictionary
16,Canine Feces,Canis lupus familiaris,9615,context_cleaned_match
16,manure bird scat,Aves,8782,context_broad_dictionary
16,cat and dog feces,Canis lupus familiaris,9615,context_cleaned_match
16,human saliva metagenome,Homo sapiens,9606,context_dictionary
16,Human milk sample,Homo sapiens,9606,context_dictionary
15,pig feces,Sus scrofa,9823,context_cleaned_match
15,Human blood,Homo sapiens,9606,context_dictionary
15,pig manure,Sus scrofa,9823,context_cleaned_match
15,Canine urine,Canis lupus familiaris,9615,context_cleaned_match
15,Control bovine manure (before application),Bos taurus,9913,context_cleaned_match
15,"Patient feces collected by the Laboratory Department of Children's Hospital of Jinan City, Shandong Province",Homo sapiens,9606,context_dictionary
15,pig stool,Sus scrofa,9823,context_cleaned_match
15,"Feces, Gull (Leucophaeus pipixcan)",Laridae,8911,context_broad_dictionary
15,milk from animal with mastitis,Metazoa,33208,context_broad_dictionary
15,Control Grass (No Manure),Poaceae,4479,context_broad_dictionary
15,water from beech tree-hole,Viridiplantae,33090,context_broad_dictionary
14,Duck feces,Anas platyrhynchos,8839,context_cleaned_match
14,dog feces,Canis lupus familiaris,9615,context_cleaned_match
14,Pond water collected in a bird sanctuary,Aves,8782,context_broad_dictionary
14,raw goat milk,Capra hircus,9925,context_cleaned_match
14,"turkey, faecal samples",Meleagris gallopavo,9103,context_cleaned_match
14,Feces of six-years-old elephant,Elephantidae,9780,context_broad_dictionary
14,Chichen meat,Gallus gallus,9031,broad_dictionary
14,kelp blade whole tissue extract,Phaeophyceae,2870,context_broad_dictionary
13,feces animal,Metazoa,33208,context_broad_dictionary
13,wild boar feces,Sus scrofa,9823,context_cleaned_match
13,Environment of broiler farms,Gallus gallus,9031,context_cleaned_match
13,cow manure,Bos taurus,9913,context_cleaned_match
13,ICU patient oral swab,Homo sapiens,9606,context_dictionary
13,"calf, feces",Bos taurus,9913,context_dictionary
13,"Poultry House, Faecal",Aves,8782,broad_dictionary
13,Animal feces,Metazoa,33208,context_broad_dictionary
13,fermented camel milk,Camelus dromedarius,9838,context_cleaned_match
12,feces avian,Aves,8782,context_broad_dictionary
12,Isolated from feces from dairy cow,Bos taurus,9913,context_cleaned_match
12,Goat faeces,Capra hircus,9925,context_cleaned_match
12,bovine faeces,Bos taurus,9913,context_cleaned_match
12,Infant feces,Homo sapiens,9606,context_dictionary
12,human gut metagenome,Homo sapiens,9606,cleaned_match
12,Salmo salar metagenome,Salmo salar,8030,cleaned_match
12,biofilm scrapped from cow tibia surface after nine month of incubation underwater in a fjord,Bos taurus,9913,context_cleaned_match
11,Animal-Beefcattle-Feces,Metazoa,33208,context_broad_dictionary
11,Bovine (Fecal),Bos taurus,9913,context_dictionary
11,Pig product,Sus scrofa,9823,cleaned_match
11,retail raw cow milk,Bos taurus,9913,context_cleaned_match
11,bos taurus feces,Bos taurus,9913,context_cleaned_match
11,honeybee metagenome,Apis mellifera,7460,context_cleaned_match
11,fish gut metagenome,Actinopterygii,7898,context_broad_dictionary
11,Raw goat milk,Capra hircus,9925,context_cleaned_match
11,a feces sample of swine origin,Sus scrofa,9823,context_cleaned_match
11,"Feces, Bald Eagle (Haliaeetus leucocephalus)",Aves,8782,context_broad_dictionary
11,Plant tissue,Viridiplantae,33090,context_broad_dictionary
11,Pig (sow) - fecal,Sus scrofa,9823,context_cleaned_match
10,Wild bird feces,Aves,8782,context_broad_dictionary
10,Poultry faecal material,Aves,8782,context_broad_dictionary
10,"pig, feces",Sus scrofa,9823,context_cleaned_match
10,"cattle feces, juveniles",Bos taurus,9913,context_cleaned_match
10,Whole fish sold as mackerel tuna; Surface swab,Actinopterygii,7898,context_broad_dictionary
10,environmental swabs sponge,Porifera,6040,context_broad_dictionary
10,Background Grass (no manure on field),Poaceae,4479,context_broad_dictionary
10,feces from wild bird,Aves,8782,context_broad_dictionary
10,fish gut; co-assembled from multi-host: Procypris rabaudi;Hemiculterella sauvagei;Pseudogyrinocheilus prochilus;Acrossocheilus yunnanensis;Onychostoma simum;Ageneiogarra imberba;Homatula variegata;Carassius auratus;Tachysurus fulvidraco;Pseudorasbora parva;Zacco platypus;Opsariichthys bidens;Saurogobio dabryi;Glyptothorax sinensis;Jinshaia sinensis;Paramisgurnus dabryanus,Actinopterygii,7898,context_broad_dictionary
10,Goat raw milk Rocamadour,Capra hircus,9925,context_cleaned_match
10,Bee Gut Microbe,Anthophila,2867191,context_broad_dictionary
9,Animal-Poultry-Feces,Aves,8782,context_broad_dictionary
9,water for animals,Metazoa,33208,context_broad_dictionary
9,chicken water,Gallus gallus,9031,context_cleaned_match
9,Bovine (Meat),Bos taurus,9913,context_dictionary
9,Milk: Raw bovine,Bos taurus,9913,context_cleaned_match
9,fecal pasture close to dairy cow,Bos taurus,9913,context_cleaned_match
9,retail raw whole milk goat,Capra hircus,9925,context_cleaned_match
9,calves faeces,Bos taurus,9913,context_dictionary
9,broiler ceacal sample,Gallus gallus,9031,context_cleaned_match
9,Bovine manure treated grass (week 5),Bos taurus,9913,context_cleaned_match
9,goat milk,Capra hircus,9925,context_cleaned_match
9,Chicken manure compost,Gallus gallus,9031,cleaned_match
9,human skin metagenome,Homo sapiens,9606,context_dictionary
9,Milk cow,Bos taurus,9913,cleaned_match
9,Chicken (meat),Gallus gallus,9031,context_dictionary
9,human milk,Homo sapiens,9606,context_dictionary
9,Grass with Cow Manure,Bos taurus,9913,context_cleaned_match
9,Swine manure,Sus scrofa,9823,context_cleaned_match
9,human left ventricle apex tissue,Homo sapiens,9606,context_dictionary
8,Migratory bird feces,Aves,8782,context_broad_dictionary
8,equine feces (Equus caballus),Equus caballus,9796,context_cleaned_match
8,bird feces,Aves,8782,context_broad_dictionary
8,canine:feces,Canis lupus familiaris,9615,context_cleaned_match
8,livestock feces(cattle),Mammalia,40674,context_broad_dictionary
8,Feline feces,Felis catus,9685,context_cleaned_match
8,Cow milk,Bos taurus,9913,context_cleaned_match
8,environment of equine clinic,Equus caballus,9796,context_cleaned_match
8,Feces of Homo sapiens (GER),Homo sapiens,9606,context_cleaned_match
8,cat gut,Felis catus,9685,context_cleaned_match
8,rabbit gut,Oryctolagus cuniculus,9986,context_cleaned_match
8,Bovine raw milk,Bos taurus,9913,context_cleaned_match
8,Buffalo milk,Bubalus bubalis,89462,context_broad_dictionary
8,Milk-raw bovine,Bos taurus,9913,context_cleaned_match
8,rectal swab from sic cow,Bos taurus,9913,context_cleaned_match
8,fermented goat milk,Capra hircus,9925,context_cleaned_match
8,bacteria pure culture,Bacteria,2,context_dictionary
8,kelp blade surface swab,Phaeophyceae,2870,context_broad_dictionary
7,Animal stool,Metazoa,33208,context_broad_dictionary
7,Pigeon feces,Columba livia,8932,context_cleaned_match
7,Poultry manure,Aves,8782,context_broad_dictionary
7,"Human, Urine",Homo sapiens,9606,context_dictionary
7,"Environment, animals",Metazoa,33208,context_broad_dictionary
7,Feces of Homo sapiens (DK),Homo sapiens,9606,context_cleaned_match
7,"Faecal sample from Parma wallaby, Notamacropus parma",Macropodidae,9307,context_broad_dictionary
7,cloaca swab from retail chicken,Gallus gallus,9031,context_cleaned_match
7,cat and dog urine,Canis lupus familiaris,9615,context_cleaned_match
7,Rectal swab of live bovine cattle,Bos taurus,9913,context_cleaned_match
7,Cow feces,Bos taurus,9913,context_cleaned_match
7,Dog Environment,Canis lupus familiaris,9615,context_cleaned_match
7,Bovine manure,Bos taurus,9913,context_cleaned_match
7,Chicken fecal,Gallus gallus,9031,context_cleaned_match
7,human blood,Homo sapiens,9606,context_dictionary
7,Pig rectum feces,Sus scrofa,9823,context_cleaned_match
7,fresh water tilapia tank,Tilapia,8126,context_broad_dictionary
7,horse manure,Equus caballus,9796,context_cleaned_match
7,murine gut,Mus musculus,10090,context_cleaned_match
7,bacteria cell culture,Bacteria,2,context_dictionary
7,"pool of bioreactors CSTR01a, CSTR02a, and CSTR03a; thermophilic anaerobic digestion of cattle manure in continuous reactors for biogas production (methane)",Bos taurus,9913,context_cleaned_match
6,Chicken House Swab,Gallus gallus,9031,context_cleaned_match
6,blood clams,Bivalvia,6544,context_broad_dictionary
6,environmental avian,Aves,8782,context_broad_dictionary
6,Bovine Stool,Bos taurus,9913,context_cleaned_match
6,Cow milk from bulk tank,Bos taurus,9913,context_cleaned_match
6,Feces of Homo sapiens (DRC),Homo sapiens,9606,context_cleaned_match
6,Feces of Homo sapiens (CIV),Homo sapiens,9606,context_cleaned_match
6,"Faecal sample from Northern nailtail wallaby, Onychogalea unguifera",Macropodidae,9307,context_broad_dictionary
6,Control porcine manure (before application),Sus scrofa,9823,context_cleaned_match
6,feces chicken house,Gallus gallus,9031,context_cleaned_match
6,poultry house fecal,Aves,8782,context_broad_dictionary
6,cow manure scat soil,Bos taurus,9913,context_cleaned_match
6,derived from human gut metagenome,Homo sapiens,9606,context_cleaned_match
6,feline urine,Felis catus,9685,context_cleaned_match
6,sewage plant,Viridiplantae,33090,context_dictionary
6,"Feces, Black Kite (Milvus migrans)",Milvus,43517,context_broad_dictionary
6,"Feces, Gull (Larus michahellis)",Laridae,8911,context_broad_dictionary
6,sour cow milk,Bos taurus,9913,context_cleaned_match
6,Goose faeces,Anser anser,8843,context_cleaned_match
6,human skin swab,Homo sapiens,9606,context_dictionary
6,a feces sample of chicken origin,Gallus gallus,9031,context_cleaned_match
6,sheep milk cheese,Ovis aries,9940,context_cleaned_match
6,fish gut; co-assembled from multi-host: Acrossocheilus yunnanensis;Onychostoma simum;Ageneiogarra imberba;Hemibagrus macropterus;Acrossocheilus monticola;Siniperca knerii;Rhinogobio typus;Tachysurus crassilabris;Spinibarbus sinensis;Platysmacheilus nudiventris;Hemibarbus labeo;Carassius auratus;Sinogastromyzon sichangensis;Tachysurus vachellii;Tachysurus fulvidraco;Hemiculter leucisculus;Hemiculter tchangi;Saurogobio punctatus;Squalidus argentatus;Silurus asotus;Pseudobagrus truncatus,Actinopterygii,7898,context_broad_dictionary
6,sewage from chicken farm,Gallus gallus,9031,context_cleaned_match
6,natural fermented cow's milk,Bos taurus,9913,context_cleaned_match
6,horse faeces,Equus caballus,9796,context_cleaned_match
6,Cattle/Water,Bos taurus,9913,context_cleaned_match
6,raw buffalo milk,Bubalus bubalis,89462,context_broad_dictionary
6,Animal Tissue,Metazoa,33208,context_broad_dictionary
6,plant tissue,Viridiplantae,33090,context_broad_dictionary
6,biofilm; non-axenic culture containing Capilliphycus salinus and associated bacteria,Bacteria,2,context_dictionary
6,Mayonnaise-based potato salad (ready-to-eat food),Solanum tuberosum,4113,context_cleaned_match
5,laying hens environment - boot swab,Gallus gallus,9031,context_broad_dictionary
5,feces equine,Equus caballus,9796,context_cleaned_match
5,Bovine stool,Bos taurus,9913,context_cleaned_match
5,turkey environmental,Meleagris gallopavo,9103,context_cleaned_match
5,chicken dirty pool tissue,Gallus gallus,9031,context_cleaned_match
5,"Turkey hen, feces",Meleagris gallopavo,9103,context_cleaned_match
5,sus scrofa feces,Sus scrofa,9823,context_cleaned_match
5,Feces of Gorilla gorilla gorilla (GAB),Gorilla,9592,context_broad_dictionary
5,healthy cattle faeces,Bos taurus,9913,context_cleaned_match
5,feces chicken house middle,Gallus gallus,9031,context_cleaned_match
5,feces chicken house back,Gallus gallus,9031,context_cleaned_match
