rule_id,current_field,current_value,clear_current_field,destination_field,destination_value,destination_condition,removal_confidence,destination_confidence,merge_policy,evidence_requirement,preserve_legacy_fields,reviewer_status,rationale,source_audit_commit
PH2A-HHS-PATIENT-SAMPLING,Host_Health_State_SD,patient,true,Sampling_Context_SD,clinical subject,always,high,high,set_when_blank_or_same,reviewed current health-state violation,true,approved_phase2a_dry_run,patient is clinical subject context not health state,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-HHS-PATIENT-HUMAN-CONTEXT,Host_Health_State_SD,patient,false,Host_Context_SD,human-associated,human_host_evidence,high,medium,set_when_blank_or_same,Host_SD Homo sapiens or Host_TaxID 9606 or raw human host evidence,true,approved_phase2a_dry_run,patient supports human-associated context only with human evidence,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-HHS-HOSPITALIZED,Host_Health_State_SD,hospitalized,true,Host_Hospitalization_Status_SD,hospitalized,always,high,high,set_when_blank_or_same,reviewed current health-state violation,true,approved_phase2a_dry_run,hospitalization status is not health state,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-HHS-NON-HOSPITALIZED,Host_Health_State_SD,non-hospitalized,true,Host_Hospitalization_Status_SD,not hospitalized,always,high,high,set_when_blank_or_same,reviewed current health-state violation,true,approved_phase2a_dry_run,hospitalization status is not health state,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-HHS-CARRIER,Host_Health_State_SD,carrier,true,Host_Colonization_Status_SD,carrier,always,high,high,set_when_blank_or_same,reviewed current health-state violation,true,approved_phase2a_dry_run,carrier status is colonization/carriage not health state,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-HHS-COLONIZED,Host_Health_State_SD,colonized,true,Host_Colonization_Status_SD,colonized,always,high,high,set_when_blank_or_same,reviewed current health-state violation,true,approved_phase2a_dry_run,colonized status is not health state,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-HHS-ALIVE,Host_Health_State_SD,alive,true,Host_Vital_Status_SD,alive,always,high,high,set_when_blank_or_same,reviewed current health-state violation,true,approved_phase2a_dry_run,vital status is not health state,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-HHS-DEAD,Host_Health_State_SD,dead,true,Host_Vital_Status_SD,deceased,always,high,high,set_when_blank_or_same,reviewed current health-state violation,true,approved_phase2a_dry_run,vital status is not health state,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-HHS-EXPOSURE,Host_Health_State_SD,exposure/contact context,true,Host_Exposure_Context_SD,exposure/contact context,always,high,high,set_when_blank_or_same,reviewed current health-state violation,true,approved_phase2a_dry_run,exposure/contact context is not health state,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-HHS-SPF,Host_Health_State_SD,specific pathogen free,true,Host_Production_Context_SD,specific pathogen free,always,high,high,set_when_blank_or_same,reviewed current health-state violation,true,approved_phase2a_dry_run,specific pathogen free is production/husbandry context not health state,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-HHS-EXACERBATION,Host_Health_State_SD,exacerbation,true,Host_Disease_Stage_SD,exacerbation,always,high,high,set_when_blank_or_same,reviewed current health-state violation,true,approved_phase2a_dry_run,disease stage is not health state,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-HHS-CONVALESCENT,Host_Health_State_SD,convalescent,true,Host_Disease_Stage_SD,convalescent,always,high,high,set_when_blank_or_same,reviewed current health-state violation,true,approved_phase2a_dry_run,disease stage is not health state,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-HD-HEALTHY-NO-DISEASE,Host_Disease_SD,healthy/no disease reported,true,Host_Health_State_SD,healthy,blank_or_same,high,high,set_when_blank_or_same,blank or same Host_Health_State_SD,true,approved_phase2a_dry_run,healthy/no disease reported is health state not disease,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-HD-DISEASED,Host_Disease_SD,diseased,true,Host_Health_State_SD,diseased,blank_or_same,high,high,set_when_blank_or_same,blank or same Host_Health_State_SD,true,approved_phase2a_dry_run,diseased is generic health state not named disease,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-SITE-CSF-SAMPLE,Isolation_Site_SD,cerebrospinal fluid,true,Sample_Material_SD,cerebrospinal fluid,always,high,high,set_when_blank_or_same,reviewed current site violation,true,approved_phase2a_dry_run,CSF is sample material not anatomical site,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-SITE-CSF-ANAT-MATERIAL,Isolation_Site_SD,cerebrospinal fluid,false,Host_Anatomical_Material_SD,cerebrospinal fluid,host_evidence,high,medium,set_when_blank_or_same,host or host-associated evidence,true,approved_phase2a_dry_run,CSF is host anatomical material only with host evidence,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-SITE-MANURE-SAMPLE,Isolation_Site_SD,manure,true,Sample_Material_SD,manure/fecal material,always,high,high,set_when_blank_or_same,reviewed current site violation,true,approved_phase2a_dry_run,manure is fecal/agricultural material not anatomical site,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-SITE-MANURE-MEDIUM,Isolation_Site_SD,manure,false,Environment_Medium_SD,agricultural organic material,always,high,high,set_when_blank_or_same,reviewed current site violation,true,approved_phase2a_dry_run,manure also supports agricultural organic material medium,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-SITE-PUS-SAMPLE,Isolation_Site_SD,pus,true,Sample_Material_SD,pus/purulent material,always,high,high,set_when_blank_or_same,reviewed current site violation,true,approved_phase2a_dry_run,pus is sample material not anatomical site,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-SITE-PUS-ANAT-MATERIAL,Isolation_Site_SD,pus,false,Host_Anatomical_Material_SD,pus/purulent material,host_evidence,high,medium,set_when_blank_or_same,host or host-associated evidence,true,approved_phase2a_dry_run,pus is host anatomical material only with host evidence,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-SITE-PLANT-MATERIAL-CONTEXT,Isolation_Site_SD,plant-associated material,true,Host_Context_SD,plant-associated,always,high,high,set_when_blank_or_same,reviewed current site violation,true,approved_phase2a_dry_run,plant-associated material is plant context/source not anatomical site,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-SITE-PLANT-SAMPLING,Isolation_Site_SD,plant-associated material,false,Sampling_Context_SD,plant-associated,always,high,high,set_when_blank_or_same,reviewed current site violation,true,approved_phase2a_dry_run,plant-associated material supports plant-associated sampling context,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-SITE-PLANT-SAMPLE-MATERIAL,Isolation_Site_SD,plant-associated material,false,Sample_Material_SD,plant material,plant_material_evidence,high,medium,set_when_blank_or_same,raw material/tissue evidence,true,approved_phase2a_dry_run,physical plant material requires material/tissue evidence,fea41b9430bcf245ce7052b503135316a1a255a2
PH2A-SITE-CATHETER-DEVICE,Isolation_Site_SD,catheter,true,Sample_Collection_Device_SD,catheter,collection_device_evidence,high,medium,set_when_blank_or_same,collection-device evidence,true,approved_phase2a_dry_run,catheter should be a collection device only when evidence supports collection device use,fea41b9430bcf245ce7052b503135316a1a255a2
