rule_id	current_field	current_value	clear_current_field	destination_field	destination_value	destination_condition	matched_rows	applied_assignments	destination_conflicts	conditional_assignment_skips	required_evidence_failures	unknown_condition_failures	destination_already_same	destination_existing_different	removal_confidence	destination_confidence	rationale
PH2A-HHS-PATIENT-CLEAR	Host_Health_State_SD	patient	true			always	7540	0	0	0	0	0	0	0	high		patient is not a health state; clear only unless subject evidence supports destination context
PH2A-HHS-PATIENT-SAMPLING	Host_Health_State_SD	patient	false	Sampling_Context_SD	clinical subject	clinical_subject_evidence	7540	6874	0	666	0	0	0	0	high	medium	patient supports clinical subject context only with clinical subject evidence
PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Health_State_SD	patient	false	Host_Context_SD	human-associated	human_host_evidence	7540	6872	0	666	0	0	0	2	high	medium	patient supports human-associated context only with human evidence
PH2A-HHS-HOSPITALIZED	Host_Health_State_SD	hospitalized	true	Host_Hospitalization_Status_SD	hospitalized	always	1183	1183	0	0	0	0	0	0	high	high	hospitalization status is not health state
PH2A-HHS-NON-HOSPITALIZED	Host_Health_State_SD	non-hospitalized	true	Host_Hospitalization_Status_SD	not hospitalized	always	497	497	0	0	0	0	0	0	high	high	hospitalization status is not health state
PH2A-HHS-CARRIER	Host_Health_State_SD	carrier	true	Host_Colonization_Status_SD	carrier	always	922	922	0	0	0	0	0	0	high	high	carrier status is colonization/carriage not health state
PH2A-HHS-COLONIZED	Host_Health_State_SD	colonized	true	Host_Colonization_Status_SD	colonized	always	18	18	0	0	0	0	0	0	high	high	colonized status is not health state
PH2A-HHS-ALIVE	Host_Health_State_SD	alive	true	Host_Vital_Status_SD	alive	always	40	40	0	0	0	0	0	0	high	high	vital status is not health state
PH2A-HHS-DEAD	Host_Health_State_SD	dead	true	Host_Vital_Status_SD	deceased	always	289	289	0	0	0	0	0	0	high	high	vital status is not health state
PH2A-HHS-EXPOSURE	Host_Health_State_SD	exposure/contact context	true	Host_Exposure_Context_SD	exposure/contact context	always	95	95	0	0	0	0	0	0	high	high	exposure/contact context is not health state
PH2A-HHS-SPF	Host_Health_State_SD	specific pathogen free	true	Host_Production_Context_SD	specific pathogen free	always	56	56	0	0	0	0	0	0	high	high	specific pathogen free is production/husbandry context not health state
PH2A-HHS-EXACERBATION	Host_Health_State_SD	exacerbation	true	Host_Disease_Stage_SD	exacerbation	always	48	48	0	0	0	0	0	0	high	high	disease stage is not health state
PH2A-HHS-CONVALESCENT	Host_Health_State_SD	convalescent	true	Host_Disease_Stage_SD	convalescent	always	1	1	0	0	0	0	0	0	high	high	disease stage is not health state
PH2A-HD-HEALTHY-NO-DISEASE	Host_Disease_SD	healthy/no disease reported	true	Host_Health_State_SD	healthy	blank_or_same	4589	101	0	0	0	0	2734	1754	high	high	healthy/no disease reported is health state not disease
PH2A-HD-DISEASED	Host_Disease_SD	diseased	true	Host_Health_State_SD	diseased	blank_or_same	1071	0	0	0	0	0	1053	18	high	high	diseased is generic health state not named disease
PH2A-SITE-CSF-SAMPLE	Isolation_Site_SD	cerebrospinal fluid	true	Sample_Material_SD	cerebrospinal fluid	always	5264	5264	0	0	0	0	0	0	high	high	CSF is sample material not anatomical site
PH2A-SITE-CSF-ANAT-MATERIAL	Isolation_Site_SD	cerebrospinal fluid	false	Host_Anatomical_Material_SD	cerebrospinal fluid	host_evidence	5264	5264	0	0	0	0	0	0	high	medium	CSF is host anatomical material only with host evidence
PH2A-SITE-MANURE-SAMPLE	Isolation_Site_SD	manure	true	Sample_Material_SD	manure/fecal material	always	4577	4577	0	0	0	0	0	0	high	high	manure is fecal/agricultural material not anatomical site
PH2A-SITE-MANURE-MEDIUM	Isolation_Site_SD	manure	false	Environment_Medium_SD	agricultural organic material	always	4577	1	0	0	0	0	0	4576	high	high	manure also supports agricultural organic material medium
PH2A-SITE-PUS-SAMPLE	Isolation_Site_SD	pus	true	Sample_Material_SD	pus/purulent material	always	2645	2645	0	0	0	0	0	0	high	high	pus is sample material not anatomical site
PH2A-SITE-PUS-ANAT-MATERIAL	Isolation_Site_SD	pus	false	Host_Anatomical_Material_SD	pus/purulent material	host_evidence	2645	2645	0	0	0	0	0	0	high	medium	pus is host anatomical material only with host evidence
PH2A-SITE-PLANT-CLEAR	Isolation_Site_SD	plant-associated material	true			always	2016	0	0	0	0	0	0	0	high		plant-associated material is not an isolation site; destinations require separate plant evidence
PH2A-SITE-PLANT-MATERIAL-CONTEXT	Isolation_Site_SD	plant-associated material	false	Host_Context_SD	plant-associated	plant_context_evidence	2016	1891	0	125	0	0	0	0	high	medium	plant-associated host context requires plant evidence beyond the invalid site value
PH2A-SITE-PLANT-SAMPLING	Isolation_Site_SD	plant-associated material	false	Sampling_Context_SD	plant-associated	plant_context_evidence	2016	1891	0	125	0	0	0	0	high	medium	plant-associated sampling context requires plant evidence beyond the invalid site value
PH2A-SITE-PLANT-SAMPLE-MATERIAL	Isolation_Site_SD	plant-associated material	false	Sample_Material_SD	plant material	plant_material_evidence	2016	234	0	1782	0	0	0	0	high	medium	physical plant material requires material/tissue evidence
