field	standardized_value	row_count	review_signal_type	recommended_action
Isolation_Source_SD	environmental material	361	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	clinical/host-associated material	124	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	solar salt	5	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Salt mine	4	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	solar saltern	4	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	hot solfataric spring	2	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	hindguts	2	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	deep-sea hydrothermal vent	2	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	deep-sea hydrothermal vent area at PACMANUS field	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	high-temperature Samotlor oil reservoir	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Derek Lovley (dlovley@microbio.umass.edu)	1	person_or_email_in_standardized_field	review as provenance/metadata descriptor, not source
Isolation_Source_SD	culture	1	process_descriptor_in_source_field	review culture/process wording before source promotion
Isolation_Source_SD	solfataric field of Uzon caldera	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	off shore oil field from Gulf of Guinea	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	isolated from slime streamers and attached to pyrite surfaces at a sulfide ore body	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	deep-sea hydrothermal vent chimney at the Iheya Ridge in the Okinawa Trough	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	solfataric thermal field close to Moutnovsky volcano, Kamchatka	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	solfataric thermal field close to Moutnovsky volcano	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Black smoker wall, 3500 m depth	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	shallow subarine vent system at the Kolbeinskey Ridge	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Red heat in salted hides (spoiled fish)	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Mud of drilling swamp from Italy	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	deep-sea hydrothermal sulfide chimney	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	East Pacific Ridge	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	seafood/aquatic food product	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Marker113 at caldera of Axial Seamount	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	saline saltern	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	Isolated by cultivation in SME medium under anaerobic conditions at 100Â°C from a black smoker chimney fragment	1	observed_standardized_value	no action in audit-only phase
Isolation_Source_SD	termite hindguts	1	observed_standardized_value	no action in audit-only phase
