raw_value,affected_rows,current_signal_type,current_standardized_value,current_broad_value,current_recommended_action,contributing_raw_examples_if_available,reviewer_decision,proposed_host_disease_sd,proposed_host_health_state_sd,proposed_sample_type_sd,proposed_isolation_site_sd,proposed_host_context_sd,proposed_isolation_source_sd,proposed_isolation_source_broad,confidence,rationale,rule_file_to_update,rule_to_add,test_to_add,notes
diarrhea,266,disease,diarrheal disease,host clinical state,route_to_host_disease,,route_to_host_disease,diarrheal disease,,,,,clinical/host-associated material,clinical/host-associated material,high,Clear disease term; keep out of literal source/material/environment fields.,app.py; controlled_categories.csv,HOST_DISEASE_SYNONYMS alias / existing approved rule,test_batch7_disease_health_source_context,Disease-only values may preserve broad clinical context but not literal source value.
diarrhoea,13,disease,diarrheal disease,host clinical state,route_to_host_disease,,route_to_host_disease,diarrheal disease,,,,,clinical/host-associated material,clinical/host-associated material,high,British spelling disease alias.,app.py; controlled_categories.csv,HOST_DISEASE_SYNONYMS alias / existing approved rule,test_batch7_disease_health_source_context,
diarrheal,manual,disease,diarrheal disease,host clinical state,route_to_host_disease,,route_to_host_disease,diarrheal disease,,,,,clinical/host-associated material,clinical/host-associated material,high,Adjectival disease label from source fields.,app.py,HOST_DISEASE_SYNONYMS alias,test_batch7_disease_health_source_context,
pneumonia,15,disease,pneumonia,,route_to_host_disease,,route_to_host_disease,pneumonia,,,,,clinical/host-associated material,clinical/host-associated material,high,Clear disease term.,controlled_categories.csv,existing approved rule,test_batch7_disease_health_source_context,
sepsis,6,disease,sepsis/bacteremia,,route_to_host_disease,,route_to_host_disease,sepsis/bacteremia,,,,,clinical/host-associated material,clinical/host-associated material,high,Clear disease term.,controlled_categories.csv,existing approved rule,test_batch7_disease_health_source_context,
septicemia,manual,disease,sepsis/bacteremia,host clinical state,route_to_host_disease,,route_to_host_disease,sepsis/bacteremia,,,,,clinical/host-associated material,clinical/host-associated material,high,Clear sepsis/bacteremia alias.,app.py; controlled_categories.csv,HOST_DISEASE_SYNONYMS alias; reviewed CSV row,test_batch7_disease_health_source_context,
bacteremia,208,disease,sepsis/bacteremia,,route_to_host_disease,,route_to_host_disease,sepsis/bacteremia,,,,,clinical/host-associated material,clinical/host-associated material,high,Clear bloodstream infection term.,controlled_categories.csv,existing approved rule,test_batch7_disease_health_source_context,
bacteraemia,4,disease,sepsis/bacteremia,host clinical state,route_to_host_disease,,route_to_host_disease,sepsis/bacteremia,,,,,clinical/host-associated material,clinical/host-associated material,high,British spelling disease alias; previous health-only row was incomplete.,app.py; controlled_categories.csv,HOST_DISEASE_SYNONYMS alias; reviewed CSV row,test_batch7_disease_health_source_context,
urinary tract infection,62,disease+site,urinary tract infection,host clinical state,split_disease_and_isolation_site,,split_disease_and_isolation_site,urinary tract infection,,,urogenital tract,,clinical/host-associated material,clinical/host-associated material,high,Clear disease term; site may be urogenital when supported.,controlled_categories.csv; app.py,existing disease rule; anatomy router,test_batch7_disease_health_source_context,Did not force sample type unless urine material is present.
UTI,manual,disease,urinary tract infection,host clinical state,route_to_host_disease,,route_to_host_disease,urinary tract infection,,,,,clinical/host-associated material,clinical/host-associated material,high,Common abbreviation for urinary tract infection.,app.py,existing HOST_DISEASE_SYNONYMS alias,test_batch7_disease_health_source_context,
urine from UTI,manual,disease+sample,urine from UTI,clinical/host-associated material,split_disease_and_sample_type,,split_disease_and_sample_type,urinary tract infection,,urine,,,,,high,Phrase contains both urine specimen and UTI disease.,controlled_categories.csv,Sample_Type_SD=urine; Host_Disease_SD=urinary tract infection,test_batch7_disease_health_source_context,
blood from sepsis,2,disease+sample,blood from sepsis,clinical/host-associated material,split_disease_and_sample_type,,split_disease_and_sample_type,sepsis/bacteremia,,blood,,,,,high,Phrase contains blood specimen and sepsis disease.,controlled_categories.csv,Sample_Type_SD=blood; Host_Disease_SD=sepsis/bacteremia,test_batch7_disease_health_source_context,
blood from patient with septicemia,2,disease+sample,blood from patient with septicemia,clinical/host-associated material,split_disease_and_sample_type,,split_disease_and_sample_type,sepsis/bacteremia,,blood,,human-associated,,,high,Existing blood sample rule supplemented with septicemia disease context.,controlled_categories.csv,Host_Disease_SD=sepsis/bacteremia,test_batch7_disease_health_source_context,
urine sample from patient with Septicemia,3,disease+sample,urine sample from patient with Septicemia,clinical/host-associated material,split_disease_and_sample_type,,split_disease_and_sample_type,sepsis/bacteremia,,urine,,human-associated,,,high,Existing urine sample rule supplemented with septicemia disease context.,controlled_categories.csv,Host_Disease_SD=sepsis/bacteremia,test_batch7_disease_health_source_context,
mastitis,24,disease,mastitis,,route_to_host_disease,,route_to_host_disease,mastitis,,,,,clinical/host-associated material,clinical/host-associated material,high,Clear animal disease term.,controlled_categories.csv,existing approved rule,test_batch7_disease_health_source_context,
mastitis milk,13,disease+sample,milk,food/source material,split_disease_and_sample_type,,split_disease_and_sample_type,mastitis,,milk,,,,,high,Correct old exact-source milk route into milk specimen plus mastitis disease.,app.py; controlled_categories.csv,DISEASE_SAMPLE_SPLIT_SOURCE_TERMS; Sample_Type_SD=milk; Host_Disease_SD=mastitis,test_batch7_disease_health_source_context,Old Isolation_Source_SD=milk suppressed for this reviewed phrase.
bovine mastitis milk,4,disease+sample,milk,food/source material,split_disease_and_sample_type,,split_disease_and_sample_type,mastitis,,milk,,livestock/cattle,,,high,Animal disease/sample phrase: milk specimen plus mastitis disease.,app.py; controlled_categories.csv,DISEASE_SAMPLE_SPLIT_SOURCE_TERMS; Sample_Type_SD=milk; Host_Disease_SD=mastitis,test_batch7_disease_health_source_context,
diarrheal stool,manual,disease+sample,feces/stool,feces/gut/intestinal material,split_disease_and_sample_type,,split_disease_and_sample_type,diarrheal disease,,feces/stool,,,,,high,Fecal specimen with diarrheal disease context.,controlled_categories.csv,Host_Disease_SD=diarrheal disease; existing Sample_Type_SD=feces/stool,test_batch7_disease_health_source_context,
wound infection,7,disease+site,wound infection,clinical/host-associated material,split_disease_and_isolation_site,,split_disease_and_isolation_site,wound infection,,,wound,,clinical/host-associated material,clinical/host-associated material,high,Clear disease plus wound site.,controlled_categories.csv; app.py,existing disease rule; anatomy router,test_batch7_disease_health_source_context,
skin infection,manual,disease+site,skin infection,host clinical state,split_disease_and_isolation_site,,split_disease_and_isolation_site,skin infection,,,skin/body surface,,clinical/host-associated material,clinical/host-associated material,high,Clear disease plus skin site.,app.py; controlled_categories.csv,HOST_DISEASE_SYNONYMS alias; reviewed CSV row,test_batch7_disease_health_source_context,
respiratory infection,manual,disease+site,respiratory infection,host clinical state,split_disease_and_isolation_site,,split_disease_and_isolation_site,respiratory infection,,,respiratory tract,,clinical/host-associated material,clinical/host-associated material,high,Clear respiratory disease/site phrase.,app.py,canonical_anatomical_site respiratory infection pattern,test_batch7_disease_health_source_context,
