raw_value,affected_rows,current_signal_type,current_standardized_value,current_broad_value,current_recommended_action,contributing_raw_examples_if_available,reviewer_decision,proposed_host_context_sd,proposed_sample_type_sd,proposed_isolation_source_sd,proposed_isolation_source_broad,proposed_environment_medium_sd,proposed_environment_broad_scale_sd,proposed_environment_local_scale_sd,proposed_isolation_site_sd,confidence,rationale,rule_file_to_update,rule_to_add,test_to_add,notes
human,,host_context,,,review_signal_triage,human,preserve_human_associated_context,human-associated,,,,,,,,high,Human-only source values no longer populate exact source/sample/environment.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
patient,,host_context,,,review_signal_triage,patient,preserve_human_associated_context,human-associated,,,,,,,,high,Patient-only source values preserve human-associated context without exact source.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
clinical patient,,host_context,,,review_signal_triage,clinical patient,preserve_human_associated_context,human-associated,,clinical sample,clinical/host-associated material,,,,,high,"Clinical context preserved, not environment/sample-only.",fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
animal,,host_context,,,review_signal_triage,animal,preserve_animal_associated_context,animal-associated,,,,,,,,high,Animal-only source value routed to host context only.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
livestock,,host_context,,,review_signal_triage,livestock,preserve_animal_associated_context,livestock/cattle,,,,,,,,high,Livestock-only label protected from exact source leakage.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
calf,,host_context,,,review_signal_triage,calf,preserve_animal_associated_context,livestock/cattle,,,,,,,,high,Animal-only label protected from exact source leakage.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
horse,,host_context,,,review_signal_triage,horse,preserve_animal_associated_context,livestock/horse,,,,,,,,high,Animal-only label protected from exact source leakage.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
cat,,host_context,,,review_signal_triage,cat,preserve_animal_associated_context,pet/companion animal,,,,,,,,high,Pet animal context retained without exact source.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
insect,,host_context,,,review_signal_triage,insect,preserve_animal_associated_context,arthropod,,,,,,,,high,Arthropod context retained without exact source.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
tick,,host_context,,,review_signal_triage,tick,preserve_animal_associated_context,arthropod,,,,,,,,high,Arthropod context retained without exact source.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
bird,,host_context,,,review_signal_triage,bird,preserve_animal_associated_context,bird,,,,,,,,high,Bird-only context retained without exact source.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
wild bird,,host_context,,,review_signal_triage,wild bird,preserve_animal_associated_context,bird,,,,,,,,high,Bird-only context retained without exact source.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
chicken feces,,host_context,,,review_signal_triage,chicken feces,split_sample_type_and_host_context,poultry,feces/stool,,,,,,,high,Animal + material split: feces sample type plus poultry context.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
cattle feces,,host_context,,,review_signal_triage,cattle feces,split_sample_type_and_host_context,livestock/cattle,feces/stool,,,,,,,high,Animal + material split.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
swine feces,,host_context,,,review_signal_triage,swine feces,split_sample_type_and_host_context,livestock/swine,feces/stool,,,,,,,high,Animal + material split.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
cow milk,,host_context,,,review_signal_triage,cow milk,split_sample_type_and_host_context,livestock/cattle,milk,,,,,,,high,Milk sample type plus livestock context.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
poultry litter,,host_context,,,review_signal_triage,poultry litter,split_environment_and_host_context,poultry,,,,agricultural organic material,,,,high,Agricultural organic medium plus poultry context; no food/meat.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
animal bedding,,host_context,,,review_signal_triage,animal bedding,split_environment_and_host_context,animal-associated,,,,agricultural organic material,,,,high,Agricultural organic medium plus animal context.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
fish gut,,host_context,,,review_signal_triage,fish gut,protect_animal_anatomy_from_human_site_mapping,fish,gut content,host-associated context,host-associated context,,,,,medium-high,Animal anatomy protected from human clinical site routing.,fetchm_webapp/app.py,deterministic router/helper update,test_batch6_host_only_animal_plant_context,Lightweight Batch 6; canonical refresh deferred.
