field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	additive_destinations	remove_from_current_field	review_required	action_class	row_count	reason	expected_semantic_classes
Isolation_Source_SD_Broad	clinical/host-associated material	source_context		source_context:clinical or host-associated source context	high	compatible	Isolation_Source_SD	false	false	additive_axis_enrichment	1058090	source_context:clinical or host-associated source context	anatomical_material|environment_broad_scale|environment_medium|food_commodity|host_context|sample_material|source_context
Isolation_Source_SD_Broad	environmental material	source_context		source_context:broad source context	high	compatible	Isolation_Source_SD	false	false	additive_axis_enrichment	418885	source_context:broad source context	anatomical_material|environment_broad_scale|environment_medium|food_commodity|host_context|sample_material|source_context
Sample_Type_SD_Broad	clinical/host-associated material	source_context		source_context:clinical or host-associated source context	high	compatible	Isolation_Source_SD	false	false	additive_axis_enrichment	329869	source_context:clinical or host-associated source context	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context|source_context
Environment_Medium_SD_Broad	water	environment_medium		environment_medium:environmental medium	high	compatible	Environment_Medium_SD	false	false	additive_axis_enrichment	192665	environment_medium:environmental medium	environment_medium
Sample_Type_SD_Broad	food/meat	food_commodity		food_commodity:explicit food or commodity context	high	compatible	Isolation_Source_SD|Sample_Type_SD	false	false	additive_axis_enrichment	133186	food_commodity:explicit food or commodity context	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context|source_context
Isolation_Source_SD_Broad	food/meat	food_commodity		food_commodity:explicit food or commodity context	high	compatible	Isolation_Source_SD|Sample_Type_SD	false	false	additive_axis_enrichment	131650	food_commodity:explicit food or commodity context	anatomical_material|environment_broad_scale|environment_medium|food_commodity|host_context|sample_material|source_context
Host_Anatomical_Site_SD	gastrointestinal tract	anatomical_site		anatomical_site:anatomical site or plant part	high	compatible	Isolation_Site_SD	false	false	additive_axis_enrichment	103923	anatomical_site:anatomical site or plant part	anatomical_site
Isolation_Site_SD	gastrointestinal tract	anatomical_site		anatomical_site:anatomical site or plant part	high	compatible	Host_Anatomical_Site_SD	false	false	additive_axis_enrichment	103798	anatomical_site:anatomical site or plant part	anatomical_site
Environment_Medium_SD_Broad	soil	environment_medium		environment_medium:environmental medium	high	compatible	Environment_Medium_SD	false	false	additive_axis_enrichment	97507	environment_medium:environmental medium	environment_medium
Environment_Medium_SD_Broad	sediment	environment_medium		environment_medium:environmental medium	high	compatible	Environment_Medium_SD	false	false	additive_axis_enrichment	76342	environment_medium:environmental medium	environment_medium
Sample_Type_SD	urine	sample_material		sample_material:physical specimen/material	high	compatible	Sample_Material_SD	false	false	additive_axis_enrichment	68685	sample_material:physical specimen/material	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context
Isolation_Site_SD	sterile body site	anatomical_site		anatomical_site:anatomical site or plant part	high	compatible	Host_Anatomical_Site_SD	false	false	additive_axis_enrichment	46777	anatomical_site:anatomical site or plant part	anatomical_site
Sample_Type_SD	chicken meat	food_commodity		food_commodity:explicit food or commodity context	high	compatible	Isolation_Source_SD	false	false	additive_axis_enrichment	44567	food_commodity:explicit food or commodity context	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context
Host_Anatomical_Site_SD	rectum/perianal region	anatomical_site		anatomical_site:anatomical site or plant part	high	compatible	Isolation_Site_SD	false	false	additive_axis_enrichment	36352	anatomical_site:anatomical site or plant part	anatomical_site
Isolation_Site_SD	rectum/perianal region	anatomical_site		anatomical_site:anatomical site or plant part	high	compatible	Host_Anatomical_Site_SD	false	false	additive_axis_enrichment	36352	anatomical_site:anatomical site or plant part	anatomical_site
Sample_Type_SD	sputum	sample_material		sample_material:physical specimen/material	high	compatible	Sample_Material_SD	false	false	additive_axis_enrichment	35588	sample_material:physical specimen/material	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context
Sample_Type_SD	clinical sample	sampling_context		sampling_context:clinical	high	compatible	Sampling_Context_SD	false	false	additive_axis_enrichment	33519	sampling_context:clinical	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context
Isolation_Source_SD_Broad	food	food_commodity		food_commodity:explicit food or commodity context	high	compatible	Isolation_Source_SD|Sample_Type_SD	false	false	additive_axis_enrichment	32991	food_commodity:explicit food or commodity context	anatomical_material|environment_broad_scale|environment_medium|food_commodity|host_context|sample_material|source_context
Isolation_Site_SD	nasopharynx/oropharynx	anatomical_site		anatomical_site:anatomical site or plant part	high	compatible	Host_Anatomical_Site_SD	false	false	additive_axis_enrichment	29951	anatomical_site:anatomical site or plant part	anatomical_site
Sample_Type_SD_Broad	clinical fluid/material	sample_material		sample_material:clinical fluid or purulent material	high	compatible	Sample_Material_SD|Sample_Type_SD	false	false	additive_axis_enrichment	29791	sample_material:clinical fluid or purulent material	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context|source_context
Isolation_Source_SD_Broad	healthcare-associated environment	environment_broad_scale		environment_broad_scale:broad environmental setting	high	compatible	Environment_Broad_Scale_SD	false	false	additive_axis_enrichment	29706	environment_broad_scale:broad environmental setting	anatomical_material|environment_broad_scale|environment_medium|food_commodity|host_context|sample_material|source_context
Sample_Type_SD_Broad	food	food_commodity		food_commodity:explicit food or commodity context	high	compatible	Isolation_Source_SD|Sample_Type_SD	false	false	additive_axis_enrichment	29078	food_commodity:explicit food or commodity context	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context|source_context
Isolation_Source_SD	food/food product	food_commodity		food_commodity:explicit food or commodity context	high	compatible	Sample_Type_SD	false	false	additive_axis_enrichment	27204	food_commodity:explicit food or commodity context	anatomical_material|environment_broad_scale|environment_local_scale|environment_medium|food_commodity|host_context|sample_material|source_context
Isolation_Source_SD	healthcare facility	environment_local_scale		environment_local_scale:local environmental or facility feature	high	compatible	Environment_Local_Scale_SD	false	false	additive_axis_enrichment	24785	environment_local_scale:local environmental or facility feature	anatomical_material|environment_broad_scale|environment_local_scale|environment_medium|food_commodity|host_context|sample_material|source_context
Sample_Type_SD	food	food_commodity		food_commodity:explicit food or commodity context	high	compatible	Isolation_Source_SD	false	false	additive_axis_enrichment	24769	food_commodity:explicit food or commodity context	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context
Isolation_Site_SD	wound	anatomical_site		anatomical_site:anatomical site or plant part	high	compatible	Host_Anatomical_Site_SD	false	false	additive_axis_enrichment	22269	anatomical_site:anatomical site or plant part	anatomical_site
Isolation_Site_SD	lower respiratory tract/bronch/pleural cavity	anatomical_site		anatomical_site:anatomical site or plant part	high	compatible	Host_Anatomical_Site_SD	false	false	additive_axis_enrichment	20282	anatomical_site:anatomical site or plant part	anatomical_site
Sample_Type_SD_Broad	environmental material	source_context		source_context:broad source context	high	compatible	Isolation_Source_SD	false	false	additive_axis_enrichment	19876	source_context:broad source context	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context|source_context
Environment_Medium_SD_Broad	wastewater/sewage	environment_medium		environment_medium:environmental medium	high	compatible	Environment_Medium_SD	false	false	additive_axis_enrichment	19627	environment_medium:environmental medium	environment_medium
Sample_Type_SD	environmental sample	sampling_context		sampling_context:sampling context	high	compatible	Sampling_Context_SD	false	false	additive_axis_enrichment	18083	sampling_context:sampling context	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context
Host_Anatomical_Site_SD	lower respiratory tract/bronch/pleural cavity	anatomical_site		anatomical_site:anatomical site or plant part	high	compatible	Isolation_Site_SD	false	false	additive_axis_enrichment	17996	anatomical_site:anatomical site or plant part	anatomical_site
Host_Anatomical_Site_SD	nasal cavity/sinus/upper respiratory tract	anatomical_site		anatomical_site:anatomical site or plant part	high	compatible	Isolation_Site_SD	false	false	additive_axis_enrichment	17926	anatomical_site:anatomical site or plant part	anatomical_site
Isolation_Site_SD	nasal cavity/sinus/upper respiratory tract	anatomical_site		anatomical_site:anatomical site or plant part	high	compatible	Host_Anatomical_Site_SD	false	false	additive_axis_enrichment	17919	anatomical_site:anatomical site or plant part	anatomical_site
Sample_Type_SD	beef	food_commodity		food_commodity:explicit food or commodity context	high	compatible	Isolation_Source_SD	false	false	additive_axis_enrichment	15328	food_commodity:explicit food or commodity context	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context
