raw_value,reviewer_decision,proposed_value,confidence,rationale,before_Isolation_Source_SD,after_Isolation_Source_SD,before_Isolation_Source_SD_Broad,after_Isolation_Source_SD_Broad,before_Sample_Type_SD,after_Sample_Type_SD,before_Isolation_Site_SD,after_Isolation_Site_SD,before_Environment_Medium_SD,after_Environment_Medium_SD,before_Environment_Broad_Scale_SD,after_Environment_Broad_Scale_SD,before_Environment_Local_Scale_SD,after_Environment_Local_Scale_SD
anaerobic digester,route_environment_context,wastewater/organic waste,high,Process/environment context; remove false clinical/sample routing.,clinical/host-associated material,wastewater/organic waste,clinical/host-associated material,wastewater/organic waste,anaerobic digester,,,,,,,,,
animal bedding,route_environment_medium,agricultural organic material,high,Explicit animal-environment material.,animal bedding,environmental material,,environmental material,,,,,,agricultural organic material,,,,
blood,preserve_sample_context,blood,high,Batch 2 sample-material behavior remains protected.,clinical/host-associated material,clinical/host-associated material,clinical/host-associated material,clinical/host-associated material,blood,blood,,,,,,,,
canal,admin_review_needed,,low,Context-free anatomical or waterway term.,,,,,,,,,,,,,,
canal sediment,route_environment_medium,sediment,high,Explicit sediment medium plus canal context.,environmental material,environmental material,environmental material,environmental material,,,,,sediment,sediment,aquatic sediment environment,aquatic sediment environment,canal,canal
chicken meat,preserve_food_context,food/meat,high,Food context remains protected.,poultry meat/product,poultry meat/product,food/meat,food/meat,chicken meat,chicken meat,,,,,food-associated environment,food-associated environment,,
dental biofilm,preserve_site_and_medium,biofilm,high,Preserve oral site while recording biofilm medium.,environmental material,environmental material,environmental material,environmental material,,,oral cavity,oral cavity,biofilm,biofilm,,,,
drainage,admin_review_needed,,low,Could be clinical material or environmental drainage.,,,,,,,,,,,,,,
drainage water,route_environment_medium,drainage water,high,Explicit water qualifier resolves drainage ambiguity.,environmental material,environmental material,environmental material,environmental material,,,,,drainage water,drainage water,,,,
ear canal,preserve_anatomical_site,organ/tissue site,high,Batch 3 anatomical canal behavior remains unchanged.,clinical/host-associated material,clinical/host-associated material,clinical/host-associated material,clinical/host-associated material,,,organ/tissue site,organ/tissue site,,,,,,
enrichment culture,route_process_context,culture,high,Standalone process/culture context; do not classify as clinical source.,clinical/host-associated material,culture,clinical/host-associated material,culture,enrichment culture,enrichment culture,,,,,,,,
estuary,route_environment_context,estuarine environment,high,Location context; remove false clinical/sample routing.,clinical/host-associated material,environmental material,clinical/host-associated material,environmental material,estuary,,,,,,estuarine environment,estuarine environment,estuary,estuary
influent,admin_review_needed,,low,"Requires wastewater, process, or water context.",influent,influent,,,,,,,,,,,,
leaf tissue,preserve_plant_context,plant tissue + leaf site,high,Batch 2 plant tissue and Batch 3 site behavior remain protected.,plant-associated material,plant-associated material,plant-associated material,plant-associated material,plant tissue,plant tissue,leaf tissue,leaf tissue,plant tissue,plant tissue,,,,
mud,admin_review_needed,,low,"Could be sediment/soil medium, location descriptor, or unresolved source.",mud,mud,,,,,,,,,,,,
poultry litter,route_environment_medium,agricultural organic material,high,Explicit agricultural bedding/waste material.,,,,,,,,,,agricultural organic material,,,,
river sediment,route_environment_medium,sediment,high,High-confidence medium plus river context; remove river pseudo-sample fallback.,environmental material,environmental material,environmental material,environmental material,river,,,,sediment,sediment,aquatic sediment environment,aquatic sediment environment,river,river
sand,admin_review_needed,,low,"Could be environmental medium, sediment modifier, or material descriptor.",sand,sand,,,,,,,,,,,,
sewage influent,route_environment_medium,sewage,high,Explicit sewage-process medium; remove sewage pseudo-sample fallback.,environmental material,environmental material,environmental material,environmental material,sewage,,,,sewage,sewage,wastewater/sewage,wastewater/sewage,,
sink biofilm,route_environment_medium,biofilm,high,Explicit biofilm medium with built-environment context; remove sink pseudo-sample fallback.,environmental material,environmental material,environmental material,environmental material,sink,,,,biofilm,biofilm,,,,
soil enrichment culture,preserve_environment_context,soil,high,Specific soil medium takes precedence over generic culture process.,environmental material,environmental material,environmental material,environmental material,enrichment culture,enrichment culture,,,soil,soil,terrestrial environment,terrestrial environment,,
surface,admin_review_needed,,low,"Could be body, built, food-contact, or surface-water context.",,,,,,,,,,,,,,
wastewater treatment plant effluent,route_environment_medium,wastewater,high,Explicit wastewater-process phrase; block plant-anatomy substring leakage.,plant-associated material,environmental material,plant-associated material,environmental material,,,plant-associated material,,wastewater,wastewater,wastewater/sewage,wastewater/sewage,,
wastewater treatment plant influent,route_environment_medium,wastewater,high,Explicit wastewater-process phrase; block plant-anatomy substring leakage.,plant-associated material,environmental material,plant-associated material,environmental material,,,plant-associated material,,wastewater,wastewater,wastewater/sewage,wastewater/sewage,,
wound drainage,preserve_sample_and_site,drainage + wound,high,Batch 3 clinical split remains unchanged.,,,,,drainage,drainage,wound,wound,,,,,,
