field	standardized_value	semantic_class	row_count	reason	proposed_destination
Isolation_Source_SD	blood	sample_material	9729	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD_Broad	clinical fluid/material	sample_material	9023	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD	clinical fluid/material	sample_material	9021	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD	urine	sample_material	2891	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD	feces/stool	sample_material	343	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD_Broad	feces/stool	sample_material	343	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD	milk	sample_material	123	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD	caeca content	sample_material	80	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD	Broncho-alveolar lavage	sample_material	72	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD	fermented milk/dairy product	sample_material	64	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD_Broad	tissue	sample_material	44	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD	ceacal content	sample_material	43	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD	tissue	sample_material	43	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD	blood-derived material	sample_material	36	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD	broncho-alveolar lavage	sample_material	35	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD	Nasopharygneal lavage	sample_material	24	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD	lavage	sample_material	22	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD	Tracheal lavage	sample_material	15	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
Isolation_Source_SD	body fluid	sample_material	13	Physical specimen/material values should not be represented as strict source context.	Sample_Type_SD
