current_field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	affected_assignments	additive_destinations	remove_from_current_field	action_class	confidence	rationale	source_flags
Sample_Type_SD	cell culture	sample_entity	sample_processing	sample_entity:cell culture|sample_processing:cultured	54613	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Sample_Type_SD	sterile body site	anatomical_site		anatomical_site:anatomical site or plant part	46778	Host_Anatomical_Site_SD|Isolation_Site_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD	nasopharynx/oropharynx	anatomical_site		anatomical_site:anatomical site or plant part	31643	Host_Anatomical_Site_SD|Isolation_Site_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Sample_Type_SD_Broad	upper respiratory tract	anatomical_site		anatomical_site:anatomical site or plant part	31643	Host_Anatomical_Site_SD|Isolation_Site_SD	false	legacy_compatibility_label	high	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	non_material_values_in_sample_type
Host_Anatomical_Site_SD	feces/stool	anatomical_material	sample_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	23405	Host_Anatomical_Material_SD|Sample_Material_SD|Sample_Type_SD	true	manual_review	medium	Site field contains non-site material/context without an anatomical-site component.	conflicting_anatomical_site_fields
Sample_Type_SD	culture	sample_entity	sample_processing	sample_entity:culture entity|sample_processing:cultured	21152	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Sample_Type_SD	single cell	sample_entity	sample_processing	sample_entity:single cell|sample_processing:single-cell preparation	11833	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Sample_Type_SD	microbial isolate	sample_entity	sample_processing	sample_entity:microbial isolate|sample_processing:isolated	11428	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split	high	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	processing_values_in_sample_type
Host_Anatomical_Site_SD	cecal/gut content	anatomical_material	sample_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	9821	Host_Anatomical_Material_SD|Sample_Material_SD|Sample_Type_SD	true	manual_review	medium	Site field contains non-site material/context without an anatomical-site component.	conflicting_anatomical_site_fields
Isolation_Source_SD	blood	sample_material	anatomical_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	9729	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	false	composite_requires_split	medium	Material in source fields is a decomposition candidate, not necessarily an error under NCBI-compatible isolation_source semantics.	material_values_in_isolation_source
