field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	row_count	reason	additive_destinations	proposed_destination	remove_from_current_field	action_class
Sample_Type_SD	sterile body site	anatomical_site		anatomical_site:anatomical site or plant part	high	legacy_decomposition_candidate	46778	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	Host_Anatomical_Site_SD|Isolation_Site_SD	Host_Anatomical_Site_SD|Isolation_Site_SD	false	legacy_compatibility_label
Sample_Type_SD	nasopharynx/oropharynx	anatomical_site		anatomical_site:anatomical site or plant part	high	legacy_decomposition_candidate	31643	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	Host_Anatomical_Site_SD|Isolation_Site_SD	Host_Anatomical_Site_SD|Isolation_Site_SD	false	legacy_compatibility_label
Sample_Type_SD_Broad	upper respiratory tract	anatomical_site		anatomical_site:anatomical site or plant part	high	legacy_decomposition_candidate	31643	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	Host_Anatomical_Site_SD|Isolation_Site_SD	Host_Anatomical_Site_SD|Isolation_Site_SD	false	legacy_compatibility_label
Sample_Type_SD	laboratory	environment_local_scale		environment_local_scale:local environmental or facility feature	high	legacy_decomposition_candidate	8034	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD_Broad	laboratory environment	environment_local_scale	environment_broad_scale	environment_local_scale:local environmental or facility feature|environment_broad_scale:broad environmental setting	medium	legacy_decomposition_candidate	8034	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	Environment_Local_Scale_SD|Environment_Broad_Scale_SD	Environment_Local_Scale_SD|Environment_Broad_Scale_SD	false	composite_requires_split
Sample_Type_SD_Broad	water	environment_medium		environment_medium:environmental medium	high	legacy_decomposition_candidate	7606	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	Environment_Medium_SD	Environment_Medium_SD	false	legacy_compatibility_label
Sample_Type_SD	stream	environment_local_scale		environment_local_scale:local environmental or facility feature	high	legacy_decomposition_candidate	5416	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD_Broad	agricultural environment	environment_broad_scale		environment_broad_scale:broad environmental setting	high	legacy_decomposition_candidate	4379	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	Environment_Broad_Scale_SD	Environment_Broad_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD_Broad	plant-associated material	host_context		host_context:host-associated context	high	legacy_decomposition_candidate	4349	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	Host_Context_SD	Host_Context_SD	false	legacy_compatibility_label
Sample_Type_SD	drainage	unresolved		unresolved:no deterministic semantic component	low	legacy_decomposition_candidate	4174	Sample_Type compatibility field contains a value outside the field contract and should be reviewed before decomposition.	admin_review	admin_review	false	classifier_uncertain
