rule_id,current_field,current_value,clear_current_field,destination_field,destination_value,destination_condition,removal_confidence,destination_confidence,merge_policy,evidence_requirement,preserve_legacy_fields,reviewer_status,rationale,source_audit_commit
SC1-SITE-CATHETER-CLEAR,Isolation_Site_SD,catheter,true,,,,high,,clear_only,reviewed strict site violation,true,approved_semantic_closure_phase1_dry_run,Catheter is not an isolation site; clear only and preserve source/device context unless device evidence supports a destination.,42f90fe71bd6c2f0dec6df6e4e022c8872636ce0
SC1-SITE-CATHETER-DEVICE,Isolation_Site_SD,catheter,false,Sample_Collection_Device_SD,catheter,collection_device_evidence,high,moderate,set_when_blank_or_same,collection-device evidence required,true,approved_semantic_closure_phase1_dry_run,Populate collection-device axis only when raw or standardized collection-device evidence exists.,42f90fe71bd6c2f0dec6df6e4e022c8872636ce0
SC1-HHS-HEALTHY-CONTROL-HEALTH,Host_Health_State_SD,healthy/control,true,Host_Health_State_SD,healthy,always,high,high,set_when_blank_or_same,reviewed composite health-state value,true,approved_semantic_closure_phase1_dry_run,Split composite healthy/control into strict health state and study-group axes.,42f90fe71bd6c2f0dec6df6e4e022c8872636ce0
SC1-HHS-HEALTHY-CONTROL-STUDY,Host_Health_State_SD,healthy/control,false,Host_Study_Group_SD,control,always,high,high,set_when_blank_or_same,reviewed composite health-state value,true,approved_semantic_closure_phase1_dry_run,Split composite healthy/control into strict health state and study-group axes.,42f90fe71bd6c2f0dec6df6e4e022c8872636ce0
SC1-HHS-DISEASED-PATIENT-HEALTH,Host_Health_State_SD,diseased/patient,true,Host_Health_State_SD,diseased,always,high,high,set_when_blank_or_same,reviewed composite health-state value,true,approved_semantic_closure_phase1_dry_run,Split composite diseased/patient into strict health state with context assignments gated by evidence.,42f90fe71bd6c2f0dec6df6e4e022c8872636ce0
SC1-HHS-DISEASED-PATIENT-SAMPLING,Host_Health_State_SD,diseased/patient,false,Sampling_Context_SD,clinical subject,clinical_subject_evidence,high,moderate,set_when_blank_or_same,clinical-subject evidence required,true,approved_semantic_closure_phase1_dry_run,Add clinical subject sampling context only when subject evidence is present.,42f90fe71bd6c2f0dec6df6e4e022c8872636ce0
SC1-HHS-DISEASED-PATIENT-HUMAN,Host_Health_State_SD,diseased/patient,false,Host_Context_SD,human-associated,human_host_evidence,high,moderate,set_when_blank_or_same,independent human host evidence required,true,approved_semantic_closure_phase1_dry_run,Add human-associated context only when independent human evidence is present.,42f90fe71bd6c2f0dec6df6e4e022c8872636ce0
SC1-ENV-MEDIUM-MARINE,Environment_Medium_SD,marine,true,Environment_Broad_Scale_SD,marine environment,blank_or_same,high,high,set_when_blank_or_same,destination blank or same,true,approved_semantic_closure_phase1_dry_run,Marine is a broad environment label rather than a physical medium.,42f90fe71bd6c2f0dec6df6e4e022c8872636ce0
SC1-ENV-BROAD-WASTEWATER,Environment_Broad_Scale_SD,wastewater/sewage,true,Environment_Medium_SD,wastewater/sewage,blank_or_same,high,high,set_when_blank_or_same,destination blank or same,true,approved_semantic_closure_phase1_dry_run,Wastewater/sewage is an environmental medium rather than a broad-scale environment.,42f90fe71bd6c2f0dec6df6e4e022c8872636ce0
SC1-ENV-BROAD-ENV-SAMPLE,Environment_Broad_Scale_SD,environmental sample,true,Sampling_Context_SD,environmental,blank_or_same,high,high,set_when_blank_or_same,destination blank or same,true,approved_semantic_closure_phase1_dry_run,Environmental sample describes sampling context rather than broad environment scale.,42f90fe71bd6c2f0dec6df6e4e022c8872636ce0
SC1-ENV-LOCAL-ACTIVATED-SLUDGE,Environment_Local_Scale_SD,activated sludge,true,Environment_Medium_SD,activated sludge,blank_or_same,high,high,set_when_blank_or_same,destination blank or same,true,approved_semantic_closure_phase1_dry_run,Activated sludge is a medium rather than a local-scale feature.,42f90fe71bd6c2f0dec6df6e4e022c8872636ce0
SC1-ENV-LOCAL-GROUNDWATER,Environment_Local_Scale_SD,groundwater,true,Environment_Medium_SD,groundwater,blank_or_same,high,high,set_when_blank_or_same,destination blank or same,true,approved_semantic_closure_phase1_dry_run,Groundwater is a medium rather than a local-scale feature.,42f90fe71bd6c2f0dec6df6e4e022c8872636ce0
SC1-ENV-MEDIUM-HEALTHCARE-FACILITY,Environment_Medium_SD,healthcare facility,true,Environment_Local_Scale_SD,healthcare facility,blank_or_same,high,high,set_when_blank_or_same,destination blank or same,true,approved_semantic_closure_phase1_dry_run,Healthcare facility is a local/facility feature rather than a medium.,42f90fe71bd6c2f0dec6df6e4e022c8872636ce0
SC1-ENV-MEDIUM-GLACIER,Environment_Medium_SD,glacier,true,Environment_Local_Scale_SD,glacier,blank_or_same,high,high,set_when_blank_or_same,destination blank or same,true,approved_semantic_closure_phase1_dry_run,Glacier is a local environmental feature rather than a medium.,42f90fe71bd6c2f0dec6df6e4e022c8872636ce0
SC1-ENV-LOCAL-AGRICULTURAL-ENV,Environment_Local_Scale_SD,agricultural environment,true,Environment_Broad_Scale_SD,agricultural environment,blank_or_same,high,high,set_when_blank_or_same,destination blank or same,true,approved_semantic_closure_phase1_dry_run,Agricultural environment is a broad-scale environment rather than local scale.,42f90fe71bd6c2f0dec6df6e4e022c8872636ce0
