raw_value,affected_rows,current_signal_type,current_standardized_value,current_broad_value,current_recommended_action,contributing_raw_examples_if_available,reviewer_decision,proposed_sample_type_sd,proposed_isolation_source_sd,proposed_isolation_source_broad,proposed_host_context_sd,proposed_environment_medium_sd,proposed_environment_broad_scale_sd,proposed_environment_local_scale_sd,proposed_isolation_site_sd,confidence,rationale,rule_file_to_update,rule_to_add,test_to_add,notes
chicken meat,,food_commodity,,,review_signal_triage,chicken meat,preserve_food_meat_context,,poultry meat/product,food/meat,,,,,,high,Explicit poultry meat phrase; preserve food/meat source context.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
poultry meat/product,,food_commodity,,,review_signal_triage,poultry meat/product,preserve_food_meat_context,,poultry meat/product,food/meat,,,,,,high,Explicit poultry meat/product phrase.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
ground turkey,,food_commodity,,,review_signal_triage,ground turkey,preserve_food_meat_context,,turkey meat/product,food/meat,,,,,,high,Ground turkey is food/meat and must not be country/geography.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
turkey meat,,food_commodity,,,review_signal_triage,turkey meat,preserve_food_meat_context,,turkey meat/product,food/meat,,,,,,high,Explicit turkey meat phrase.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
beef,,food_commodity,,,review_signal_triage,beef,preserve_food_meat_context,,beef/meat product,food/meat,,,,,,high,Reviewed meat commodity label.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
pork,,food_commodity,,,review_signal_triage,pork,preserve_food_meat_context,,pork/meat product,food/meat,,,,,,high,Reviewed meat commodity label.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
retail meat,,food_commodity,,,review_signal_triage,retail meat,preserve_food_meat_context,,meat product,food/meat,,,,,,high,Retail meat phrase supports food/meat context.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
sausage,,food_commodity,,,review_signal_triage,sausage,preserve_food_meat_context,,meat product,food/meat,,,,,,high,Processed meat food label.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
seafood,,food_commodity,,,review_signal_triage,seafood,preserve_food_seafood_context,,seafood/aquatic food product,aquatic food product,,,,,,high,Explicit seafood food context.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
fish meat,,food_commodity,,,review_signal_triage,fish meat,preserve_food_seafood_context,,seafood/aquatic food product,aquatic food product,,,,,,high,Fish plus meat supports aquatic food product context.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
oyster meat,,food_commodity,,,review_signal_triage,oyster meat,preserve_food_seafood_context,,seafood/aquatic food product,aquatic food product,,,,,,high,Oyster plus meat supports seafood context.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
shrimp seafood,,food_commodity,,,review_signal_triage,shrimp seafood,preserve_food_seafood_context,,seafood/aquatic food product,aquatic food product,,,,,,high,Shrimp plus seafood supports aquatic food context.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
dairy product,,food_commodity,,,review_signal_triage,dairy product,preserve_food_dairy_context,,dairy food,food/dairy,,,,,,high,Explicit dairy food product.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
cheese,,food_commodity,,,review_signal_triage,cheese,preserve_food_dairy_context,,dairy food,food/dairy,,,,,,high,Food/dairy; removed false Environment_Medium_SD routing.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
yogurt,,food_commodity,,,review_signal_triage,yogurt,preserve_food_dairy_context,,dairy food,food/dairy,,,,,,high,Food/dairy; removed false Environment_Medium_SD routing.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
milk,,food_commodity,,,review_signal_triage,milk,route_to_sample_type,milk,,,,,,,,high,"Milk alone remains sample material, not forced dairy source.",fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
raw milk,,food_commodity,,,review_signal_triage,raw milk,route_to_sample_type,milk,,,,,,,,medium-high,Raw milk preserves milk sample type; no environment route.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
egg product,,food_commodity,,,review_signal_triage,egg product,preserve_food_context,,egg product,food,,,,,,high,Explicit product wording supports food context.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
lettuce produce,,food_commodity,,,review_signal_triage,lettuce produce,preserve_food_produce_context,,plant/produce food product,food,,,,,,high,Produce wording supports food/produce context.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
spinach produce,,food_commodity,,,review_signal_triage,spinach produce,preserve_food_produce_context,,plant/produce food product,food,,,,,,high,Produce wording supports food/produce context.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
tomato food product,,food_commodity,,,review_signal_triage,tomato food product,preserve_food_produce_context,,plant/produce food product,food,,,,,,high,Food product wording supports food/produce context.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
salad,,food_commodity,,,review_signal_triage,salad,preserve_food_produce_context,,plant/produce food product,food,,,,,,high,Reviewed prepared produce/food label.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
lettuce plant,,food_commodity,,,review_signal_triage,lettuce plant,route_to_host_context,,plant-associated material,plant-associated material,plant-associated material,,,,,high,Plant wording blocks food inference and preserves plant-associated context.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
slaughterhouse,,food_commodity,,,review_signal_triage,slaughterhouse,preserve_food_production_context,food processing environment,food processing environment,food/processing environment,,,,,,high,Food animal processing environment.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
abattoir,,food_commodity,,,review_signal_triage,abattoir,preserve_food_production_context,food processing environment,food processing environment,food/processing environment,,,,,,high,Food animal processing environment.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
poultry farm,,food_commodity,,,review_signal_triage,poultry farm,preserve_agricultural_context,,agricultural environment,agricultural environment,,,,,,high,"Farm plus poultry supports agricultural/animal environment, not food/meat.",fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
chicken breast meat,,food_commodity,,,review_signal_triage,chicken breast meat,protect_food_anatomy_from_site_mapping,poultry meat,poultry meat/product,food/meat,,,,,,high,Food anatomy phrase protected from clinical breast site routing.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
pork liver,,food_commodity,,,review_signal_triage,pork liver,protect_food_anatomy_from_site_mapping,pork,pork/meat product,food/meat,,,,,,high,Food anatomy phrase protected from clinical liver site routing.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
beef heart,,food_commodity,,,review_signal_triage,beef heart,protect_food_anatomy_from_site_mapping,beef,beef/meat product,food/meat,,,,,,high,Food anatomy phrase protected from clinical heart site routing.,fetchm_webapp/app.py,deterministic router/dictionary update,test_batch5_food_commodity_context_and_safeguards,Lightweight Batch 5; canonical refresh deferred.
