field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	row_count	reason	additive_destinations	proposed_destination	remove_from_current_field	action_class
Environment_Medium_SD_Broad	environmental material	source_context		source_context:broad source context	high	incompatible	42562	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	Isolation_Source_SD	Isolation_Source_SD	true	manual_review
Environment_Medium_SD_Broad	agricultural fecal material	unresolved		unresolved:no deterministic semantic component	low	incompatible	4625	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	admin_review	admin_review	false	classifier_uncertain
Environment_Medium_SD_Broad	laboratory environment	environment_broad_scale		environment_broad_scale:laboratory environment	high	incompatible	2251	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	Environment_Broad_Scale_SD	Environment_Broad_Scale_SD	true	manual_review
Environment_Medium_SD_Broad	culture medium	sample_material	sample_processing	sample_material:culture medium|sample_processing:culture medium/preparation	medium	incompatible	2229	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	Sample_Material_SD|Sample_Type_SD|Sample_Processing_SD	Sample_Material_SD|Sample_Type_SD|Sample_Processing_SD	true	manual_review
Environment_Medium_SD_Broad	built environment	environment_broad_scale		environment_broad_scale:broad environmental setting	high	incompatible	1758	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	Environment_Broad_Scale_SD	Environment_Broad_Scale_SD	true	manual_review
Environment_Medium_SD_Broad	healthcare-associated environment	environment_broad_scale		environment_broad_scale:broad environmental setting	high	incompatible	1030	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	Environment_Broad_Scale_SD	Environment_Broad_Scale_SD	true	manual_review
Environment_Medium_SD_Broad	biological/clinical product	source_context		source_context:broad source context	high	incompatible	826	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	Isolation_Source_SD	Isolation_Source_SD	true	manual_review
Environment_Medium_SD_Broad	environmental/geologic material	source_context		source_context:environmental or geologic source context	high	incompatible	434	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	Isolation_Source_SD	Isolation_Source_SD	true	manual_review
Environment_Medium_SD_Broad	surface sample	environment_local_scale		environment_local_scale:local environmental or facility feature	high	incompatible	379	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	true	manual_review
Environment_Medium_SD_Broad	metadata descriptor / non-source	unresolved		unresolved:no deterministic semantic component	low	incompatible	146	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	admin_review	admin_review	false	classifier_uncertain
Environment_Medium_SD_Broad	clinical fluid/material	sample_material		sample_material:clinical fluid or purulent material	high	incompatible	65	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	Sample_Material_SD|Sample_Type_SD	Sample_Material_SD|Sample_Type_SD	true	manual_review
