field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	row_count	reason	additive_destinations	proposed_destination	remove_from_current_field	action_class
Environment_Local_Scale_SD	gut/fecal local context	unresolved		unresolved:no deterministic semantic component	low	incompatible	407314	Environment_Local_Scale_SD should contain local environmental or facility features only.	admin_review	admin_review	false	classifier_uncertain
Environment_Local_Scale_SD	coastal area	unresolved		unresolved:no deterministic semantic component	low	incompatible	17767	Environment_Local_Scale_SD should contain local environmental or facility features only.	admin_review	admin_review	false	classifier_uncertain
Environment_Local_Scale_SD	activated sludge	environment_medium		environment_medium:activated sludge	high	incompatible	13130	Environment_Local_Scale_SD should contain local environmental or facility features only.	Environment_Medium_SD	Environment_Medium_SD	true	manual_review
Environment_Local_Scale_SD	groundwater	environment_medium		environment_medium:groundwater	high	incompatible	12834	Environment_Local_Scale_SD should contain local environmental or facility features only.	Environment_Medium_SD	Environment_Medium_SD	true	manual_review
Environment_Local_Scale_SD	wetland	unresolved		unresolved:no deterministic semantic component	low	incompatible	10771	Environment_Local_Scale_SD should contain local environmental or facility features only.	admin_review	admin_review	false	classifier_uncertain
Environment_Local_Scale_SD	urban area	unresolved		unresolved:no deterministic semantic component	low	incompatible	6195	Environment_Local_Scale_SD should contain local environmental or facility features only.	admin_review	admin_review	false	classifier_uncertain
Environment_Local_Scale_SD	agricultural land	unresolved		unresolved:no deterministic semantic component	low	incompatible	5599	Environment_Local_Scale_SD should contain local environmental or facility features only.	admin_review	admin_review	false	classifier_uncertain
Environment_Local_Scale_SD	intensive care unit	care_setting		care_setting:care setting	high	incompatible	2869	Environment_Local_Scale_SD should contain local environmental or facility features only.	Host_Care_Setting_SD	Host_Care_Setting_SD	true	manual_review
Environment_Local_Scale_SD	laboratory	sampling_context		sampling_context:laboratory context	medium	incompatible	2481	Environment_Local_Scale_SD should contain local environmental or facility features only.	Sampling_Context_SD	Sampling_Context_SD	true	manual_review
Environment_Local_Scale_SD	agricultural environment	environment_broad_scale		environment_broad_scale:agricultural environment	high	incompatible	1441	Environment_Local_Scale_SD should contain local environmental or facility features only.	Environment_Broad_Scale_SD	Environment_Broad_Scale_SD	true	manual_review
Environment_Local_Scale_SD	subsurface shale	unresolved		unresolved:no deterministic semantic component	low	incompatible	881	Environment_Local_Scale_SD should contain local environmental or facility features only.	admin_review	admin_review	false	classifier_uncertain
Environment_Local_Scale_SD	agricultural field	unresolved		unresolved:no deterministic semantic component	low	incompatible	579	Environment_Local_Scale_SD should contain local environmental or facility features only.	admin_review	admin_review	false	classifier_uncertain
Environment_Local_Scale_SD	rumen/gut content	sample_material	anatomical_material	sample_material:gut/rumen content|anatomical_material:host anatomical material	high	incompatible	474	Environment_Local_Scale_SD should contain local environmental or facility features only.	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	true	manual_review
Environment_Local_Scale_SD	agricultural ecosystem	environment_broad_scale		environment_broad_scale:agricultural environment/ecosystem	high	incompatible	127	Environment_Local_Scale_SD should contain local environmental or facility features only.	Environment_Broad_Scale_SD	Environment_Broad_Scale_SD	true	manual_review
Environment_Local_Scale_SD	mariculture biome	environment_broad_scale		environment_broad_scale:mariculture biome	high	incompatible	43	Environment_Local_Scale_SD should contain local environmental or facility features only.	Environment_Broad_Scale_SD	Environment_Broad_Scale_SD	true	manual_review
Environment_Local_Scale_SD	agricultural feature	unresolved		unresolved:no deterministic semantic component	low	incompatible	25	Environment_Local_Scale_SD should contain local environmental or facility features only.	admin_review	admin_review	false	classifier_uncertain
Environment_Local_Scale_SD	biofilter	unresolved		unresolved:no deterministic semantic component	low	incompatible	3	Environment_Local_Scale_SD should contain local environmental or facility features only.	admin_review	admin_review	false	classifier_uncertain
Environment_Local_Scale_SD	hypolithic environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	3	Environment_Local_Scale_SD should contain local environmental or facility features only.	admin_review	admin_review	false	classifier_uncertain
