raw_value,classification,note
human,preserve_human_associated_context,Human-only source values no longer populate exact source/sample/environment.
patient,preserve_human_associated_context,Patient-only source values preserve human-associated context without exact source.
clinical patient,preserve_human_associated_context,"Clinical context preserved, not environment/sample-only."
animal,preserve_animal_associated_context,Animal-only source value routed to host context only.
livestock,preserve_animal_associated_context,Livestock-only label protected from exact source leakage.
calf,preserve_animal_associated_context,Animal-only label protected from exact source leakage.
horse,preserve_animal_associated_context,Animal-only label protected from exact source leakage.
cat,preserve_animal_associated_context,Pet animal context retained without exact source.
insect,preserve_animal_associated_context,Arthropod context retained without exact source.
tick,preserve_animal_associated_context,Arthropod context retained without exact source.
bird,preserve_animal_associated_context,Bird-only context retained without exact source.
wild bird,preserve_animal_associated_context,Bird-only context retained without exact source.
chicken feces,split_sample_type_and_host_context,Animal + material split: feces sample type plus poultry context.
cattle feces,split_sample_type_and_host_context,Animal + material split.
swine feces,split_sample_type_and_host_context,Animal + material split.
cow milk,split_sample_type_and_host_context,Milk sample type plus livestock context.
poultry litter,split_environment_and_host_context,Agricultural organic medium plus poultry context; no food/meat.
animal bedding,split_environment_and_host_context,Agricultural organic medium plus animal context.
fish gut,protect_animal_anatomy_from_human_site_mapping,Animal anatomy protected from human clinical site routing.
oyster tissue,protect_animal_anatomy_from_human_site_mapping,Aquatic animal tissue protected from human tissue/site routing.
animal tissue,split_sample_type_and_host_context,Animal tissue preserved as host-associated sample context.
poultry farm,preserve_agricultural_context,Explicit poultry farm -> agricultural context; no sample type.
dairy farm,preserve_agricultural_context,Dairy farm protected from dairy food routing.
farm environment,preserve_agricultural_context,Farm environment protected from bogus environment medium.
livestock market,preserve_agricultural_context,Explicit livestock market -> agricultural context; bare market remains review.
