field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	row_count	reason	additive_destinations	proposed_destination	remove_from_current_field	action_class
Environment_Medium_SD	marine	environment_broad_scale		environment_broad_scale:marine environment	high	incompatible	40376	Environment_Medium_SD should contain physical environmental media only.	Environment_Broad_Scale_SD	Environment_Broad_Scale_SD	true	manual_review
Environment_Medium_SD	environmental material	source_context		source_context:broad source context	high	incompatible	7929	Environment_Medium_SD should contain physical environmental media only.	Isolation_Source_SD	Isolation_Source_SD	true	manual_review
Environment_Medium_SD	leachate	unresolved		unresolved:no deterministic semantic component	low	incompatible	3937	Environment_Medium_SD should contain physical environmental media only.	admin_review	admin_review	false	classifier_uncertain
Environment_Medium_SD	laboratory	sampling_context		sampling_context:laboratory context	medium	incompatible	2251	Environment_Medium_SD should contain physical environmental media only.	Sampling_Context_SD	Sampling_Context_SD	true	manual_review
Environment_Medium_SD	culture medium	sample_material	sample_processing	sample_material:culture medium|sample_processing:culture medium/preparation	medium	incompatible	2229	Environment_Medium_SD should contain physical environmental media only.	Sample_Material_SD|Sample_Type_SD|Sample_Processing_SD	Sample_Material_SD|Sample_Type_SD|Sample_Processing_SD	true	manual_review
Environment_Medium_SD	sea ice	unresolved		unresolved:no deterministic semantic component	low	incompatible	1317	Environment_Medium_SD should contain physical environmental media only.	admin_review	admin_review	false	classifier_uncertain
Environment_Medium_SD	healthcare facility	environment_local_scale		environment_local_scale:healthcare facility	high	incompatible	1029	Environment_Medium_SD should contain physical environmental media only.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	true	manual_review
Environment_Medium_SD	subsurface shale	unresolved		unresolved:no deterministic semantic component	low	incompatible	847	Environment_Medium_SD should contain physical environmental media only.	admin_review	admin_review	false	classifier_uncertain
Environment_Medium_SD	cryoconite	unresolved		unresolved:no deterministic semantic component	low	incompatible	835	Environment_Medium_SD should contain physical environmental media only.	admin_review	admin_review	false	classifier_uncertain
Environment_Medium_SD	biological product	source_context		source_context:biological product/source context	medium	incompatible	826	Environment_Medium_SD should contain physical environmental media only.	Isolation_Source_SD	Isolation_Source_SD	true	manual_review
Environment_Medium_SD	biological waste material	unresolved		unresolved:no deterministic semantic component	low	incompatible	796	Environment_Medium_SD should contain physical environmental media only.	admin_review	admin_review	false	classifier_uncertain
Environment_Medium_SD	environmental sample	sampling_context		sampling_context:environmental	high	incompatible	463	Environment_Medium_SD should contain physical environmental media only.	Sampling_Context_SD	Sampling_Context_SD	true	manual_review
Environment_Medium_SD	glacier	environment_local_scale		environment_local_scale:glacier	high	incompatible	434	Environment_Medium_SD should contain physical environmental media only.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	true	manual_review
Environment_Medium_SD	built environment surface	environment_local_scale	environment_broad_scale	environment_local_scale:local environmental or facility feature|environment_broad_scale:broad environmental setting	medium	incompatible	384	Environment_Medium_SD should contain physical environmental media only.	Environment_Local_Scale_SD|Environment_Broad_Scale_SD	Environment_Local_Scale_SD|Environment_Broad_Scale_SD	true	manual_review
Environment_Medium_SD	agricultural organic material	unresolved		unresolved:no deterministic semantic component	low	incompatible	298	Environment_Medium_SD should contain physical environmental media only.	admin_review	admin_review	false	classifier_uncertain
Environment_Medium_SD	natural/free-living	source_context		source_context:natural or free-living source context	medium	incompatible	290	Environment_Medium_SD should contain physical environmental media only.	Isolation_Source_SD	Isolation_Source_SD	true	manual_review
Environment_Medium_SD	metadata descriptor/non-source	unresolved		unresolved:no deterministic semantic component	low	incompatible	146	Environment_Medium_SD should contain physical environmental media only.	admin_review	admin_review	false	classifier_uncertain
Environment_Medium_SD	Oyster pond	environment_local_scale		environment_local_scale:local environmental or facility feature	high	incompatible	86	Environment_Medium_SD should contain physical environmental media only.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	true	manual_review
Environment_Medium_SD	land crag	environment_local_scale		environment_local_scale:land crag	high	incompatible	6	Environment_Medium_SD should contain physical environmental media only.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	true	manual_review
Environment_Medium_SD	stormwater	unresolved		unresolved:no deterministic semantic component	low	incompatible	6	Environment_Medium_SD should contain physical environmental media only.	admin_review	admin_review	false	classifier_uncertain
Environment_Medium_SD	mine tailings	unresolved		unresolved:no deterministic semantic component	low	incompatible	2	Environment_Medium_SD should contain physical environmental media only.	admin_review	admin_review	false	classifier_uncertain
Environment_Medium_SD	healthcare facility surface	environment_local_scale		environment_local_scale:local environmental or facility feature	high	incompatible	1	Environment_Medium_SD should contain physical environmental media only.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	true	manual_review
Environment_Medium_SD	microplastic/plastic	unresolved		unresolved:no deterministic semantic component	low	incompatible	1	Environment_Medium_SD should contain physical environmental media only.	admin_review	admin_review	false	classifier_uncertain
