field	standardized_value	semantic_class	row_count	reason	proposed_destination
Sample_Type_SD_Broad	clinical/host-associated material	source_context	329869	Sample_Type fields should contain physical specimen/material values only.	Isolation_Source_SD
Sample_Type_SD_Broad	culture	sample_processing	93689	Sample_Type fields should contain physical specimen/material values only.	Sample_Processing_SD
Sample_Type_SD_Broad	swab	collection_device	70476	Sample_Type fields should contain physical specimen/material values only.	Sample_Collection_Device_SD
Sample_Type_SD	cell culture	sample_processing	54613	Sample_Type fields should contain physical specimen/material values only.	Sample_Processing_SD
Sample_Type_SD	sterile body site	anatomical_site	46778	Sample_Type fields should contain physical specimen/material values only.	Host_Anatomical_Site_SD
Sample_Type_SD	clinical sample	source_context	33519	Sample_Type fields should contain physical specimen/material values only.	Isolation_Source_SD
Sample_Type_SD	nasopharynx/oropharynx	anatomical_site	31643	Sample_Type fields should contain physical specimen/material values only.	Host_Anatomical_Site_SD
Sample_Type_SD_Broad	upper respiratory tract	anatomical_site	31643	Sample_Type fields should contain physical specimen/material values only.	Host_Anatomical_Site_SD
Sample_Type_SD	rectal swab	collection_device	26828	Sample_Type fields should contain physical specimen/material values only.	Sample_Collection_Device_SD
Sample_Type_SD	culture	sample_processing	21152	Sample_Type fields should contain physical specimen/material values only.	Sample_Processing_SD
Sample_Type_SD_Broad	environmental material	source_context	19876	Sample_Type fields should contain physical specimen/material values only.	Isolation_Source_SD
Sample_Type_SD	environmental sample	metadata_descriptor	18083	Sample_Type fields should contain physical specimen/material values only.	suppress/provenance only
Sample_Type_SD	environmental swab	collection_device	12999	Sample_Type fields should contain physical specimen/material values only.	Sample_Collection_Device_SD
Sample_Type_SD_Broad	environmental/geologic material	unresolved	12244	Sample_Type fields should contain physical specimen/material values only.	admin_review
Sample_Type_SD	single cell	sample_processing	11833	Sample_Type fields should contain physical specimen/material values only.	Sample_Processing_SD
Sample_Type_SD_Broad	single cell	sample_processing	11833	Sample_Type fields should contain physical specimen/material values only.	Sample_Processing_SD
Sample_Type_SD	microbial isolate	unresolved	11428	Sample_Type fields should contain physical specimen/material values only.	admin_review
Sample_Type_SD_Broad	culture/isolate	sample_processing	11428	Sample_Type fields should contain physical specimen/material values only.	Sample_Processing_SD
Sample_Type_SD	respiratory sample	metadata_descriptor	10983	Sample_Type fields should contain physical specimen/material values only.	suppress/provenance only
Sample_Type_SD	laboratory	environment_local_scale	8034	Sample_Type fields should contain physical specimen/material values only.	Environment_Local_Scale_SD
Sample_Type_SD_Broad	laboratory environment	environment_local_scale	8034	Sample_Type fields should contain physical specimen/material values only.	Environment_Local_Scale_SD
Sample_Type_SD_Broad	water	environment_medium	7606	Sample_Type fields should contain physical specimen/material values only.	Environment_Medium_SD
Sample_Type_SD_Broad	respiratory sample	metadata_descriptor	7542	Sample_Type fields should contain physical specimen/material values only.	suppress/provenance only
Sample_Type_SD	nasal swab	collection_device	5989	Sample_Type fields should contain physical specimen/material values only.	Sample_Collection_Device_SD
Sample_Type_SD	swab	collection_device	5503	Sample_Type fields should contain physical specimen/material values only.	Sample_Collection_Device_SD
Sample_Type_SD	stream	environment_local_scale	5416	Sample_Type fields should contain physical specimen/material values only.	Environment_Local_Scale_SD
Sample_Type_SD	pure/single culture	sample_processing	5271	Sample_Type fields should contain physical specimen/material values only.	Sample_Processing_SD
Sample_Type_SD	mixed culture	sample_processing	4790	Sample_Type fields should contain physical specimen/material values only.	Sample_Processing_SD
Sample_Type_SD	bacterial culture	sample_processing	4744	Sample_Type fields should contain physical specimen/material values only.	Sample_Processing_SD
Sample_Type_SD	perianal/anal swab	collection_device	4462	Sample_Type fields should contain physical specimen/material values only.	Sample_Collection_Device_SD
Sample_Type_SD_Broad	agricultural environment	environment_broad_scale	4379	Sample_Type fields should contain physical specimen/material values only.	Environment_Broad_Scale_SD
Sample_Type_SD_Broad	plant-associated material	host_context	4349	Sample_Type fields should contain physical specimen/material values only.	Host_Context_SD
