raw_value,resolution_status,notes
infection,resolved_by_batch8_reviewed_decision,Generic infection context; route to generic infectious disease and diseased health state without inferring a specific disease.
infected animal,resolved_by_batch8_reviewed_decision,Infected animal indicates animal-associated host context and diseased state; no specific disease inferred.
diseased plant,resolved_by_batch8_reviewed_decision,Plant disease context without a specific disease name; preserve plant-associated context.
outbreak,resolved_by_batch8_reviewed_decision,"Outbreak is epidemiological context, not a disease or source by itself; no dedicated context field exists."
outbreak food source,resolved_by_batch8_reviewed_decision,Food/outbreak source context; do not infer host disease.
contaminated food,resolved_by_batch8_reviewed_decision,Food contamination context; not host disease.
wastewater surveillance,resolved_by_batch8_reviewed_decision,Environmental wastewater surveillance context; not host disease.
carrier,resolved_by_batch8_reviewed_decision,"Carrier status is a host health/colonization state, not active disease."
colonized,resolved_by_batch8_reviewed_decision,Colonization status is not necessarily disease.
clinical,resolved_by_batch8_reviewed_decision,Generic clinical context; no disease inferred.
patient,resolved_by_batch8_reviewed_decision,"Patient means human clinical context, not disease by itself."
