field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	row_count	reason	additive_destinations	proposed_destination	remove_from_current_field	action_class
Host_Health_State_SD	patient	host_context		host_context:patient/human clinical subject	high	incompatible	7540	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	Host_Context_SD	Host_Context_SD	true	confirmed_high_confidence_fix
Host_Health_State_SD	hospitalized	hospitalization_status		hospitalization_status:hospitalized	high	incompatible	1183	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	Host_Hospitalization_Status_SD	Host_Hospitalization_Status_SD	true	confirmed_high_confidence_fix
Host_Health_State_SD	healthy/control	health_state	study_group	health_state:healthy|study_group:control group	high	compatible_composite	1077	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	Host_Study_Group_SD	Host_Study_Group_SD	false	composite_requires_split
Host_Health_State_SD	carrier	colonization_status		colonization_status:carrier	high	incompatible	922	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	Host_Colonization_Status_SD	Host_Colonization_Status_SD	true	confirmed_high_confidence_fix
Host_Health_State_SD	non-hospitalized	hospitalization_status		hospitalization_status:not hospitalized	high	incompatible	497	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	Host_Hospitalization_Status_SD	Host_Hospitalization_Status_SD	true	confirmed_high_confidence_fix
Host_Health_State_SD	dead	vital_status		vital_status:deceased	high	incompatible	289	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	Host_Vital_Status_SD	Host_Vital_Status_SD	true	confirmed_high_confidence_fix
Host_Health_State_SD	exposure/contact context	unresolved		unresolved:no deterministic semantic component	low	incompatible	95	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	admin_review	admin_review	false	classifier_uncertain
Host_Health_State_SD	specific pathogen free	production_context		production_context:specific pathogen free	high	incompatible	56	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	Host_Production_Context_SD	Host_Production_Context_SD	true	confirmed_high_confidence_fix
Host_Health_State_SD	diseased/patient	health_state	host_context	health_state:host health state|host_context:host-associated context	medium	compatible_composite	50	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	Host_Context_SD	Host_Context_SD	false	composite_requires_split
Host_Health_State_SD	exacerbation	disease_stage		disease_stage:exacerbation	high	incompatible	48	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	Host_Disease_Stage_SD	Host_Disease_Stage_SD	true	confirmed_high_confidence_fix
Host_Health_State_SD	alive	vital_status		vital_status:alive	high	incompatible	40	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	Host_Vital_Status_SD	Host_Vital_Status_SD	true	confirmed_high_confidence_fix
Host_Health_State_SD	colonized	colonization_status		colonization_status:colonized	high	incompatible	18	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	Host_Colonization_Status_SD	Host_Colonization_Status_SD	true	confirmed_high_confidence_fix
Host_Health_State_SD	convalescent	disease_stage		disease_stage:convalescent	high	incompatible	1	Host_Health_State_SD should contain strict health states only; other axes should be additive derived fields.	Host_Disease_Stage_SD	Host_Disease_Stage_SD	true	confirmed_high_confidence_fix
