field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	row_count	reason	additive_destinations	proposed_destination	remove_from_current_field	action_class
Isolation_Site_SD	skin/body surface	anatomical_site	environment_local_scale	anatomical_site:anatomical site or plant part|environment_local_scale:local environmental or facility feature	medium	compatible_composite	19165	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	Host_Anatomical_Site_SD|Environment_Local_Scale_SD	Host_Anatomical_Site_SD|Environment_Local_Scale_SD	false	composite_requires_split
Isolation_Site_SD	organ/tissue site	anatomical_site	sample_material	sample_material:physical specimen/material|anatomical_site:anatomical site or plant part	medium	compatible_composite	15402	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	Host_Anatomical_Site_SD|Sample_Material_SD|Sample_Type_SD	Host_Anatomical_Site_SD|Sample_Material_SD|Sample_Type_SD	false	composite_requires_split
Isolation_Site_SD	plant root/rhizosphere	environment_local_scale	host_context	environment_local_scale:local environmental or facility feature|host_context:host-associated context|environment_local_scale:rhizosphere|host_context:plant-associated	medium	incompatible	8567	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	Environment_Local_Scale_SD|Host_Context_SD	Environment_Local_Scale_SD|Host_Context_SD	true	manual_review
Isolation_Site_SD	leaf tissue	anatomical_site	sample_material	sample_material:physical specimen/material|anatomical_site:anatomical site or plant part	medium	compatible_composite	6701	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	Host_Anatomical_Site_SD|Sample_Material_SD|Sample_Type_SD	Host_Anatomical_Site_SD|Sample_Material_SD|Sample_Type_SD	false	composite_requires_split
Isolation_Site_SD	abscess	anatomical_site	sample_material|disease	sample_material:abscess material|anatomical_site:abscess/lesion site|disease:disease manifestation	medium	compatible_composite	4086	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	Host_Anatomical_Site_SD|Sample_Material_SD|Sample_Type_SD|Host_Disease_SD	Host_Anatomical_Site_SD|Sample_Material_SD|Sample_Type_SD|Host_Disease_SD	false	composite_requires_split
Isolation_Site_SD	gut content	anatomical_site	sample_material|anatomical_material	sample_material:gut/intestinal content|anatomical_material:host anatomical material|anatomical_site:gastrointestinal tract	high	compatible_composite	3257	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	Host_Anatomical_Site_SD|Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	Host_Anatomical_Site_SD|Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	false	composite_requires_split
Isolation_Site_SD	plant stem	anatomical_site	host_context	anatomical_site:anatomical site or plant part|host_context:host-associated context	medium	compatible_composite	979	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	Host_Anatomical_Site_SD|Host_Context_SD	Host_Anatomical_Site_SD|Host_Context_SD	false	composite_requires_split
Isolation_Site_SD	bronchoalveolar lavage fluid	anatomical_site	sample_material|collection_method	sample_material:lavage fluid|collection_method:bronchoalveolar lavage|anatomical_site:lower respiratory tract	high	compatible_composite	258	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	Host_Anatomical_Site_SD|Sample_Material_SD|Sample_Type_SD|Sample_Collection_Method_SD	Host_Anatomical_Site_SD|Sample_Material_SD|Sample_Type_SD|Sample_Collection_Method_SD	false	composite_requires_split
Isolation_Site_SD	gastric biopsy	anatomical_site	sample_material|collection_method	sample_material:biopsy/tissue|collection_method:biopsy|anatomical_site:stomach/gastrointestinal tract	high	compatible_composite	256	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	Host_Anatomical_Site_SD|Sample_Material_SD|Sample_Type_SD|Sample_Collection_Method_SD	Host_Anatomical_Site_SD|Sample_Material_SD|Sample_Type_SD|Sample_Collection_Method_SD	false	composite_requires_split
Isolation_Site_SD	phyllosphere	environment_local_scale	host_context	environment_local_scale:phyllosphere|host_context:plant-associated	medium	incompatible	242	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	Environment_Local_Scale_SD|Host_Context_SD	Environment_Local_Scale_SD|Host_Context_SD	true	manual_review
Isolation_Site_SD	endosphere	environment_local_scale	host_context	environment_local_scale:endosphere/plant internal compartment|host_context:plant-associated	medium	incompatible	55	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	Environment_Local_Scale_SD|Host_Context_SD	Environment_Local_Scale_SD|Host_Context_SD	true	manual_review
Isolation_Site_SD	catheter	source_context	collection_device	collection_device:catheter|source_context:medical device	high	incompatible	2	Isolation_Site_SD contains a non-site or composite site/material/environment concept requiring review.	Isolation_Source_SD|Sample_Collection_Device_SD	Isolation_Source_SD|Sample_Collection_Device_SD	true	confirmed_high_confidence_fix
