field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	row_count	reason	additive_destinations	proposed_destination	remove_from_current_field	action_class
Sample_Type_SD	cell culture	sample_entity	sample_processing	sample_entity:cell culture|sample_processing:cultured	high	compatible_composite	54613	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Entity_SD|Sample_Processing_SD	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split
Sample_Type_SD	culture	sample_entity	sample_processing	sample_entity:culture entity|sample_processing:cultured	high	compatible_composite	21152	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Entity_SD|Sample_Processing_SD	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split
Sample_Type_SD	single cell	sample_entity	sample_processing	sample_entity:single cell|sample_processing:single-cell preparation	high	compatible_composite	11833	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Entity_SD|Sample_Processing_SD	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split
Sample_Type_SD	microbial isolate	sample_entity	sample_processing	sample_entity:microbial isolate|sample_processing:isolated	high	compatible_composite	11428	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Entity_SD|Sample_Processing_SD	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split
Sample_Type_SD	pure/single culture	sample_entity	sample_processing	sample_entity:culture entity|sample_processing:pure/single culture	high	compatible_composite	5271	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Entity_SD|Sample_Processing_SD	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split
Sample_Type_SD	mixed culture	sample_entity	sample_processing	sample_entity:mixed culture|sample_processing:mixed culture	high	compatible_composite	4790	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Entity_SD|Sample_Processing_SD	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split
Sample_Type_SD	bacterial culture	sample_entity	sample_processing	sample_entity:bacterial culture|sample_processing:cultured	high	compatible_composite	4744	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Entity_SD|Sample_Processing_SD	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split
Sample_Type_SD	enrichment culture	sample_entity	sample_processing	sample_entity:enrichment culture|sample_processing:enrichment	high	compatible_composite	1973	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Entity_SD|Sample_Processing_SD	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split
Sample_Type_SD	DNA extract	sample_material	sample_processing	sample_material:molecular extract|sample_processing:DNA extraction	high	compatible_composite	1792	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Material_SD|Sample_Processing_SD	Sample_Material_SD|Sample_Processing_SD	false	composite_requires_split
Sample_Type_SD	microbial culture	sample_entity	sample_processing	sample_entity:microbial culture|sample_processing:cultured	high	compatible_composite	957	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Entity_SD|Sample_Processing_SD	Sample_Entity_SD|Sample_Processing_SD	false	composite_requires_split
Sample_Type_SD	unicyanobacterial culture	sample_processing		sample_processing:processing or molecular preparation	high	compatible	61	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Processing_SD	Sample_Processing_SD	false	additive_axis_enrichment
Sample_Type_SD	assembly	sample_processing		sample_processing:processing or molecular preparation	high	compatible	50	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Processing_SD	Sample_Processing_SD	false	additive_axis_enrichment
Sample_Type_SD	screening culture	sample_processing		sample_processing:processing or molecular preparation	high	compatible	47	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Processing_SD	Sample_Processing_SD	false	additive_axis_enrichment
Sample_Type_SD	plate culture	sample_processing		sample_processing:processing or molecular preparation	high	compatible	26	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Processing_SD	Sample_Processing_SD	false	additive_axis_enrichment
Sample_Type_SD	laboratory culture	sample_entity	sample_processing|sampling_context	sample_entity:culture entity|sample_processing:cultured|sampling_context:laboratory	high	compatible_composite	22	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Entity_SD|Sample_Processing_SD|Sampling_Context_SD	Sample_Entity_SD|Sample_Processing_SD|Sampling_Context_SD	false	composite_requires_split
Sample_Type_SD	liquid culture	sample_processing		sample_processing:processing or molecular preparation	high	compatible	19	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Processing_SD	Sample_Processing_SD	false	additive_axis_enrichment
Sample_Type_SD	clone culture	sample_processing		sample_processing:processing or molecular preparation	high	compatible	14	Processing/preparation semantics should be additively represented in Sample_Processing_SD.	Sample_Processing_SD	Sample_Processing_SD	false	additive_axis_enrichment
