raw_value,affected_rows,current_standardized_value,current_broad_value,review_signal_type,current_recommended_action,proposed_destination_field,proposed_standardized_value,proposed_broad_value,confidence,rationale,reviewer_decision,rule_file_to_update,rule_to_add,test_to_add,notes
poultry meat/product,77718,poultry meat/product,food/meat,host_taxon_or_context,route_to_food_source,Isolation_Source_SD / food context,,,needs_review,Food or commodity context requires phrase-level review; animal terms alone are insufficient.,unreviewed,,,,"Batch 5 - food and commodity context. Current mode routing method: food_source_context. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
feces/stool,36138,feces/stool,feces/stool,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: dictionary. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
plant-associated material,20751,plant-associated material,plant-associated material,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: host_context_router. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
turkey meat/product,14060,turkey meat/product,food/meat,host_taxon_or_context,route_to_food_source,Isolation_Source_SD / food context,,,needs_review,Food or commodity context requires phrase-level review; animal terms alone are insufficient.,unreviewed,,,,"Batch 5 - food and commodity context. Current mode routing method: food_source_context. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
blood,9768,blood,clinical/host-associated material,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: dictionary. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
plant/produce food product,6446,plant/produce food product,food,host_taxon_or_context,route_to_food_source,Isolation_Source_SD / food context,,,needs_review,Food or commodity context requires phrase-level review; animal terms alone are insufficient.,unreviewed,,,,"Batch 5 - food and commodity context. Current mode routing method: food_source_context. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
healthcare-associated environment,5060,healthcare-associated environment,healthcare-associated environment,environment_medium,route_to_environment_medium,Environment_Medium_SD,,,needs_review,Environmental-medium signal; retain broad source context only when intentional.,unreviewed,,,,"Batch 4 - environmental media. Current mode routing method: environment_context_router. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
urine,2975,urine,clinical/host-associated material,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: dictionary. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
clinical sample,2020,clinical sample,clinical/host-associated material,sample_type|metadata_descriptor,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: dictionary. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
agricultural environment,2015,agricultural environment,agricultural environment,environment_medium,route_to_environment_medium,Environment_Medium_SD,,,needs_review,Environmental-medium signal; retain broad source context only when intentional.,unreviewed,,,,"Batch 4 - environmental media. Current mode routing method: environment_context_router. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Tissue,1895,Tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
tissue,1327,tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
canal,1054,canal,water,body_site,route_to_isolation_site,Isolation_Site_SD,,,needs_review,Anatomical-site signal; split material and site when both are present.,unreviewed,,,,"Batch 3 - anatomical sites. Current mode routing method: dictionary. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
body fluid,813,body fluid,,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: dictionary. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
ground chicken,669,ground chicken,food/meat,host_taxon_or_context,route_to_food_source,Isolation_Source_SD / food context,,,needs_review,Food or commodity context requires phrase-level review; animal terms alone are insufficient.,unreviewed,,,,"Batch 5 - food and commodity context. Current mode routing method: food_source_context. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
food/animal-production swab,663,food/animal-production swab,food,sample_type|host_taxon_or_context,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: food_source_context. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
milk,304,milk,food/dairy,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: dictionary. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
soft tissue,280,soft tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
respiratory sample,221,respiratory sample,clinical/host-associated material,sample_type|metadata_descriptor,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: anatomy_source_router. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
terrestrial environment,213,terrestrial environment,environmental material,environment_medium,route_to_environment_medium,Environment_Medium_SD,,,needs_review,Environmental-medium signal; retain broad source context only when intentional.,unreviewed,,,,"Batch 4 - environmental media. Current mode routing method: context_dictionary. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Animal-Calf-Bob Veal,137,Animal-Calf-Bob Veal,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Wild Animal,123,Wild Animal,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Tissue (Specify:),114,Tissue (Specify:),tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
