value,context_type,expected_behavior
canal water,environment,Environment medium retained and no anatomical site.
canal sediment,environment,Environment medium retained and no anatomical site.
irrigation canal,environment,Environment local scale retained and no anatomical site.
drainage water,environment,Environment medium retained and no anatomical site.
hospital surface,healthcare environment,Healthcare or built-environment context retained and no anatomical site.
chicken breast meat,food commodity,Food/meat context retained and no clinical breast site.
pork liver,food commodity,Food/meat context retained and no clinical liver site.
beef heart,food commodity,Food/meat context retained and no clinical heart site.
fish gut,host or food context,Not forced to a human clinical gastrointestinal site.
oyster tissue,host or seafood context,Not forced to a human clinical tissue site.
clinical sample,clinical context,Clinical context retained.
respiratory sample,clinical context,Respiratory context retained.
