isolation_source_sd,assembly_count,recommended_action
poultry meat/product,77728,route_to_food_source
plant-associated material,20751,route_to_host_context
turkey meat/product,14061,route_to_food_source
plant/produce food product,6677,route_to_food_source
plant stem,942,route_to_host_context
plant root/rhizosphere,767,route_to_host_context
ground chicken,669,route_to_food_source
food/animal-production swab,668,route_to_sample_type
Animal-Calf-Bob Veal,137,route_to_host_context
Wild Animal,123,route_to_host_context
animal by-product,112,route_to_host_context
cat,91,route_to_host_context
Animal-Calf-Formula-fed Veal,90,route_to_host_context
animal feed,85,route_to_host_context
Mouse embryonic cells,64,route_to_host_context
Domestic animal,47,route_to_host_context
Animal-Goat,43,route_to_host_context
Animal feed,37,route_to_host_context
Animal-Calf-Non Formula-fed Veal,29,route_to_host_context
Animal Tissue,27,route_to_sample_type
poultry meat,26,route_to_food_source
oyster product,25,route_to_food_source
Computer keyboard and mouse,22,route_to_host_context
animal feed canola meal,20,route_to_host_context
Domestic cat,19,route_to_host_context
Wild animal,19,route_to_host_context
dog chew,18,route_to_host_context
Mouse ES Cells,17,route_to_host_context
dog treat,16,route_to_host_context
hot dog,16,route_to_host_context
mouse spinal cord microglia,13,route_to_host_context
Cat nape,12,route_to_host_context
Pig product,12,route_to_host_context
Whole animal,11,route_to_host_context
animal feed wheat,11,route_to_host_context
Balb/C mouse gall bladder,10,route_to_isolation_site
Rat,10,route_to_host_context
animal-associated,9,route_to_host_context
retail raw cream cow,9,route_to_host_context
Mouse,8,route_to_host_context
computer keyboard/mouse,8,route_to_host_context
frozen feeder mouse,8,route_to_host_context
whole animal,8,route_to_host_context
Animal hide,7,route_to_host_context
booties (outside chicken tractor),7,route_to_food_source
keyboard/mouse,7,route_to_host_context
"ward, keyboard mouse",7,route_to_host_context
Animal Feed,6,route_to_host_context
Animal-Calf,6,route_to_host_context
Dog treat,6,route_to_host_context
Human melanoma cell line,6,route_to_host_context
"K562 cells, mouse embryonic fibroblasts",6,route_to_host_context
Mouse frontal cortex,6,route_to_host_context
final product sale animal origin,6,route_to_host_context
mouse deer,6,route_to_host_context
Domestic dog,5,route_to_host_context
animal waste,5,route_to_host_context
cow udder,5,route_to_host_context
mouse mature T-cells,5,route_to_host_context
raw pig,5,route_to_host_context
Animal - Avian,4,route_to_host_context
Animal Bedding,4,route_to_host_context
Bos taurus (Cow),4,route_to_host_context
animal feed feather meal,4,route_to_host_context
dog bite,4,route_to_host_context
mouse jejunal,4,route_to_host_context
rawhide dog chew,4,route_to_host_context
Animal Protein Products,3,route_to_host_context
Captive animal,3,route_to_host_context
Dog Conch,3,route_to_host_context
Dog nape,3,route_to_host_context
"Dog, pet",3,route_to_host_context
Hot Dog,3,route_to_host_context
"Mouse fibroblast, L929",3,route_to_host_context
animal associated,3,route_to_host_context
animal calf bob veal,3,route_to_host_context
animal feed distiller dry grain cake,3,route_to_host_context
animal feed soybean meal,3,route_to_host_context
