raw_value,classification,note
chicken meat,preserve_food_meat_context,Explicit poultry meat phrase; preserve food/meat source context.
poultry meat/product,preserve_food_meat_context,Explicit poultry meat/product phrase.
ground turkey,preserve_food_meat_context,Ground turkey is food/meat and must not be country/geography.
turkey meat,preserve_food_meat_context,Explicit turkey meat phrase.
beef,preserve_food_meat_context,Reviewed meat commodity label.
pork,preserve_food_meat_context,Reviewed meat commodity label.
retail meat,preserve_food_meat_context,Retail meat phrase supports food/meat context.
sausage,preserve_food_meat_context,Processed meat food label.
seafood,preserve_food_seafood_context,Explicit seafood food context.
fish meat,preserve_food_seafood_context,Fish plus meat supports aquatic food product context.
oyster meat,preserve_food_seafood_context,Oyster plus meat supports seafood context.
shrimp seafood,preserve_food_seafood_context,Shrimp plus seafood supports aquatic food context.
dairy product,preserve_food_dairy_context,Explicit dairy food product.
cheese,preserve_food_dairy_context,Food/dairy; removed false Environment_Medium_SD routing.
yogurt,preserve_food_dairy_context,Food/dairy; removed false Environment_Medium_SD routing.
egg product,preserve_food_context,Explicit product wording supports food context.
lettuce produce,preserve_food_produce_context,Produce wording supports food/produce context.
spinach produce,preserve_food_produce_context,Produce wording supports food/produce context.
tomato food product,preserve_food_produce_context,Food product wording supports food/produce context.
salad,preserve_food_produce_context,Reviewed prepared produce/food label.
slaughterhouse,preserve_food_production_context,Food animal processing environment.
abattoir,preserve_food_production_context,Food animal processing environment.
