rule_key,rule_type,destination,output,production_source,note
river sediment,exact_environment_medium,Environment_Medium_SD,sediment,fetchm_webapp/app.py,High-confidence deterministic Batch 4 rule.
canal sediment,exact_environment_medium,Environment_Medium_SD,sediment,fetchm_webapp/app.py,High-confidence deterministic Batch 4 rule.
wastewater treatment plant influent,exact_environment_medium,Environment_Medium_SD,wastewater,fetchm_webapp/app.py,High-confidence deterministic Batch 4 rule.
wastewater treatment plant effluent,exact_environment_medium,Environment_Medium_SD,wastewater,fetchm_webapp/app.py,High-confidence deterministic Batch 4 rule.
sewage influent,exact_environment_medium,Environment_Medium_SD,sewage,fetchm_webapp/app.py,High-confidence deterministic Batch 4 rule.
drainage water,exact_environment_medium,Environment_Medium_SD,drainage water,fetchm_webapp/app.py,High-confidence deterministic Batch 4 rule.
poultry litter,exact_environment_medium,Environment_Medium_SD,agricultural organic material,fetchm_webapp/app.py,High-confidence deterministic Batch 4 rule.
animal bedding,exact_environment_medium,Environment_Medium_SD,agricultural organic material,fetchm_webapp/app.py,High-confidence deterministic Batch 4 rule.
sink biofilm,exact_environment_medium,Environment_Medium_SD,biofilm,fetchm_webapp/app.py,High-confidence deterministic Batch 4 rule.
dental biofilm,exact_environment_medium,Environment_Medium_SD,biofilm,fetchm_webapp/app.py,High-confidence deterministic Batch 4 rule.
source-dominant environment precedence,precedence_guard,Isolation_Site_SD,suppress false plant anatomy,fetchm_webapp/app.py,High-confidence deterministic Batch 4 rule.
environment source pseudo-sample fallback,precedence_guard,Sample_Type_SD,suppress source-derived location/media pseudo-samples,fetchm_webapp/app.py,High-confidence deterministic Batch 4 rule.
estuary,source_context_override,Isolation_Source_SD,environmental material,fetchm_webapp/app.py,High-confidence deterministic Batch 4 rule.
anaerobic digester,source_context_override,Isolation_Source_SD,wastewater/organic waste,fetchm_webapp/app.py,High-confidence deterministic Batch 4 rule.
enrichment culture,conditional_source_context,Isolation_Source_SD,culture when no environment medium,fetchm_webapp/app.py,High-confidence deterministic Batch 4 rule.
