raw_value,affected_rows,current_signal_type,current_standardized_value,current_broad_value,current_recommended_action,reviewer_decision,proposed_sample_type_sd,proposed_isolation_site_sd,proposed_isolation_source_sd,proposed_isolation_source_broad,confidence,rationale,rule_file_to_update,rule_to_add,test_to_add,notes
blood,9729,sample_type,blood,,route_to_sample_type,route_to_sample_type,blood,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
urine,2892,sample_type,urine,,route_to_sample_type,route_to_sample_type,urine,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
food/animal-production swab,663,sample_type|host_taxon_or_context,food/animal-production swab,,route_to_sample_type,preserve_food_context,food/animal-production swab,,food/animal-production swab,food,high,"Material occurs in explicit food, meat, dairy, or commodity context.",app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
feces/stool,343,sample_type,feces/stool,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
milk,124,sample_type,milk,,route_to_sample_type,route_to_sample_type,milk,,,,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Broncho-alveolar lavage,72,sample_type,Broncho-alveolar lavage,,route_to_sample_type,route_to_sample_type,bronchoalveolar lavage fluid,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
fermented milk/dairy product,64,sample_type,fermented milk/dairy product,,route_to_sample_type,preserve_food_context,milk,,fermented milk/dairy product,food,high,"Material occurs in explicit food, meat, dairy, or commodity context.",app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
tissue,43,sample_type,tissue,,route_to_sample_type,route_to_sample_type,tissue,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
blood-derived material,36,sample_type,blood-derived material,,route_to_sample_type,route_to_sample_type,blood,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
broncho-alveolar lavage,35,sample_type,broncho-alveolar lavage,,route_to_sample_type,route_to_sample_type,bronchoalveolar lavage fluid,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Nasopharygneal lavage,24,sample_type,Nasopharygneal lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
lavage,22,sample_type,lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Tracheal lavage,15,sample_type,Tracheal lavage,,route_to_sample_type,split_sample_type_and_site,lavage,lower respiratory tract/bronch/pleural cavity,clinical/host-associated material,clinical/host-associated material,high,Phrase contains both a specimen material and an anatomical collection site.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
body fluid,13,sample_type,body fluid,,route_to_sample_type,route_to_sample_type,bodily fluid,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
guttural pouch lavage,13,sample_type,guttural pouch lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Guttural pouch lavage,11,sample_type,Guttural pouch lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Bronchalveolar Lavage,10,sample_type,Bronchalveolar Lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Nasobronchial lavage,8,sample_type,Nasobronchial lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
sputum,8,sample_type,sputum,,route_to_sample_type,route_to_sample_type,sputum,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
broncoalveolar lavage,7,sample_type,broncoalveolar lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
oropharyngeal/throat swab,7,body_site|sample_type,oropharyngeal/throat swab,,route_to_sample_type,split_sample_type_and_site,oropharyngeal/throat swab,nasopharynx/oropharynx,clinical/host-associated material,clinical/host-associated material,high,Phrase contains both a specimen material and an anatomical collection site.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Broncheoalveolar lavage,6,sample_type,Broncheoalveolar lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
brochoalveolar lavage,5,sample_type,brochoalveolar lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Bronco-Alveolar Lavage,5,sample_type,Bronco-Alveolar Lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
cloacal swab,5,sample_type,cloacal swab,,route_to_sample_type,split_sample_type_and_site,cloacal swab,cloaca,clinical/host-associated material,clinical/host-associated material,high,Phrase contains both a specimen material and an anatomical collection site.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
gastric lavage,5,sample_type,gastric lavage,,route_to_sample_type,split_sample_type_and_site,lavage,gastrointestinal tract,clinical/host-associated material,clinical/host-associated material,high,Phrase contains both a specimen material and an anatomical collection site.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
bronchioalveolar lavage,3,sample_type,bronchioalveolar lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Broncho-Alveolar Lavage,3,sample_type,Broncho-Alveolar Lavage,,route_to_sample_type,route_to_sample_type,bronchoalveolar lavage fluid,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Gastric lavage,3,sample_type,Gastric lavage,,route_to_sample_type,split_sample_type_and_site,lavage,gastrointestinal tract,clinical/host-associated material,clinical/host-associated material,high,Phrase contains both a specimen material and an anatomical collection site.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
Lavage,3,sample_type,Lavage,,route_to_sample_type,route_to_sample_type,lavage,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
baby faeces,2,sample_type,baby faeces,,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
"bat, faeces",2,sample_type,"bat, faeces",,route_to_sample_type,route_to_sample_type,feces/stool,,clinical/host-associated material,clinical/host-associated material,high,Reviewed biological or clinical specimen material.,app.py,material fallback after descriptor sanitization,Batch 2 material/site routing regression,Review signals are triage; retained context is intentional.
