normalized_lookup	raw_value	source_column	target_field	standardized_value	broad_value	review_status	confidence	batch_id	issue_type	severity	recommended_action
soil	soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
sediment	sediment		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
water	water		Environment_Medium_SD	water	environmental material	approved	high	preexisting	none	pass	none
wastewater	wastewater		Environment_Medium_SD	wastewater	environmental material	approved	high	preexisting	none	pass	none
waste water	waste water		Environment_Medium_SD	wastewater	environmental material	approved	high	preexisting	none	pass	none
seawater	seawater		Environment_Medium_SD	seawater	environmental material	approved	high	preexisting	none	pass	none
sea water	sea water		Environment_Medium_SD	seawater	environmental material	approved	high	preexisting	none	pass	none
freshwater	freshwater		Environment_Medium_SD	freshwater	environmental material	approved	high	preexisting	none	pass	none
fresh water	fresh water		Environment_Medium_SD	freshwater	environmental material	approved	high	preexisting	none	pass	none
environment	environment		Environment_Medium_SD	environmental sample		approved	high	preexisting	none	pass	none
environmental	environmental		Environment_Medium_SD	environmental sample		approved	high	preexisting	none	pass	none
stool	stool		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
feces	feces		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
faeces	faeces		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
fecal	fecal		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
faecal	faecal		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
stool swab	stool swab		Sample_Type_SD	feces/stool-associated swab	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
fecal swab	fecal swab		Sample_Type_SD	feces/stool-associated swab	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
faecal swab	faecal swab		Sample_Type_SD	feces/stool-associated swab	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
stool rectal swab	stool/rectal swab		Sample_Type_SD	feces/stool-associated swab	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
rectal swab stool	rectal swab/stool		Sample_Type_SD	feces/stool-associated swab	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
nasal swab	nasal swab		Sample_Type_SD	nasal swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
nose swab	nose swab		Sample_Type_SD	nasal swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
np swab	NP swab		Sample_Type_SD	nasopharyngeal swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
nasopharyngeal swab	nasopharyngeal swab		Sample_Type_SD	nasopharyngeal swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
swab wound	SWAB_WOUND		Sample_Type_SD	wound swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
pus swab	pus swab		Sample_Type_SD	wound/pus swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
vaginal swab	vaginal swab		Sample_Type_SD	vaginal swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
urethral swab	urethral swab		Sample_Type_SD	urethral swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
cloacal swab	cloacal swab		Sample_Type_SD	cloacal swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
skin swab	skin swab		Sample_Type_SD	skin swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
ear swab	ear swab		Sample_Type_SD	ear swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
eye swab	eye swab		Sample_Type_SD	eye swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
environmental swab	environmental swab		Sample_Type_SD	environmental swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
environmental swab sponge	environmental swab sponge		Sample_Type_SD	environmental swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
carcass swab	carcass swab		Sample_Type_SD	carcass swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
urine	urine		Sample_Type_SD	urine	clinical/host-associated material	approved	high	preexisting	none	pass	none
blood	blood		Sample_Type_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
sputum	sputum		Sample_Type_SD	sputum	clinical/host-associated material	approved	high	preexisting	none	pass	none
saliva	saliva		Sample_Type_SD	saliva		approved	high	preexisting	none	pass	none
shucked	shucked		Sample_Type_SD	processed shellfish tissue		approved	high	preexisting	none	pass	none
food	food		Sample_Type_SD	food	food/source material	approved	high	preexisting	none	pass	none
meat	meat		Sample_Type_SD	meat	food/source material	approved	high	preexisting	none	pass	none
seafood	seafood		Sample_Type_SD	seafood	food/source material	approved	high	preexisting	none	pass	none
milk	milk		Sample_Type_SD	milk	food/source material	approved	high	preexisting	none	pass	none
dairy milk	dairy milk		Sample_Type_SD	milk	food/source material	approved	high	preexisting	none	pass	none
bulk milk	Bulk Milk		Sample_Type_SD	milk	food/source material	approved	high	preexisting	none	pass	none
raw milk	Raw milk		Sample_Type_SD	milk	food/source material	approved	high	preexisting	none	pass	none
cows milk	cows milk		Sample_Type_SD	milk	food/source material	approved	high	preexisting	none	pass	none
fermented milk	fermented milk		Sample_Type_SD	milk	food/source material	approved	high	preexisting	none	pass	none
milk powder	Milk powder		Sample_Type_SD	milk powder	food/source material	approved	high	preexisting	none	pass	none
dairy product	dairy product		Sample_Type_SD	dairy product	environmental material	approved	high	preexisting	none	pass	none
milk product	milk product		Sample_Type_SD	dairy product	environmental material	approved	high	preexisting	none	pass	none
milk products	milk products		Sample_Type_SD	dairy product	environmental material	approved	high	preexisting	none	pass	none
patient clinical	patient clinical		Sample_Type_SD	patient/clinical		approved	high	preexisting	none	pass	none
clinical patient	clinical patient		Sample_Type_SD	patient/clinical		approved	high	preexisting	none	pass	none
mixed culture	mixed culture		Sample_Type_SD	mixed culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
mix culture	mix_culture		Sample_Type_SD	mixed culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
bacterial culture	bacterial culture		Sample_Type_SD	bacterial culture	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
bacteria culture	bacteria culture		Sample_Type_SD	culture	culture	approved	high	batch1	none	pass	none
