raw_value,reviewer_decision,reason,notes
farm,manual_review,Bare farm lacks enough context; no deterministic source rule.,No deterministic rule added in Batch 6.
market,manual_review,Bare market lacks enough context; no deterministic source rule.,No deterministic rule added in Batch 6.
egg,manual_review,Food/sample/reproductive context ambiguous.,No deterministic rule added in Batch 6.
lettuce,manual_review,Plant/produce ambiguous without plant or food wording.,No deterministic rule added in Batch 6.
spinach,manual_review,Plant/produce ambiguous without plant or food wording.,No deterministic rule added in Batch 6.
tomato,manual_review,Plant/produce ambiguous without plant or food wording.,No deterministic rule added in Batch 6.
vegetable,manual_review,Plant/produce ambiguous without explicit food/plant context.,No deterministic rule added in Batch 6.
fish,manual_review,Aquatic host/food ambiguous as standalone.,No deterministic rule added in Batch 6.
oyster,manual_review,Aquatic host/food ambiguous as standalone.,No deterministic rule added in Batch 6.
shellfish,manual_review,Aquatic host/food ambiguous as standalone.,No deterministic rule added in Batch 6.
shrimp,manual_review,Aquatic host/food ambiguous as standalone.,No deterministic rule added in Batch 6.
