field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	additive_destinations	remove_from_current_field	review_required	action_class	row_count	reason	expected_semantic_classes
Host_Health_State_SD	patient	host_context		host_context:patient/human clinical subject	high	incompatible	Host_Context_SD	true	true	confirmed_high_confidence_fix	7540	host_context:patient/human clinical subject	health_state
Isolation_Site_SD	cerebrospinal fluid	anatomical_material	sample_material	sample_material:cerebrospinal fluid|anatomical_material:host anatomical material	high	incompatible	Host_Anatomical_Material_SD|Sample_Material_SD|Sample_Type_SD	true	true	confirmed_high_confidence_fix	5264	sample_material:cerebrospinal fluid; anatomical_material:host anatomical material	anatomical_site
Host_Disease_SD	healthy/no disease reported	health_state		health_state:healthy/no disease reported	high	incompatible	Host_Health_State_SD	true	true	confirmed_high_confidence_fix	4589	health_state:healthy/no disease reported	disease
Isolation_Site_SD	manure	sample_material	environment_medium	sample_material:manure/fecal material|environment_medium:agricultural organic material	high	incompatible	Sample_Material_SD|Sample_Type_SD|Environment_Medium_SD	true	true	confirmed_high_confidence_fix	4577	sample_material:manure/fecal material; environment_medium:agricultural organic material	anatomical_site
Isolation_Site_SD	pus	anatomical_material	sample_material	sample_material:pus/purulent material|anatomical_material:host anatomical material	high	incompatible	Host_Anatomical_Material_SD|Sample_Material_SD|Sample_Type_SD	true	true	confirmed_high_confidence_fix	2645	sample_material:pus/purulent material; anatomical_material:host anatomical material	anatomical_site
Isolation_Site_SD	plant-associated material	sample_material	source_context|host_context|sampling_context	source_context:plant-associated material|host_context:plant-associated|sampling_context:plant-associated|sample_material:plant material	high	incompatible	Sample_Material_SD|Sample_Type_SD|Isolation_Source_SD|Host_Context_SD|Sampling_Context_SD	true	true	confirmed_high_confidence_fix	2016	source_context:plant-associated material; host_context:plant-associated; sampling_context:plant-associated; sample_material:plant material	anatomical_site
Host_Health_State_SD	hospitalized	hospitalization_status		hospitalization_status:hospitalized	high	incompatible	Host_Hospitalization_Status_SD	true	true	confirmed_high_confidence_fix	1183	hospitalization_status:hospitalized	health_state
Host_Disease_SD	diseased	health_state		health_state:diseased	high	incompatible	Host_Health_State_SD	true	true	confirmed_high_confidence_fix	1071	health_state:diseased	disease
Host_Health_State_SD	carrier	colonization_status		colonization_status:carrier	high	incompatible	Host_Colonization_Status_SD	true	true	confirmed_high_confidence_fix	922	colonization_status:carrier	health_state
Host_Health_State_SD	non-hospitalized	hospitalization_status		hospitalization_status:not hospitalized	high	incompatible	Host_Hospitalization_Status_SD	true	true	confirmed_high_confidence_fix	497	hospitalization_status:not hospitalized	health_state
Host_Health_State_SD	dead	vital_status		vital_status:deceased	high	incompatible	Host_Vital_Status_SD	true	true	confirmed_high_confidence_fix	289	vital_status:deceased	health_state
Host_Health_State_SD	exposure/contact context	exposure_context		exposure_context:exposure/contact context	high	incompatible	Host_Exposure_Context_SD	true	true	confirmed_high_confidence_fix	95	exposure_context:exposure/contact context	health_state
Host_Health_State_SD	specific pathogen free	production_context		production_context:specific pathogen free	high	incompatible	Host_Production_Context_SD	true	true	confirmed_high_confidence_fix	56	production_context:specific pathogen free	health_state
Host_Health_State_SD	exacerbation	disease_stage		disease_stage:exacerbation	high	incompatible	Host_Disease_Stage_SD	true	true	confirmed_high_confidence_fix	48	disease_stage:exacerbation	health_state
Host_Health_State_SD	alive	vital_status		vital_status:alive	high	incompatible	Host_Vital_Status_SD	true	true	confirmed_high_confidence_fix	40	vital_status:alive	health_state
Host_Health_State_SD	colonized	colonization_status		colonization_status:colonized	high	incompatible	Host_Colonization_Status_SD	true	true	confirmed_high_confidence_fix	18	colonization_status:colonized	health_state
Isolation_Site_SD	catheter	source_context	collection_device	collection_device:catheter|source_context:medical device	high	incompatible	Isolation_Source_SD|Sample_Collection_Device_SD	true	true	confirmed_high_confidence_fix	2	collection_device:catheter; source_context:medical device	anatomical_site
Host_Health_State_SD	convalescent	disease_stage		disease_stage:convalescent	high	incompatible	Host_Disease_Stage_SD	true	true	confirmed_high_confidence_fix	1	disease_stage:convalescent	health_state
