raw_value,affected_rows,current_signal_type,current_recommended_action,contributing_raw_examples_if_available,reviewer_decision,proposed_destination_field,proposed_standardized_value,confidence,rationale,rule_file_to_update,rule_to_add,test_to_add,notes
pathogen.cl,24468,regression_hardening,route_to_non_source_descriptor,,safe_suppress,non_source_descriptor / suppressed,,high,Exact generic descriptor or placeholder; current routing leaked into an exact source or Sample_Type_SD.,app.py,exact suppression and sample-type sentinel sanitization,pathogen.cl produces no source/sample/environment/site value,"Preventive hardening row; affected_rows counts exact canonical raw occurrences, not review-signal rows."
other,3835,regression_hardening,route_to_non_source_descriptor,,safe_suppress,non_source_descriptor / suppressed,,high,Exact generic descriptor or placeholder; current routing leaked into an exact source or Sample_Type_SD.,app.py,exact suppression and sample-type sentinel sanitization,other produces no source/sample/environment/site value,"Preventive hardening row; affected_rows counts exact canonical raw occurrences, not review-signal rows."
clinical sample,2020,sample_type|metadata_descriptor,route_to_non_source_descriptor,"clinical material (1,856); Clinical material from animal (Neovison vison) (95); clinical sample (62); Clinical material (2); Unspecified clinical material, Invasive; Clinical; Human (Homo Sapiens) (2)",context_bearing_keep_or_review,context-specific routing,,high,Context-bearing aggregate or phrase; inspect raw material/site evidence and do not blanket-suppress.,,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
respiratory sample,221,sample_type|metadata_descriptor,route_to_non_source_descriptor,Bronch (130); bronch (47); Bronch wash (12); bronch wash (7); respiratory tract (6),context_bearing_keep_or_review,context-specific routing,,high,Context-bearing aggregate or phrase; inspect raw material/site evidence and do not blanket-suppress.,,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
ENVO_00005801,112,raw_code_or_artifact,route_to_non_source_descriptor,ENVO_00005801 (112),ontology_code_manual_review,manual_review / ontology resolution,,high,Ontology identifier requires a committed lookup or manual resolution; it is not a generic placeholder.,,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
ENVO_01000248,15,raw_code_or_artifact,route_to_non_source_descriptor,ENVO_01000248 (15),ontology_code_manual_review,manual_review / ontology resolution,,high,Ontology identifier requires a committed lookup or manual resolution; it is not a generic placeholder.,,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
BLDP1,12,raw_code_or_artifact,route_to_non_source_descriptor,BLDP1 (12),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
curd_Producer_2,12,raw_code_or_artifact,route_to_non_source_descriptor,curd_Producer_2 (12),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
curd_Producer_3,12,raw_code_or_artifact,route_to_non_source_descriptor,curd_Producer_3 (12),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Anholt2,10,raw_code_or_artifact,route_to_non_source_descriptor,Anholt2 (10),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Bornholm3,9,raw_code_or_artifact,route_to_non_source_descriptor,Bornholm3 (9),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
cloacal sample,9,sample_type|metadata_descriptor,route_to_non_source_descriptor,not applicable (9),context_bearing_keep_or_review,context-specific routing,,high,Context-bearing aggregate or phrase; inspect raw material/site evidence and do not blanket-suppress.,,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Dyre1,8,raw_code_or_artifact,route_to_non_source_descriptor,Dyre1 (8),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
guineaPig7,8,raw_code_or_artifact,route_to_non_source_descriptor,guineaPig7 (8),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
K562,8,raw_code_or_artifact,route_to_non_source_descriptor,K562 (8),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
ENVO_00000115,7,raw_code_or_artifact,route_to_non_source_descriptor,ENVO_00000115 (7),ontology_code_manual_review,manual_review / ontology resolution,,high,Ontology identifier requires a committed lookup or manual resolution; it is not a generic placeholder.,,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
HEK293,7,raw_code_or_artifact,route_to_non_source_descriptor,HEK293 (7),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Room_1_C_Organism_2,7,raw_code_or_artifact,route_to_non_source_descriptor,Room_1_C_Organism_2 (7),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
Bornholm1,6,raw_code_or_artifact,route_to_non_source_descriptor,Bornholm1 (6),unresolved_low_priority,manual_review / unresolved,,low,"Opaque code may encode a cell line, device, location, host, or sample; suppressing without context is unsafe.",,,,No production change unless reviewer_decision is safe_suppress and regression evidence is explicit.
