field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	action_class	additive_destinations	remove_from_current_field	reason	assembly_accession	biosample	organism	raw_attribute_name	raw_value	evidence_match_type	Host	Host_SD	Host_Context_SD	Host_Disease_SD	Host_Health_State_SD	Host_Production_Context_SD	Host_Anatomical_Site_SD	Host_Hospitalization_Status_SD	Host_Vital_Status_SD	Host_Colonization_Status_SD	Host_Disease_Stage_SD	Host_Exposure_Context_SD	Isolation Source	Isolation_Source_SD	Isolation_Source_SD_Broad	Sample Type	Sample_Type_SD	Sample_Type_SD_Broad	Sample_Material_SD	Sampling_Context_SD	Host_Anatomical_Material_SD	Isolation_Site_SD	Environment_Medium_SD	Environment_Medium_SD_Broad	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Semantic_Axis_Provenance	Collection Date	Country
Environment_Broad_Scale_SD	agricultural environment	environment_broad_scale		environment_broad_scale:agricultural environment	compatible_no_action		false	Targeted value requested for semantic review.	GCA_000021885.1	SAMN02603313	Glaesserella parasuis SH0165			unmatched	swine	Sus scrofa			diseased								isolated from a Glasser's disease outbreak farm	clinical/host-associated material	clinical/host-associated material		farm	agricultural environment							agricultural environment	farm	{'Environment_Broad_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-FARM', 'evidence': 'destination_blank=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD', 'source_current_value': 'farm'}, {'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-AGRICULTURAL', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD_Broad', 'source_current_value': 'agricultural environment'}], 'Environment_Local_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-LOCAL-FARM', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD', 'source_current_value': 'farm'}]}	absent	China
Environment_Broad_Scale_SD	agricultural environment	environment_broad_scale		environment_broad_scale:agricultural environment	compatible_no_action		false	Targeted value requested for semantic review.	GCA_000175595.1	SAMN02441784	Clostridium carboxidivorans P7			unmatched	absent												agricultural settling lagoon at Oklahoma State University	agricultural settling lagoon at Oklahoma State University											agricultural environment	agricultural environment	{'Environment_Broad_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-AGRICULTURAL', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': 'Environment_Local_Scale_SD', 'source_raw_value': 'agricultural environment', 'source_current_field': 'Environment_Local_Scale_SD', 'source_current_value': 'agricultural environment'}]}	absent	United States
Environment_Broad_Scale_SD	agricultural environment	environment_broad_scale		environment_broad_scale:agricultural environment	compatible_no_action		false	Targeted value requested for semantic review.	GCA_000185745.1	SAMN02602972	Taylorella equigenitalis MCE9			unmatched	Equus caballus	Equus caballus					urogenital tract						urethral fossa of 4 year-old stallion from a stud farm	clinical/host-associated material	clinical/host-associated material							urogenital tract			agricultural environment	farm	{'Environment_Broad_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-FARM', 'evidence': 'destination_blank=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': 'Environment_Local_Scale_SD', 'source_raw_value': 'farm', 'source_current_field': 'Environment_Local_Scale_SD', 'source_current_value': 'farm'}, {'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-AGRICULTURAL', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': 'Environment_Broad_Scale_SD', 'source_raw_value': 'agricultural environment', 'source_current_field': 'Environment_Broad_Scale_SD', 'source_current_value': 'agricultural environment'}], 'Environment_Local_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-LOCAL-FARM', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': 'Environment_Local_Scale_SD', 'source_raw_value': 'farm', 'source_current_field': 'Environment_Local_Scale_SD', 'source_current_value': 'farm'}]}	absent	France
Environment_Broad_Scale_SD	agricultural environment	environment_broad_scale		environment_broad_scale:agricultural environment	compatible_no_action		false	Targeted value requested for semantic review.	GCA_000191665.1	SAMN02470542	Escherichia fergusonii ECD227			unmatched	Gallus gallus domesticus	Gallus gallus			healthy								a healthy broiler chicken at farm	clinical/host-associated material	clinical/host-associated material		broiler	host-associated context							agricultural environment	farm	{'Host_Health_State_SD': [{'method': 'semantic_phase2a_canonical_apply', 'rule_id': 'PH2A-HD-HEALTHY-NO-DISEASE', 'evidence': 'merge_policy=set_when_blank_or_same', 'confidence': 'high', 'ruleset_version': 'semantic_phase2a_confirmed_rules_v2', 'source_raw_field': '', 'source_raw_value': '', 'source_audit_commit': 'fea41b9430bcf245ce7052b503135316a1a255a2', 'evidence_requirement': 'blank or same Host_Health_State_SD', 'source_current_field': 'Host_Disease_SD', 'source_current_value': 'healthy/no disease reported'}], '_cleared_strict_fields': [{'method': 'semantic_phase2a_canonical_apply', 'reason': 'healthy/no disease reported is health state not disease', 'rule_id': 'PH2A-HD-HEALTHY-NO-DISEASE', 'cleared_field': 'Host_Disease_SD', 'previous_value': 'healthy/no disease reported', 'ruleset_version': 'semantic_phase2a_confirmed_rules_v2', 'source_raw_field': '', 'source_raw_value': '', 'destination_status': 'destination_recorded', 'removal_confidence': 'high', 'source_audit_commit': 'fea41b9430bcf245ce7052b503135316a1a255a2', 'destination_outcomes': [{'field': 'Host_Health_State_SD', 'value': 'healthy', 'detail': 'same destination value already present', 'status': 'already_same', 'rule_id': 'PH2A-HD-HEALTHY-NO-DISEASE', 'evidence': 'merge_policy=set_when_blank_or_same', 'condition': 'blank_or_same'}], 'cleared_companion_fields': [{'field': 'Host_Disease_SD_Detail', 'is_primary': 'false', 'previous_value': 'healthy/no disease reported'}, {'field': 'Host_Disease_SD_Method', 'is_primary': 'false', 'previous_value': 'context_dictionary'}]}], 'Environment_Broad_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-FARM', 'evidence': 'destination_blank=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': 'Environment_Local_Scale_SD', 'source_raw_value': 'farm', 'source_current_field': 'Environment_Local_Scale_SD', 'source_current_value': 'farm'}, {'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-AGRICULTURAL', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': 'Environment_Broad_Scale_SD', 'source_raw_value': 'agricultural environment', 'source_current_field': 'Environment_Broad_Scale_SD', 'source_current_value': 'agricultural environment'}], 'Environment_Local_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-LOCAL-FARM', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': 'Environment_Local_Scale_SD', 'source_raw_value': 'farm', 'source_current_field': 'Environment_Local_Scale_SD', 'source_current_value': 'farm'}]}	2004	Canada
Environment_Broad_Scale_SD	agricultural environment	environment_broad_scale		environment_broad_scale:agricultural environment	compatible_no_action		false	Targeted value requested for semantic review.	GCA_000226625.1	SAMN02602982	Taylorella asinigenitalis MCE3			unmatched	donkey	Equus asinus											genital tract of 6 year-old jack from a stud farm	clinical/host-associated material	clinical/host-associated material		farm	agricultural environment							agricultural environment	farm	{'Environment_Broad_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-FARM', 'evidence': 'destination_blank=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD', 'source_current_value': 'farm'}, {'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-AGRICULTURAL', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD_Broad', 'source_current_value': 'agricultural environment'}], 'Environment_Local_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-LOCAL-FARM', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD', 'source_current_value': 'farm'}]}	2004	France
Environment_Broad_Scale_SD	agricultural environment	environment_broad_scale		environment_broad_scale:agricultural environment	compatible_no_action		false	Targeted value requested for semantic review.	GCA_000254415.2	SAMN02428961	Campylobacter jejuni subsp. jejuni LMG 23269			unmatched	chicken	Gallus gallus											water ditch of chicken farm between 1998-2001	agricultural environment	agricultural environment		farm	agricultural environment					drainage/runoff water	clinical fluid/material	agricultural environment	farm	{'Environment_Broad_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-FARM', 'evidence': 'destination_blank=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD', 'source_current_value': 'farm'}, {'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-AGRICULTURAL', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD_Broad', 'source_current_value': 'agricultural environment'}], 'Environment_Local_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-LOCAL-FARM', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD', 'source_current_value': 'farm'}]}	absent	Belgium
Environment_Broad_Scale_SD	agricultural environment	environment_broad_scale		environment_broad_scale:agricultural environment	compatible_no_action		false	Targeted value requested for semantic review.	GCA_000263695.2	SAMN02436384	Pseudomonas fluorescens Q8r1-96			unmatched	absent												roots of wheat grown in an agricultural field near Quincy	clinical/host-associated material	clinical/host-associated material							plant root/rhizosphere			agricultural environment	agricultural field	{'Environment_Broad_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-AGRICULTURAL', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': 'Environment_Broad_Scale_SD', 'source_raw_value': 'agricultural environment', 'source_current_field': 'Environment_Broad_Scale_SD', 'source_current_value': 'agricultural environment'}]}	1996	United States
Environment_Broad_Scale_SD	agricultural environment	environment_broad_scale		environment_broad_scale:agricultural environment	compatible_no_action		false	Targeted value requested for semantic review.	GCA_000275905.1	SAMN02471730	Pseudomonas fluorescens NZI7			unmatched	absent	Agaricales											mushroom shed on a farm	clinical/host-associated material	clinical/host-associated material		farm	agricultural environment							agricultural environment	farm	{'Environment_Broad_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-FARM', 'evidence': 'destination_blank=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD', 'source_current_value': 'farm'}, {'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-AGRICULTURAL', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD_Broad', 'source_current_value': 'agricultural environment'}], 'Environment_Local_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-LOCAL-FARM', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD', 'source_current_value': 'farm'}]}	absent	New Zealand
Environment_Broad_Scale_SD	agricultural environment	environment_broad_scale		environment_broad_scale:agricultural environment	compatible_no_action		false	Targeted value requested for semantic review.	GCA_000275925.1	SAMN02471725	Pseudomonas fluorescens NZ052			unmatched	Agaricus bisporus	Agaricus bisporus											mushroom caps exhibiting blotch discolorations at a mushroom farm	clinical/host-associated material	clinical/host-associated material		farm	agricultural environment							agricultural environment	farm	{'Environment_Broad_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-FARM', 'evidence': 'destination_blank=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD', 'source_current_value': 'farm'}, {'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-AGRICULTURAL', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD_Broad', 'source_current_value': 'agricultural environment'}], 'Environment_Local_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-LOCAL-FARM', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD', 'source_current_value': 'farm'}]}	1999	New Zealand
Environment_Broad_Scale_SD	agricultural environment	environment_broad_scale		environment_broad_scale:agricultural environment	compatible_no_action		false	Targeted value requested for semantic review.	GCA_000280805.1	SAMN02471734	Pseudomonas fluorescens NZ007			unmatched	Agaricus bisporus	Agaricus bisporus											mushroom caps exhibiting blotch discolorations at a mushroom farm	clinical/host-associated material	clinical/host-associated material		farm	agricultural environment							agricultural environment	farm	{'Environment_Broad_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-FARM', 'evidence': 'destination_blank=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD', 'source_current_value': 'farm'}, {'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-BROAD-AGRICULTURAL', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD_Broad', 'source_current_value': 'agricultural environment'}], 'Environment_Local_Scale_SD': [{'method': 'source_environment_semantic_completion', 'rule_id': 'SEC-LOCAL-FARM', 'evidence': 'destination_same=true', 'confidence': 'high', 'ruleset_version': 'source_environment_semantic_completion_v1', 'source_raw_field': '', 'source_raw_value': '', 'source_current_field': 'Sample_Type_SD', 'source_current_value': 'farm'}]}	1999	New Zealand
