rule_id	current_field	current_value	clear_current_field	destination_field	destination_value	destination_condition	removal_confidence	destination_confidence	merge_policy	evidence_requirement	preserve_legacy_fields	reviewer_status	rationale	source_audit_commit	bucket	bucket_reason	matched_rows	applied	already_same	existing_different	conditional_assignment_skip	clear_only
SC1-SITE-CATHETER-DEVICE	Isolation_Site_SD	catheter	False	Sample_Collection_Device_SD	catheter	collection_device_evidence	high	moderate	set_when_blank_or_same	collection-device evidence required	True	approved_semantic_closure_phase1_dry_run	Populate collection-device axis only when raw or standardized collection-device evidence exists.	42f90fe71bd6c2f0dec6df6e4e022c8872636ce0	hold_for_manual_review	both catheter rows skipped collection-device evidence in Phase 1 dry run	2	0	0	0	2	0
SC1-HHS-DISEASED-PATIENT-SAMPLING	Host_Health_State_SD	diseased/patient	False	Sampling_Context_SD	clinical subject	clinical_subject_evidence	high	moderate	set_when_blank_or_same	clinical-subject evidence required	True	approved_semantic_closure_phase1_dry_run	Add clinical subject sampling context only when subject evidence is present.	42f90fe71bd6c2f0dec6df6e4e022c8872636ce0	hold_for_manual_review	all diseased/patient rows skipped clinical-subject evidence in Phase 1 dry run	50	0	0	0	50	0
SC1-ENV-MEDIUM-MARINE	Environment_Medium_SD	marine	True	Environment_Broad_Scale_SD	marine environment	blank_or_same	high	high	set_when_blank_or_same	destination blank or same	True	approved_semantic_closure_phase1_dry_run	Marine is a broad environment label rather than a physical medium.	42f90fe71bd6c2f0dec6df6e4e022c8872636ce0	hold_for_manual_review	environment axis correction affects many rows and requires reviewer confirmation	40376	689	38812	875	0	0
SC1-ENV-BROAD-WASTEWATER	Environment_Broad_Scale_SD	wastewater/sewage	True	Environment_Medium_SD	wastewater/sewage	blank_or_same	high	high	set_when_blank_or_same	destination blank or same	True	approved_semantic_closure_phase1_dry_run	Wastewater/sewage is an environmental medium rather than a broad-scale environment.	42f90fe71bd6c2f0dec6df6e4e022c8872636ce0	hold_for_manual_review	environment axis correction has many existing-different medium values	37767	42	0	37725	0	0
SC1-ENV-BROAD-ENV-SAMPLE	Environment_Broad_Scale_SD	environmental sample	True	Sampling_Context_SD	environmental	blank_or_same	high	high	set_when_blank_or_same	destination blank or same	True	approved_semantic_closure_phase1_dry_run	Environmental sample describes sampling context rather than broad environment scale.	42f90fe71bd6c2f0dec6df6e4e022c8872636ce0	hold_for_manual_review	large environment-context move requires reviewer confirmation	33064	33058	0	6	0	0
SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Local_Scale_SD	activated sludge	True	Environment_Medium_SD	activated sludge	blank_or_same	high	high	set_when_blank_or_same	destination blank or same	True	approved_semantic_closure_phase1_dry_run	Activated sludge is a medium rather than a local-scale feature.	42f90fe71bd6c2f0dec6df6e4e022c8872636ce0	hold_for_manual_review	environment axis correction has many already-same or existing-different destinations	13130	0	7988	5142	0	0
SC1-ENV-LOCAL-GROUNDWATER	Environment_Local_Scale_SD	groundwater	True	Environment_Medium_SD	groundwater	blank_or_same	high	high	set_when_blank_or_same	destination blank or same	True	approved_semantic_closure_phase1_dry_run	Groundwater is a medium rather than a local-scale feature.	42f90fe71bd6c2f0dec6df6e4e022c8872636ce0	hold_for_manual_review	environment axis correction has many already-same or existing-different destinations	12834	0	11179	1655	0	0
SC1-ENV-MEDIUM-HEALTHCARE-FACILITY	Environment_Medium_SD	healthcare facility	True	Environment_Local_Scale_SD	healthcare facility	blank_or_same	high	high	set_when_blank_or_same	destination blank or same	True	approved_semantic_closure_phase1_dry_run	Healthcare facility is a local/facility feature rather than a medium.	42f90fe71bd6c2f0dec6df6e4e022c8872636ce0	hold_for_manual_review	facility/local-scale routing requires reviewer confirmation	1029	5	169	855	0	0
SC1-ENV-MEDIUM-GLACIER	Environment_Medium_SD	glacier	True	Environment_Local_Scale_SD	glacier	blank_or_same	high	high	set_when_blank_or_same	destination blank or same	True	approved_semantic_closure_phase1_dry_run	Glacier is a local environmental feature rather than a medium.	42f90fe71bd6c2f0dec6df6e4e022c8872636ce0	hold_for_manual_review	environment axis correction held with other environment moves	434	0	432	2	0	0
SC1-ENV-LOCAL-AGRICULTURAL-ENV	Environment_Local_Scale_SD	agricultural environment	True	Environment_Broad_Scale_SD	agricultural environment	blank_or_same	high	high	set_when_blank_or_same	destination blank or same	True	approved_semantic_closure_phase1_dry_run	Agricultural environment is a broad-scale environment rather than local scale.	42f90fe71bd6c2f0dec6df6e4e022c8872636ce0	hold_for_manual_review	environment axis correction can interact with broad-scale context	1441	7	1145	289	0	0
