field	standardized_value	semantic_class	compatible_with_field_contract	row_count	reason	expected_semantic_classes
Environment_Broad_Scale_SD	host-associated gut/oral/fecal environment	anatomical_site	false	372564	Anatomical site or plant part.	environment_broad_scale
Environment_Broad_Scale_SD	marine environment	environment_broad_scale	true	95852	Broad environmental setting.	environment_broad_scale
Environment_Broad_Scale_SD	terrestrial environment	environment_broad_scale	true	91101	Broad environmental setting.	environment_broad_scale
Environment_Broad_Scale_SD	freshwater environment	environment_medium	false	81887	Environmental medium.	environment_broad_scale
Environment_Broad_Scale_SD	food-associated environment	food_commodity	false	58756	Food or animal commodity.	environment_broad_scale
Environment_Broad_Scale_SD	aquatic sediment environment	environment_medium	false	46883	Environmental medium.	environment_broad_scale
Environment_Broad_Scale_SD	clinical/host-associated material	source_context	false	40680	Broad clinical or host-associated source context.	environment_broad_scale
Environment_Broad_Scale_SD	wastewater/sewage	environment_medium	false	37767	Environmental medium.	environment_broad_scale
Environment_Broad_Scale_SD	environmental sample	metadata_descriptor	false	33064	Generic descriptor or missing value.	environment_broad_scale
Environment_Broad_Scale_SD	healthcare-associated environment	environment_broad_scale	true	25943	Broad environmental setting.	environment_broad_scale
Environment_Broad_Scale_SD	geologic/extreme environment	unresolved	false	20934	No deterministic semantic class assigned by audit rules.	environment_broad_scale
Environment_Broad_Scale_SD	host-associated environment	environment_broad_scale	true	19347	Broad environmental setting.	environment_broad_scale
Environment_Broad_Scale_SD	host-associated gut environment	host_context	false	17028	Host-associated context.	environment_broad_scale
Environment_Broad_Scale_SD	plant-associated environment	environment_broad_scale	true	15467	Broad environmental setting.	environment_broad_scale
Environment_Broad_Scale_SD	estuarine environment	unresolved	false	9898	No deterministic semantic class assigned by audit rules.	environment_broad_scale
Environment_Broad_Scale_SD	built/urban environment	unresolved	false	6676	No deterministic semantic class assigned by audit rules.	environment_broad_scale
Environment_Broad_Scale_SD	laboratory environment	environment_local_scale	false	2649	Local environmental/facility feature.	environment_broad_scale
Environment_Broad_Scale_SD	agricultural environment	environment_broad_scale	true	1801	Broad environmental setting.	environment_broad_scale
Environment_Broad_Scale_SD	geothermal environment	unresolved	false	963	No deterministic semantic class assigned by audit rules.	environment_broad_scale
Environment_Broad_Scale_SD	air/built environment	environment_medium	false	792	Environmental medium.	environment_broad_scale
Environment_Broad_Scale_SD	anthropogenic environment	unresolved	false	705	No deterministic semantic class assigned by audit rules.	environment_broad_scale
Environment_Broad_Scale_SD	anthropogenic terrestrial biome	unresolved	false	359	No deterministic semantic class assigned by audit rules.	environment_broad_scale
