field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	additive_destinations	remove_from_current_field	review_required	action_class	row_count	reason	expected_semantic_classes
Environment_Broad_Scale_SD	food-associated environment	food_commodity		food_commodity:explicit food or commodity context	high	incompatible	Isolation_Source_SD|Sample_Type_SD	true	true	manual_review	58756	food_commodity:explicit food or commodity context	environment_broad_scale
Environment_Broad_Scale_SD	aquatic sediment environment	environment_medium		environment_medium:environmental medium	high	incompatible	Environment_Medium_SD	true	true	manual_review	46883	environment_medium:environmental medium	environment_broad_scale
Environment_Broad_Scale_SD	clinical/host-associated material	source_context		source_context:clinical or host-associated source context	high	incompatible	Isolation_Source_SD	true	true	manual_review	40680	source_context:clinical or host-associated source context	environment_broad_scale
Environment_Broad_Scale_SD	wastewater/sewage	environment_medium		environment_medium:wastewater/sewage	high	incompatible	Environment_Medium_SD	true	true	manual_review	37767	environment_medium:wastewater/sewage	environment_broad_scale
Environment_Broad_Scale_SD	environmental sample	sampling_context		sampling_context:environmental	high	incompatible	Sampling_Context_SD	true	true	manual_review	33064	sampling_context:environmental	environment_broad_scale
Environment_Broad_Scale_SD	geologic/extreme environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	20934	unresolved:no deterministic semantic component	environment_broad_scale
Environment_Broad_Scale_SD	estuarine environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	9898	unresolved:no deterministic semantic component	environment_broad_scale
Environment_Broad_Scale_SD	built/urban environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	6676	unresolved:no deterministic semantic component	environment_broad_scale
Environment_Broad_Scale_SD	geothermal environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	963	unresolved:no deterministic semantic component	environment_broad_scale
Environment_Broad_Scale_SD	anthropogenic environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	705	unresolved:no deterministic semantic component	environment_broad_scale
Environment_Broad_Scale_SD	anthropogenic terrestrial biome	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	359	unresolved:no deterministic semantic component	environment_broad_scale
Environment_Local_Scale_SD	gut/fecal local context	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	407314	unresolved:no deterministic semantic component	environment_local_scale
Environment_Local_Scale_SD	coastal area	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	17767	unresolved:no deterministic semantic component	environment_local_scale
Environment_Local_Scale_SD	activated sludge	environment_medium		environment_medium:activated sludge	high	incompatible	Environment_Medium_SD	true	true	manual_review	13130	environment_medium:activated sludge	environment_local_scale
Environment_Local_Scale_SD	groundwater	environment_medium		environment_medium:groundwater	high	incompatible	Environment_Medium_SD	true	true	manual_review	12834	environment_medium:groundwater	environment_local_scale
Environment_Local_Scale_SD	wetland	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	10771	unresolved:no deterministic semantic component	environment_local_scale
Environment_Local_Scale_SD	urban area	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	6195	unresolved:no deterministic semantic component	environment_local_scale
Environment_Local_Scale_SD	agricultural land	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	5599	unresolved:no deterministic semantic component	environment_local_scale
Environment_Local_Scale_SD	intensive care unit	care_setting		care_setting:care setting	high	incompatible	Host_Care_Setting_SD	true	true	manual_review	2869	care_setting:care setting	environment_local_scale
Environment_Local_Scale_SD	laboratory	sampling_context		sampling_context:laboratory context	medium	incompatible	Sampling_Context_SD	true	true	manual_review	2481	sampling_context:laboratory context	environment_local_scale
Environment_Local_Scale_SD	agricultural environment	environment_broad_scale		environment_broad_scale:agricultural environment	high	incompatible	Environment_Broad_Scale_SD	true	true	manual_review	1441	environment_broad_scale:agricultural environment	environment_local_scale
Environment_Local_Scale_SD	subsurface shale	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	881	unresolved:no deterministic semantic component	environment_local_scale
Environment_Local_Scale_SD	agricultural field	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	579	unresolved:no deterministic semantic component	environment_local_scale
Environment_Local_Scale_SD	rumen/gut content	sample_material	anatomical_material	sample_material:gut/rumen content|anatomical_material:host anatomical material	high	incompatible	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	true	true	manual_review	474	sample_material:gut/rumen content; anatomical_material:host anatomical material	environment_local_scale
Environment_Local_Scale_SD	agricultural ecosystem	environment_broad_scale		environment_broad_scale:agricultural environment/ecosystem	high	incompatible	Environment_Broad_Scale_SD	true	true	manual_review	127	environment_broad_scale:agricultural environment/ecosystem	environment_local_scale
Environment_Local_Scale_SD	mariculture biome	environment_broad_scale		environment_broad_scale:mariculture biome	high	incompatible	Environment_Broad_Scale_SD	true	true	manual_review	43	environment_broad_scale:mariculture biome	environment_local_scale
Environment_Local_Scale_SD	agricultural feature	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	25	unresolved:no deterministic semantic component	environment_local_scale
Environment_Local_Scale_SD	biofilter	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	3	unresolved:no deterministic semantic component	environment_local_scale
Environment_Local_Scale_SD	hypolithic environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	3	unresolved:no deterministic semantic component	environment_local_scale
Environment_Medium_SD	marine	environment_broad_scale		environment_broad_scale:marine environment	high	incompatible	Environment_Broad_Scale_SD	true	true	manual_review	40376	environment_broad_scale:marine environment	environment_medium
Environment_Medium_SD	environmental material	source_context		source_context:broad source context	high	incompatible	Isolation_Source_SD	true	true	manual_review	7929	source_context:broad source context	environment_medium
Environment_Medium_SD	leachate	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	3937	unresolved:no deterministic semantic component	environment_medium
Environment_Medium_SD	laboratory	sampling_context		sampling_context:laboratory context	medium	incompatible	Sampling_Context_SD	true	true	manual_review	2251	sampling_context:laboratory context	environment_medium
Environment_Medium_SD	culture medium	sample_material	sample_processing	sample_material:culture medium|sample_processing:culture medium/preparation	medium	incompatible	Sample_Material_SD|Sample_Type_SD|Sample_Processing_SD	true	true	manual_review	2229	sample_material:culture medium; sample_processing:culture medium/preparation	environment_medium
Environment_Medium_SD	sea ice	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	1317	unresolved:no deterministic semantic component	environment_medium
Environment_Medium_SD	healthcare facility	environment_local_scale		environment_local_scale:healthcare facility	high	incompatible	Environment_Local_Scale_SD	true	true	manual_review	1029	environment_local_scale:healthcare facility	environment_medium
Environment_Medium_SD	subsurface shale	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	847	unresolved:no deterministic semantic component	environment_medium
Environment_Medium_SD	cryoconite	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	835	unresolved:no deterministic semantic component	environment_medium
Environment_Medium_SD	biological product	source_context		source_context:biological product/source context	medium	incompatible	Isolation_Source_SD	true	true	manual_review	826	source_context:biological product/source context	environment_medium
Environment_Medium_SD	biological waste material	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	796	unresolved:no deterministic semantic component	environment_medium
Environment_Medium_SD	environmental sample	sampling_context		sampling_context:environmental	high	incompatible	Sampling_Context_SD	true	true	manual_review	463	sampling_context:environmental	environment_medium
Environment_Medium_SD	glacier	environment_local_scale		environment_local_scale:glacier	high	incompatible	Environment_Local_Scale_SD	true	true	manual_review	434	environment_local_scale:glacier	environment_medium
Environment_Medium_SD	built environment surface	environment_local_scale	environment_broad_scale	environment_local_scale:local environmental or facility feature|environment_broad_scale:broad environmental setting	medium	incompatible	Environment_Local_Scale_SD|Environment_Broad_Scale_SD	true	true	manual_review	384	environment_local_scale:local environmental or facility feature; environment_broad_scale:broad environmental setting	environment_medium
Environment_Medium_SD	agricultural organic material	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	298	unresolved:no deterministic semantic component	environment_medium
Environment_Medium_SD	natural/free-living	source_context		source_context:natural or free-living source context	medium	incompatible	Isolation_Source_SD	true	true	manual_review	290	source_context:natural or free-living source context	environment_medium
Environment_Medium_SD	metadata descriptor/non-source	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	146	unresolved:no deterministic semantic component	environment_medium
Environment_Medium_SD	Oyster pond	environment_local_scale		environment_local_scale:local environmental or facility feature	high	incompatible	Environment_Local_Scale_SD	true	true	manual_review	86	environment_local_scale:local environmental or facility feature	environment_medium
Environment_Medium_SD	land crag	environment_local_scale		environment_local_scale:land crag	high	incompatible	Environment_Local_Scale_SD	true	true	manual_review	6	environment_local_scale:land crag	environment_medium
Environment_Medium_SD	stormwater	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	6	unresolved:no deterministic semantic component	environment_medium
Environment_Medium_SD	mine tailings	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	2	unresolved:no deterministic semantic component	environment_medium
Environment_Medium_SD	healthcare facility surface	environment_local_scale		environment_local_scale:local environmental or facility feature	high	incompatible	Environment_Local_Scale_SD	true	true	manual_review	1	environment_local_scale:local environmental or facility feature	environment_medium
Environment_Medium_SD	microplastic/plastic	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	1	unresolved:no deterministic semantic component	environment_medium
Environment_Medium_SD_Broad	environmental material	source_context		source_context:broad source context	high	incompatible	Isolation_Source_SD	true	true	manual_review	42562	source_context:broad source context	environment_medium
