current_field	standardized_value	semantic_class	affected_rows	proposed_destination	decision	confidence	rationale	source_flags
Sample_Type_SD_Broad	clinical/host-associated material	source_context	329869	Isolation_Source_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD_Broad	culture	sample_processing	93689	Sample_Processing_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD_Broad	swab	collection_device	70476	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	cell culture	sample_processing	54613	Sample_Processing_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type|processing_values_in_sample_type
Sample_Type_SD	sterile body site	anatomical_site	46778	Host_Anatomical_Site_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	clinical sample	source_context	33519	Isolation_Source_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	nasopharynx/oropharynx	anatomical_site	31643	Host_Anatomical_Site_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD_Broad	upper respiratory tract	anatomical_site	31643	Host_Anatomical_Site_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	rectal swab	collection_device	26828	Sample_Collection_Device_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Host_Anatomical_Site_SD	feces/stool	sample_material	23405	Sample_Type_SD	review_required	audit_suggested	Site field contains non-anatomical context/material.	conflicting_anatomical_site_fields
Sample_Type_SD	culture	sample_processing	21152	Sample_Processing_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type|processing_values_in_sample_type
Sample_Type_SD_Broad	environmental material	source_context	19876	Isolation_Source_SD	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Sample_Type_SD	environmental sample	metadata_descriptor	18083	suppress/provenance only	review_required	audit_suggested	Sample_Type fields should contain physical specimen/material values only.	non_material_values_in_sample_type
Isolation_Source_SD_Broad	plant-associated material	host_context	17656	Host_Context_SD	review_required	audit_suggested	Broad source category mixes non-source semantic classes; document or migrate.	ambiguous_broad_source_categories
