raw_value,reviewer_decision,confidence,rationale,production_rule_added
canal,admin_review_needed,low,Context-free anatomical or waterway term.,False
drainage,admin_review_needed,low,Could be clinical material or environmental drainage.,False
surface,admin_review_needed,low,"Could be body, built, food-contact, or surface-water context.",False
influent,admin_review_needed,low,"Requires wastewater, process, or water context.",False
mud,admin_review_needed,low,"Could be sediment/soil medium, location descriptor, or unresolved source.",False
sand,admin_review_needed,low,"Could be environmental medium, sediment modifier, or material descriptor.",False
water,admin_review_needed,low,Too broad for a more specific medium without context; existing generic behavior retained.,False
manure,admin_review_needed,low,May be specimen material or agricultural organic medium depending context.,False
biofilm,admin_review_needed,low,"Environmental, dental, host-associated, or built-environment context depends on qualifiers.",False
fermentation broth,admin_review_needed,low,"Could be food fermentation, industrial process medium, or laboratory culture.",False
