field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	additive_destinations	remove_from_current_field	review_required	action_class	row_count	reason	expected_semantic_classes
Environment_Broad_Scale_SD	host-associated gut/oral/fecal environment	environment_broad_scale	host_context	environment_broad_scale:host-associated gut/oral/fecal environment|host_context:host-associated	high	compatible_composite	Host_Context_SD	false	true	composite_requires_split	372564	environment_broad_scale:host-associated gut/oral/fecal environment; host_context:host-associated	environment_broad_scale
Environment_Broad_Scale_SD	marine environment	environment_broad_scale		environment_broad_scale:marine environment	high	compatible		false	false	compatible_no_action	95852	environment_broad_scale:marine environment	environment_broad_scale
Environment_Broad_Scale_SD	terrestrial environment	environment_broad_scale		environment_broad_scale:broad environmental setting	high	compatible		false	false	compatible_no_action	91101	environment_broad_scale:broad environmental setting	environment_broad_scale
Environment_Broad_Scale_SD	freshwater environment	environment_broad_scale	environment_medium	environment_medium:environmental medium|environment_broad_scale:broad environmental setting	medium	compatible_composite	Environment_Medium_SD	false	true	composite_requires_split	81887	environment_medium:environmental medium; environment_broad_scale:broad environmental setting	environment_broad_scale
Environment_Broad_Scale_SD	food-associated environment	food_commodity		food_commodity:explicit food or commodity context	high	incompatible	Isolation_Source_SD|Sample_Type_SD	true	true	manual_review	58756	food_commodity:explicit food or commodity context	environment_broad_scale
Environment_Broad_Scale_SD	aquatic sediment environment	environment_medium		environment_medium:environmental medium	high	incompatible	Environment_Medium_SD	true	true	manual_review	46883	environment_medium:environmental medium	environment_broad_scale
Environment_Broad_Scale_SD	clinical/host-associated material	source_context		source_context:clinical or host-associated source context	high	incompatible	Isolation_Source_SD	true	true	manual_review	40680	source_context:clinical or host-associated source context	environment_broad_scale
Environment_Broad_Scale_SD	wastewater/sewage	environment_medium		environment_medium:wastewater/sewage	high	incompatible	Environment_Medium_SD	true	true	manual_review	37767	environment_medium:wastewater/sewage	environment_broad_scale
Environment_Broad_Scale_SD	environmental sample	sampling_context		sampling_context:environmental	high	incompatible	Sampling_Context_SD	true	true	manual_review	33064	sampling_context:environmental	environment_broad_scale
Environment_Broad_Scale_SD	healthcare-associated environment	environment_broad_scale		environment_broad_scale:broad environmental setting	high	compatible		false	false	compatible_no_action	30195	environment_broad_scale:broad environmental setting	environment_broad_scale
Environment_Broad_Scale_SD	geologic/extreme environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	20934	unresolved:no deterministic semantic component	environment_broad_scale
Environment_Broad_Scale_SD	host-associated environment	environment_broad_scale	host_context|source_context	environment_broad_scale:broad environmental setting|host_context:host-associated context|source_context:broad source context	medium	compatible_composite	Host_Context_SD|Isolation_Source_SD	false	true	composite_requires_split	19347	environment_broad_scale:broad environmental setting; host_context:host-associated context; source_context:broad source context	environment_broad_scale
Environment_Broad_Scale_SD	host-associated gut environment	environment_broad_scale	host_context	environment_broad_scale:host-associated gut environment|host_context:host-associated	high	compatible_composite	Host_Context_SD	false	true	composite_requires_split	17028	environment_broad_scale:host-associated gut environment; host_context:host-associated	environment_broad_scale
Environment_Broad_Scale_SD	plant-associated environment	environment_broad_scale	host_context	environment_broad_scale:broad environmental setting|host_context:host-associated context	medium	compatible_composite	Host_Context_SD	false	true	composite_requires_split	15467	environment_broad_scale:broad environmental setting; host_context:host-associated context	environment_broad_scale
Environment_Broad_Scale_SD	estuarine environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	9898	unresolved:no deterministic semantic component	environment_broad_scale
Environment_Broad_Scale_SD	agricultural environment	environment_broad_scale		environment_broad_scale:agricultural environment	high	compatible		false	false	compatible_no_action	8322	environment_broad_scale:agricultural environment	environment_broad_scale
Environment_Broad_Scale_SD	built/urban environment	unresolved		unresolved:no deterministic semantic component	low	incompatible	admin_review	false	true	classifier_uncertain	6676	unresolved:no deterministic semantic component	environment_broad_scale
Environment_Broad_Scale_SD	built environment	environment_broad_scale		environment_broad_scale:broad environmental setting	high	compatible		false	false	compatible_no_action	3564	environment_broad_scale:broad environmental setting	environment_broad_scale
