synonym,decision,note
"human, animal or environmental",non_host_source,Batch 3 2026-05-05: reviewed mixed/source descriptor; not a reliable Host_SD value
Chicken environment,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
bacteria culture,non_host_source,"Batch 3 2026-05-05: bacterial culture/lab artifact, not host organism"
Bacteria culture,non_host_source,"Batch 3 2026-05-05: bacterial culture/lab artifact, not host organism"
pig farm environment,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
environmental bovine,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
flock environment broiler (Gallus gallus),non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Environment of broiler farm,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Pure culture of bacteria,non_host_source,"Batch 3 2026-05-05: bacterial culture/lab artifact, not host organism"
Bacteria isolated in solid culture medium,non_host_source,"Batch 3 2026-05-05: bacterial culture/lab artifact, not host organism"
Sus scrofa domesticus: environment,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Environment of broiler farms,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
environmental swabs sponge,non_host_source,Batch 3 2026-05-05: reviewed mixed/source descriptor; not a reliable Host_SD value
water for animals,non_host_source,Batch 3 2026-05-05: reviewed mixed/source descriptor; not a reliable Host_SD value
environment of equine clinic,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
bacteria pure culture,non_host_source,"Batch 3 2026-05-05: bacterial culture/lab artifact, not host organism"
"Environment, animals",non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Dog Environment,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
bacteria cell culture,non_host_source,"Batch 3 2026-05-05: bacterial culture/lab artifact, not host organism"
environmental avian,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
sewage plant,non_host_source,Batch 3 2026-05-05: reviewed mixed/source descriptor; not a reliable Host_SD value
biofilm; non-axenic culture containing Capilliphycus salinus and associated bacteria,non_host_source,"Batch 3 2026-05-05: bacterial culture/lab artifact, not host organism"
turkey environmental,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
patient environment,non_host_source,Batch 3 2026-05-05: reviewed mixed/source descriptor; not a reliable Host_SD value
Fish and aquatic environment of Lake Victoria,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Chicken Environment,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Pig Special Project (Sampling of Livestock and Poultry Environment),non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
equine hospital environmental,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
pigeon farm environment,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Bacteria pure culture,non_host_source,"Batch 3 2026-05-05: bacterial culture/lab artifact, not host organism"
environmental turtle tank,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
environmental-chicken,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
equine environment,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
environmental feline,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
"Environment, poultry farm",non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Pig farm environment,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
environment corn silage,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
"Environment, poultry barn",non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Avian Environment,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
pure culture bacteria,non_host_source,"Batch 3 2026-05-05: bacterial culture/lab artifact, not host organism"
pure bacteria culture,non_host_source,"Batch 3 2026-05-05: bacterial culture/lab artifact, not host organism"
bacteria cells (from culture that grew from a isolated colony),non_host_source,"Batch 3 2026-05-05: bacterial culture/lab artifact, not host organism"
Pure culture of Gram (+) bacteria,non_host_source,"Batch 3 2026-05-05: bacterial culture/lab artifact, not host organism"
a piece of sunken bamboo in the marine environment,non_host_source,Batch 3 2026-05-05: environment/context phrase without explicit specimen material
Pure culture of Bacteria,non_host_source,"Batch 3 2026-05-05: bacterial culture/lab artifact, not host organism"
