rule_file,raw_value,destination,proposed_value,confidence,note
controlled_categories.csv,infected animal,Host_Disease_SD,infectious disease,medium,Batch 8 reviewed resolution: infected host state; no specific disease inferred.
controlled_categories.csv,infected animal,Host_Health_State_SD,diseased,medium,Batch 8 reviewed resolution: infected animal indicates diseased health state.
controlled_categories.csv,diseased plant,Host_Disease_SD,"plant disease, unspecified",medium,Batch 8 reviewed resolution: plant disease context without specific disease.
controlled_categories.csv,diseased plant,Host_Health_State_SD,diseased,medium,Batch 8 reviewed resolution: diseased plant indicates diseased health state.
controlled_categories.csv,carrier,Host_Health_State_SD,carrier,medium,"Batch 8 reviewed resolution: carrier status is health state, not disease."
controlled_categories.csv,colonized,Host_Health_State_SD,colonized,medium,"Batch 8 reviewed resolution: colonization status is health state, not disease."
app.py,infected animal,Isolation_Source_SD,host-associated context,medium,Reviewed source/context override using existing fields.
app.py,diseased plant,Isolation_Source_SD,plant-associated material,medium,Reviewed source/context override using existing fields.
app.py,outbreak,Isolation_Source_SD,,medium,Suppress source-only epidemiological label; no dedicated context field exists.
app.py,wastewater surveillance,Isolation_Source_SD,environmental material,high,Reviewed environmental surveillance context using existing fields.
app.py,carrier,Isolation_Source_SD,clinical/host-associated material,medium,Reviewed carrier clinical context using existing fields.
app.py,colonized,Isolation_Source_SD,clinical/host-associated material,medium,Reviewed colonization clinical context using existing fields.
app.py,patient,Isolation_Source_SD,clinical/host-associated material,high,Reviewed patient clinical context using existing fields.
