isolation_source_sd,assembly_count,signal_classes,recommended_action
feces/stool,323660,sample_type,route_to_sample_type
blood,128734,sample_type,route_to_sample_type
metagenome,90676,metadata_descriptor,route_to_non_source_descriptor
poultry meat/product,77728,host_taxon_or_context,route_to_food_source
urine,71406,sample_type,route_to_sample_type
soil,69379,environment_medium,route_to_environment_medium
sediment,45521,environment_medium,route_to_environment_medium
metadata descriptor/non-source,40577,metadata_descriptor,route_to_non_source_descriptor
clinical sample,35760,sample_type|metadata_descriptor,route_to_non_source_descriptor
sputum,34987,sample_type,route_to_sample_type
lake water,32715,environment_medium,route_to_environment_medium
seawater,27293,environment_medium,route_to_environment_medium
wound,21255,body_site,route_to_isolation_site
plant-associated material,20751,host_taxon_or_context,route_to_host_context
hot spring water,14839,environment_medium,route_to_environment_medium
turkey meat/product,14061,host_taxon_or_context,route_to_food_source
sewage,13739,environment_medium,route_to_environment_medium
wastewater,12891,environment_medium,route_to_environment_medium
agricultural/food-production water,11873,environment_medium,route_to_environment_medium
groundwater,11686,environment_medium,route_to_environment_medium
respiratory sample,11342,sample_type|metadata_descriptor,route_to_non_source_descriptor
whole organism,10999,metadata_descriptor,route_to_non_source_descriptor
body fluid,10887,sample_type,route_to_sample_type
milk,9983,sample_type,route_to_sample_type
plant/produce food product,6677,host_taxon_or_context,route_to_food_source
marine sediment,6511,environment_medium,route_to_environment_medium
cerebrospinal fluid,6197,sample_type,route_to_sample_type
biofilm,5147,environment_medium,route_to_environment_medium
surveillance swab,4821,sample_type,route_to_sample_type
abscess,4030,disease,route_to_disease_or_health_state
pond water,3768,environment_medium,route_to_environment_medium
sludge,3165,environment_medium,route_to_environment_medium
sample,2934,sample_type|metadata_descriptor,route_to_non_source_descriptor
gastric biopsy,2791,sample_type,route_to_sample_type
tracheal aspirate,2697,sample_type,route_to_sample_type
pus,2601,sample_type,route_to_sample_type
aspirate,2559,sample_type,route_to_sample_type
fecal/stool swab,2293,sample_type,route_to_sample_type
environmental water,2262,environment_medium,route_to_environment_medium
canal,2112,body_site,route_to_isolation_site
leaf tissue,2020,sample_type,route_to_sample_type
groin,1925,body_site,route_to_isolation_site
water,1923,environment_medium,route_to_environment_medium
Tissue,1915,sample_type,route_to_sample_type
water column,1557,environment_medium,route_to_environment_medium
biopsy,1492,sample_type,route_to_sample_type
cloacal swab,1482,sample_type,route_to_sample_type
saline/brine water,1401,environment_medium,route_to_environment_medium
terrestrial environment,1368,environment_medium,route_to_environment_medium
tissue,1367,sample_type,route_to_sample_type
hospital wastewater,1266,environment_medium,route_to_environment_medium
healthcare-associated environment,1127,environment_medium,route_to_environment_medium
tidal flat sediment,974,environment_medium,route_to_environment_medium
hospital sewage,943,environment_medium,route_to_environment_medium
plant stem,942,host_taxon_or_context,route_to_host_context
drinking/distribution water,934,environment_medium,route_to_environment_medium
irrigation canal,840,body_site,route_to_isolation_site
plant root/rhizosphere,767,host_taxon_or_context,route_to_host_context
air,752,environment_medium,route_to_environment_medium
environmental swab,741,sample_type,route_to_sample_type
estuarine water,692,environment_medium,route_to_environment_medium
domestic wastewater,673,environment_medium,route_to_environment_medium
ground chicken,669,host_taxon_or_context,route_to_food_source
food/animal-production swab,668,sample_type|host_taxon_or_context,route_to_sample_type
oropharyngeal/throat swab,627,body_site|sample_type,route_to_sample_type
built-environment water,593,environment_medium,route_to_environment_medium
metadata descriptor / non-source,546,metadata_descriptor,route_to_non_source_descriptor
brackish water,453,environment_medium,route_to_environment_medium
cloacal sample,437,sample_type|metadata_descriptor,route_to_non_source_descriptor
swab,427,sample_type,route_to_sample_type
built environment surface,380,environment_medium,route_to_environment_medium
whole genome sequencing sample,335,sample_type|metadata_descriptor,route_to_non_source_descriptor
spring water,321,environment_medium,route_to_environment_medium
soft tissue,282,sample_type,route_to_sample_type
respiratory swab,275,sample_type,route_to_sample_type
wound/lesion/abscess swab,263,body_site|sample_type|disease,route_to_disease_or_health_state
irrigation water,260,environment_medium,route_to_environment_medium
geologic/produced water,155,environment_medium,route_to_environment_medium
Animal-Calf-Bob Veal,137,host_taxon_or_context,route_to_host_context
salt marsh sediment,130,environment_medium,route_to_environment_medium
agricultural/aquaculture water,129,environment_medium,route_to_environment_medium
Wild Animal,123,host_taxon_or_context,route_to_host_context
Tissue (Specify:),114,sample_type,route_to_sample_type
produced water,114,environment_medium,route_to_environment_medium
ENVO_00005801,112,raw_code_or_artifact,route_to_non_source_descriptor
animal by-product,112,host_taxon_or_context,route_to_host_context
pooled tissue,110,sample_type,route_to_sample_type
clinical swab,109,sample_type,route_to_sample_type
ice water,100,environment_medium,route_to_environment_medium
surface/open water,100,environment_medium,route_to_environment_medium
TISSUE,95,sample_type,route_to_sample_type
Connective tissue,91,sample_type,route_to_sample_type
cat,91,host_taxon_or_context,route_to_host_context
