rule_id	destination_field	proposed_value	existing_or_detail	count	interpretation	representative_examples
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=agricultural/food-production water	4477	preserved existing value; review grouped examples	GCA_000523295.1;GCA_000987375.1;GCA_001717465.2;GCA_002557795.1;GCA_013824755.1
SEC-BROAD-LABORATORY	Environment_Broad_Scale_SD	laboratory environment	existing_different=marine environment	921	preserved existing value; review grouped examples	GCA_028045235.1;GCA_028113675.1;GCA_028118625.1;GCA_028350005.1;GCA_028028985.1
SEC-MEDIUM-MANURE	Environment_Medium_SD	agricultural organic material	destination_blank=false; existing=manure	715	preserved existing value; review grouped examples	GCA_001676315.1;GCA_009663665.1;GCA_021380265.1;GCA_021211315.1;GCA_024146065.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=freshwater	573	preserved existing value; review grouped examples	GCA_023989615.1;GCA_040613275.1;GCA_023496625.1;GCA_023987135.1;GCA_023987695.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=sediment	470	preserved existing value; review grouped examples	GCA_031420075.1;GCA_031422595.1;GCA_031361985.1;GCA_031362265.1;GCA_031366665.1
SEC-MEDIUM-SALINE-WATER	Environment_Medium_SD	saline water	existing_different=saline/brine water	292	preserved existing value; review grouped examples	GCA_014381465.1;GCA_042090885.1;GCA_042091355.1;GCA_014384025.1;GCA_014383455.1
SEC-BROAD-FARM	Environment_Broad_Scale_SD	agricultural environment	existing_different=food-associated environment	233	preserved existing value; review grouped examples	GCA_054855725.1;GCA_054854475.1;GCA_054856305.1;GCA_028894925.1;GCA_057069705.1
SEC-BROAD-AGRICULTURAL	Environment_Broad_Scale_SD	agricultural environment	existing_different=food-associated environment	227	preserved existing value; review grouped examples	GCA_054855725.1;GCA_054854475.1;GCA_054856305.1;GCA_028894925.1;GCA_057069705.1
SEC-MEDIUM-WASTEWATER	Environment_Medium_SD	wastewater	existing_different=hospital wastewater	226	preserved existing value; review grouped examples	GCA_022518725.1;GCA_022535075.1;GCA_022519305.1;GCA_022520805.1;GCA_022528245.1
SEC-LOCAL-FARM	Environment_Local_Scale_SD	farm	existing_different=dairy farm	198	preserved existing value; review grouped examples	GCA_005999725.1;GCA_054855725.1;GCA_020624065.1;GCA_020624905.1;GCA_054854475.1
SEC-BROAD-HEALTHCARE	Environment_Broad_Scale_SD	healthcare-associated environment	existing_different=wastewater/sewage	196	preserved existing value; review grouped examples	GCA_022518725.1;GCA_022535075.1;GCA_022519305.1;GCA_022520805.1;GCA_022528245.1
SEC-MEDIUM-SEWAGE	Environment_Medium_SD	sewage	existing_different=hospital sewage	147	preserved existing value; review grouped examples	GCA_032738445.1;GCA_024732205.1;GCA_030199975.1;GCA_030200295.1;GCA_030200375.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=saline/brine water	145	preserved existing value; review grouped examples	GCA_002309495.1;GCA_002328235.1;GCA_002359235.1;GCA_002363755.1;GCA_002413545.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=marine	103	preserved existing value; review grouped examples	GCA_002313655.1;GCA_002384885.1;GCA_002433425.1;GCA_002448675.1;GCA_002471755.1
SEC-BROAD-FARM	Environment_Broad_Scale_SD	agricultural environment	existing_different=terrestrial environment	87	preserved existing value; review grouped examples	GCA_004303925.1;GCA_004153445.1;GCA_034420975.1;GCA_029718425.1;GCA_055816555.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=built-environment water	87	preserved existing value; review grouped examples	GCA_028876695.1;GCA_018969165.1;GCA_018970175.1;GCA_018970945.1;GCA_028865345.1
SEC-MEDIUM-WATER	Environment_Medium_SD	water	existing_different=estuarine water	86	preserved existing value; review grouped examples	GCA_023260675.1;GCA_023257655.1;GCA_023255375.1;GCA_023257625.1;GCA_023253495.1
SEC-BROAD-AGRICULTURAL	Environment_Broad_Scale_SD	agricultural environment	existing_different=terrestrial environment	83	preserved existing value; review grouped examples	GCA_013361365.1;GCA_034420975.1;GCA_055816555.1;GCA_008118765.1;GCA_055816275.1
SEC-MEDIUM-SALINE-WATER	Environment_Medium_SD	saline water	existing_different=marine	79	preserved existing value; review grouped examples	GCA_002313655.1;GCA_002384885.1;GCA_002433425.1;GCA_002448675.1;GCA_002471755.1
SEC-BROAD-BUILT	Environment_Broad_Scale_SD	built environment	existing_different=healthcare-associated environment	50	preserved existing value; review grouped examples	GCA_003248965.1;GCA_003935525.1;GCA_057581945.1;GCA_003241175.1;GCA_003241285.1
SEC-BROAD-TERRESTRIAL	Environment_Broad_Scale_SD	terrestrial environment	existing_different=anthropogenic terrestrial biome	45	preserved existing value; review grouped examples	GCA_015591105.1;GCA_015592365.1;GCA_900639495.1;GCA_015590705.1;GCA_015590265.1
SEC-BROAD-BUILT	Environment_Broad_Scale_SD	built environment	existing_different=food-associated environment	34	preserved existing value; review grouped examples	GCA_031002325.1;GCA_008340725.1;GCA_025858555.1;GCA_030994505.1;GCA_030958215.1
SEC-BROAD-FARM	Environment_Broad_Scale_SD	agricultural environment	existing_different=host-associated gut/oral/fecal environment	34	preserved existing value; review grouped examples	GCA_020624065.1;GCA_020624905.1;GCA_057176665.1;GCA_057176985.1;GCA_011007235.1
SEC-BROAD-BUILT	Environment_Broad_Scale_SD	built environment	existing_different=environmental sample	33	preserved existing value; review grouped examples	GCA_044230625.1;GCA_044242415.1;GCA_044242455.1;GCA_022875985.4;GCA_044232095.1
SEC-BROAD-BUILT	Environment_Broad_Scale_SD	built environment	existing_different=plant-associated environment	33	preserved existing value; review grouped examples	GCA_015015595.1;GCA_015017195.1;GCA_015018535.1;GCA_015019075.1;GCA_015019275.1
