rule_id	outcome_status	recommended_reviewer_decision	assembly_accession	biosample	organism	current_field	current_value	destination_field	destination_value	existing_destination_value	event_evidence	event_detail	raw_evidence_json	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Sampling_Context_SD	Host_Context_SD	Host_Health_State_SD	Host_Study_Group_SD	Semantic_Axis_Provenance
SC1-HHS-DISEASED-PATIENT-SAMPLING	conditional_assignment_skip	hold; evidence condition not met	GCA_001053095.1	SAMEA859916	Yersinia similis	Host_Health_State_SD	diseased/patient	Sampling_Context_SD	clinical subject		clinical_subject_evidence=false	conditional_assignment_skip	"{""BioSample Host Health State"":""disease: otitis media"",""BioSample Isolation Source"":""middle ear"",""Host"":""Homo sapiens"",""Host Health State"":""disease: otitis media"",""Host_Cleaned"":""homo sapiens"",""Host_Original"":""Homo sapiens"",""Isolation Source"":""middle ear""}"						diseased/patient		{}
SC1-HHS-DISEASED-PATIENT-SAMPLING	conditional_assignment_skip	hold; evidence condition not met	GCA_001089645.1	SAMEA859870	Yersinia frederiksenii	Host_Health_State_SD	diseased/patient	Sampling_Context_SD	clinical subject		clinical_subject_evidence=false	conditional_assignment_skip	"{""BioSample Host Health State"":""disease: otitis media"",""BioSample Isolation Source"":""middle ear"",""Host"":""Homo sapiens"",""Host Health State"":""disease: otitis media"",""Host_Cleaned"":""homo sapiens"",""Host_Original"":""Homo sapiens"",""Isolation Source"":""middle ear""}"						diseased/patient		{}
SC1-HHS-DISEASED-PATIENT-SAMPLING	conditional_assignment_skip	hold; evidence condition not met	GCA_001104045.1	SAMEA859877	Yersinia pseudotuberculosis	Host_Health_State_SD	diseased/patient	Sampling_Context_SD	clinical subject		clinical_subject_evidence=false	conditional_assignment_skip	"{""BioSample Host Health State"":""disease: otitis media"",""BioSample Isolation Source"":""middle ear"",""Host"":""Homo sapiens"",""Host Health State"":""disease: otitis media"",""Host_Cleaned"":""homo sapiens"",""Host_Original"":""Homo sapiens"",""Isolation Source"":""middle ear""}"						diseased/patient		{}
SC1-HHS-DISEASED-PATIENT-SAMPLING	conditional_assignment_skip	hold; evidence condition not met	GCA_001125265.1	SAMEA859893	Yersinia pseudotuberculosis	Host_Health_State_SD	diseased/patient	Sampling_Context_SD	clinical subject		clinical_subject_evidence=false	conditional_assignment_skip	"{""BioSample Host Health State"":""disease: otitis media"",""BioSample Isolation Source"":""middle ear"",""Host"":""Homo sapiens"",""Host Health State"":""disease: otitis media"",""Host_Cleaned"":""homo sapiens"",""Host_Original"":""Homo sapiens"",""Isolation Source"":""middle ear""}"						diseased/patient		{}
SC1-HHS-DISEASED-PATIENT-SAMPLING	conditional_assignment_skip	hold; evidence condition not met	GCA_001136465.1	SAMEA859914	Yersinia similis	Host_Health_State_SD	diseased/patient	Sampling_Context_SD	clinical subject		clinical_subject_evidence=false	conditional_assignment_skip	"{""BioSample Host Health State"":""disease: otitis media"",""BioSample Isolation Source"":""middle ear"",""Host"":""Homo sapiens"",""Host Health State"":""disease: otitis media"",""Host_Cleaned"":""homo sapiens"",""Host_Original"":""Homo sapiens"",""Isolation Source"":""middle ear""}"						diseased/patient		{}
SC1-HHS-DISEASED-PATIENT-SAMPLING	conditional_assignment_skip	hold; evidence condition not met	GCA_001142745.1	SAMEA859868	Yersinia frederiksenii	Host_Health_State_SD	diseased/patient	Sampling_Context_SD	clinical subject		clinical_subject_evidence=false	conditional_assignment_skip	"{""BioSample Host Health State"":""disease: otitis media"",""BioSample Isolation Source"":""middle ear"",""Host"":""Homo sapiens"",""Host Health State"":""disease: otitis media"",""Host_Cleaned"":""homo sapiens"",""Host_Original"":""Homo sapiens"",""Isolation Source"":""middle ear""}"						diseased/patient		{}
SC1-HHS-DISEASED-PATIENT-SAMPLING	conditional_assignment_skip	hold; evidence condition not met	GCA_001144805.1	SAMEA859932	Yersinia kristensenii	Host_Health_State_SD	diseased/patient	Sampling_Context_SD	clinical subject		clinical_subject_evidence=false	conditional_assignment_skip	"{""BioSample Host Health State"":""disease: otitis media"",""BioSample Isolation Source"":""middle ear"",""Host"":""Homo sapiens"",""Host Health State"":""disease: otitis media"",""Host_Cleaned"":""homo sapiens"",""Host_Original"":""Homo sapiens"",""Isolation Source"":""middle ear""}"						diseased/patient		{}
SC1-HHS-DISEASED-PATIENT-SAMPLING	conditional_assignment_skip	hold; evidence condition not met	GCA_001149645.1	SAMEA859879	Yersinia mollaretii	Host_Health_State_SD	diseased/patient	Sampling_Context_SD	clinical subject		clinical_subject_evidence=false	conditional_assignment_skip	"{""BioSample Host Health State"":""disease: otitis media"",""BioSample Isolation Source"":""middle ear"",""Host"":""Homo sapiens"",""Host Health State"":""disease: otitis media"",""Host_Cleaned"":""homo sapiens"",""Host_Original"":""Homo sapiens"",""Isolation Source"":""middle ear""}"						diseased/patient		{}
SC1-HHS-DISEASED-PATIENT-SAMPLING	conditional_assignment_skip	hold; evidence condition not met	GCA_001150985.1	SAMEA859917	Yersinia pseudotuberculosis	Host_Health_State_SD	diseased/patient	Sampling_Context_SD	clinical subject		clinical_subject_evidence=false	conditional_assignment_skip	"{""BioSample Host Health State"":""disease: otitis media"",""BioSample Isolation Source"":""middle ear"",""Host"":""Homo sapiens"",""Host Health State"":""disease: otitis media"",""Host_Cleaned"":""homo sapiens"",""Host_Original"":""Homo sapiens"",""Isolation Source"":""middle ear""}"						diseased/patient		{}
SC1-HHS-DISEASED-PATIENT-SAMPLING	conditional_assignment_skip	hold; evidence condition not met	GCA_001151185.1	SAMEA859881	Yersinia frederiksenii	Host_Health_State_SD	diseased/patient	Sampling_Context_SD	clinical subject		clinical_subject_evidence=false	conditional_assignment_skip	"{""BioSample Host Health State"":""disease: otitis media"",""BioSample Isolation Source"":""middle ear"",""Host"":""Homo sapiens"",""Host Health State"":""disease: otitis media"",""Host_Cleaned"":""homo sapiens"",""Host_Original"":""Homo sapiens"",""Isolation Source"":""middle ear""}"						diseased/patient		{}
