source_column,original_value,destination,proposed_value,confidence,decision,reason
Environment Medium,feces,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,fecal material envo 00002003,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,stool,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human faeces,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,healthy people,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Isolation Source,cattle feces,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,other,Sample_Type_SD,metadata descriptor/non-source,high,skip,metadata/admin descriptor should not become Sample_Type_SD
Isolation Source,human stool,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human faeces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human blood,Sample_Type_SD,blood,high,apply,safe
Environment Medium,urine,Sample_Type_SD,urine,high,apply,safe
Isolation Source,cattle faeces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human blood,Sample_Type_SD,blood,high,apply,safe
Isolation Source,chicken faeces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human sputum,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,chicken feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human blood sample,Sample_Type_SD,blood,high,apply,safe
Isolation Source,human stool,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces from patient with diarrhea,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,fecal microbiome of bos indicus,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human stool,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,cattle fecal samples,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human urine,Sample_Type_SD,urine,high,apply,safe
Host Disease,screening culture,Sample_Type_SD,surveillance sample,medium,skip,confidence is not high
Environment (Local Scale),shallow water sediment,Environment_Medium_SD,sediment,high,apply,safe
Isolation Source,hospital patients,Isolation_Source_SD,healthcare facility,high,apply,safe
Isolation Source,human stool,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),seawater,Environment_Medium_SD,seawater,high,apply,safe
Isolation Source,soil adjacent to human cadaver hip,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,fecal sample from stec infected patient,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),wastewater,Environment_Medium_SD,wastewater,high,apply,safe
Environment (Local Scale),soil envo 00001998,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,poultry feces,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),sediment,Environment_Medium_SD,sediment,high,apply,safe
Isolation Source,cattle feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,chicken feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,pig stool,Sample_Type_SD,feces/stool,high,apply,safe
Sample Type,biofilm,Environment_Medium_SD,biofilm,high,apply,safe
Isolation Source,pooled sheep faecal samples collected from floor of farm,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,fecal sample,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human urine,Sample_Type_SD,urine,high,apply,safe
Environment Medium,stool specimen,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Site,fecal,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human feces,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,surveillance,Sample_Type_SD,surveillance sample,medium,skip,confidence is not high
Host Disease,rectal swab,Sample_Type_SD,rectal swab,high,apply,safe
Isolation Source,stool sample from asymptomatic human participant,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,hospital,Isolation_Source_SD,healthcare facility,high,apply,safe
Isolation Source,feral swine feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,blood from patient with bacteremia,Sample_Type_SD,blood,high,apply,safe
Environment Medium,swine stool,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,feces,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,faecal matter,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human blood,Sample_Type_SD,blood,high,apply,safe
Environment Medium,fecal material,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),rhizosphere,Environment_Medium_SD,soil,high,apply,safe
Isolation Source,pig stool,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,nasal swab,Sample_Type_SD,nasal swab,high,apply,safe
Environment Medium,fecal sample,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,blood,Sample_Type_SD,blood,high,apply,safe
Isolation Source,human faeces,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),marine sediment envo 03000033,Environment_Medium_SD,sediment,high,apply,safe
Isolation Source,human feces,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,cold water disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,feces of feedlot cattle,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,urine,Sample_Type_SD,urine,high,apply,safe
Isolation Source,cattle stool,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human urine,Sample_Type_SD,urine,high,apply,safe
Environment (Local Scale),sediment,Environment_Medium_SD,sediment,high,apply,safe
Environment (Local Scale),saline sediment environment,Environment_Medium_SD,sediment,high,apply,safe
Isolation Source,pig feces,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),sea water environment,Environment_Medium_SD,seawater,high,apply,safe
Isolation Source,human sputum,Sample_Type_SD,sputum,high,apply,safe
Environment Medium,feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces cow,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,human faecal samples,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,pig feces,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,disease by infectious agent,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,legionaires disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,respiratory disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment Medium,blood envo 02000020,Sample_Type_SD,blood,high,apply,safe
Isolation Source,pig fecal swab,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),soil,Environment_Medium_SD,soil,high,apply,safe
Environment Medium,sputum,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,diseased pig,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,parkinson disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Host Disease,gastric disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,fecal sample from patient with hemolytic uremic syndrome,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),seawater,Environment_Medium_SD,seawater,high,apply,safe
Isolation Source,10 mm sulfoquinovose amended vegetarian human fecal microcosm,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,fecal slurry in 10 mm bicarbonate buffer,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human fecal sample,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feedlot cattle feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,pooled sheep fecal samples collected from floor of farm,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human faeces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,blood sample from septic human participant,Sample_Type_SD,blood,high,apply,safe
Environment Medium,human faeces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,mucosal tissue from crohns disease patient,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment Medium,rat faeces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feral swine feces,Sample_Type_SD,feces/stool,high,apply,safe
Environment Medium,sputum,Sample_Type_SD,sputum,high,apply,safe
Environment (Local Scale),rice paddy soil,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),deep nasal swab,Sample_Type_SD,nasal swab,high,apply,safe
Isolation Source,human blood culture,Sample_Type_SD,blood,high,apply,safe
Isolation Source,fattening pig feces,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),soil nfgnb,Environment_Medium_SD,soil,high,apply,safe
Environment (Local Scale),biofilm envo 00002034,Environment_Medium_SD,biofilm,high,apply,safe
Isolation Source,healthy dairy cow,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Isolation Source,dairy cow feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces from domestic chicken,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,animal swine feces,Sample_Type_SD,feces/stool,high,apply,safe
Host Disease,lung disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,sheep feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human fecal samples,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),intertidal sediment,Environment_Medium_SD,sediment,high,apply,safe
Isolation Source,cattle feces cows,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,cow feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,sputum of adult cystic fibrosis patient,Sample_Type_SD,sputum,high,apply,safe
Environment (Broad Scale),biofilm metagenome,Environment_Medium_SD,biofilm,high,apply,safe
Isolation Source,poultry faeces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Site,fecal sample,Sample_Type_SD,feces/stool,high,apply,safe
Environment (Local Scale),landfill soil,Environment_Medium_SD,soil,high,apply,safe
Host Disease,invasive disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Environment (Local Scale),seawater biome,Environment_Medium_SD,seawater,high,apply,safe
Isolation Source,feces pig,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,chicken stool,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human stool samples,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,sputum from cystic fibrosis patient,Sample_Type_SD,sputum,high,apply,safe
Host Disease,alcoholic liver disease,Host_Health_State_SD,diseased,medium,skip,confidence is not high
Isolation Source,sputum from cf patient,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,cow feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human feces in bioreactor,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,feces from asymptomatic of infected patient,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,fecal samples of broiler chickens,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,pig faeces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human blood,Sample_Type_SD,blood,high,apply,safe
Environment (Local Scale),sputum sample,Sample_Type_SD,sputum,high,apply,safe
Isolation Source,fecal sample from patient with diarrhea,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,human blood culture,Sample_Type_SD,blood,high,apply,safe
Isolation Source,human blood,Sample_Type_SD,blood,high,apply,safe
Host Disease,other,Sample_Type_SD,metadata descriptor/non-source,high,skip,metadata/admin descriptor should not become Sample_Type_SD
Environment (Local Scale),near shore sediment,Environment_Medium_SD,sediment,high,apply,safe
Isolation Source,cow feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,swine feces,Sample_Type_SD,feces/stool,high,apply,safe
Isolation Source,clinically healthy pig,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Host Disease,mass screening,Sample_Type_SD,surveillance sample,medium,skip,confidence is not high
Isolation Source,human blood monocytes,Sample_Type_SD,blood,high,apply,safe
Environment Medium,healthy skin,Host_Health_State_SD,healthy/no disease reported,medium,skip,confidence is not high
Isolation Source,poultry soil,Environment_Medium_SD,soil,high,apply,safe
