field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	row_count	reason	additive_destinations	proposed_destination	remove_from_current_field	action_class
Sample_Type_SD	laboratory	environment_local_scale		environment_local_scale:local environmental or facility feature	high	legacy_decomposition_candidate	8034	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD	stream	environment_local_scale		environment_local_scale:local environmental or facility feature	high	legacy_decomposition_candidate	5416	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD	manure	sample_material	environment_medium	sample_material:manure/fecal material|environment_medium:agricultural organic material	high	compatible_composite	4019	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Sample_Material_SD|Environment_Medium_SD	Sample_Material_SD|Environment_Medium_SD	false	composite_requires_split
Sample_Type_SD	farm	environment_local_scale		environment_local_scale:farm	high	legacy_decomposition_candidate	3734	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD	cave biofilm	environment_medium	environment_local_scale	environment_medium:environmental medium|environment_local_scale:local environmental or facility feature	medium	legacy_decomposition_candidate	1716	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Medium_SD|Environment_Local_Scale_SD	Environment_Medium_SD|Environment_Local_Scale_SD	false	composite_requires_split
Sample_Type_SD	drain	environment_local_scale		environment_local_scale:drain	high	legacy_decomposition_candidate	1546	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD	skin/body-surface swab	collection_device	anatomical_site|environment_local_scale	collection_device:collection device|anatomical_site:anatomical site or plant part|environment_local_scale:local environmental or facility feature	medium	compatible_composite	1517	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Sample_Collection_Device_SD|Host_Anatomical_Site_SD|Isolation_Site_SD|Environment_Local_Scale_SD	Sample_Collection_Device_SD|Host_Anatomical_Site_SD|Isolation_Site_SD|Environment_Local_Scale_SD	false	composite_requires_split
Sample_Type_SD	sink	environment_local_scale		environment_local_scale:sink	high	legacy_decomposition_candidate	1323	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Local_Scale_SD	Environment_Local_Scale_SD	false	legacy_compatibility_label
Sample_Type_SD	saline water	environment_medium		environment_medium:environmental medium	high	legacy_decomposition_candidate	1316	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Medium_SD	Environment_Medium_SD	false	legacy_compatibility_label
Sample_Type_SD	hospital wastewater	environment_medium	environment_local_scale	environment_medium:environmental medium|environment_local_scale:local environmental or facility feature	medium	legacy_decomposition_candidate	1185	Environmental semantics in Sample_Type_SD should be decomposed into environment fields while preserving compatibility if needed.	Environment_Medium_SD|Environment_Local_Scale_SD	Environment_Medium_SD|Environment_Local_Scale_SD	false	composite_requires_split
