current_field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	affected_assignments	additive_destinations	remove_from_current_field	action_class	confidence	rationale	source_flags
Environment_Broad_Scale_SD	food-associated environment	food_commodity		food_commodity:explicit food or commodity context	58756	Isolation_Source_SD|Sample_Type_SD	true	manual_review	high	Environment_Broad_Scale_SD should contain broad environmental settings only.	non_broad_values_in_environment_broad_scale
Environment_Broad_Scale_SD	aquatic sediment environment	environment_medium		environment_medium:environmental medium	46883	Environment_Medium_SD	true	manual_review	high	Environment_Broad_Scale_SD should contain broad environmental settings only.	non_broad_values_in_environment_broad_scale
Environment_Medium_SD_Broad	environmental material	source_context		source_context:broad source context	42562	Isolation_Source_SD	true	manual_review	high	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	non_medium_values_in_environment_medium_broad
Environment_Broad_Scale_SD	clinical/host-associated material	source_context		source_context:clinical or host-associated source context	40680	Isolation_Source_SD	true	manual_review	high	Environment_Broad_Scale_SD should contain broad environmental settings only.	non_broad_values_in_environment_broad_scale
Environment_Medium_SD	marine	environment_broad_scale		environment_broad_scale:marine environment	40376	Environment_Broad_Scale_SD	true	manual_review	high	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Environment_Broad_Scale_SD	wastewater/sewage	environment_medium		environment_medium:wastewater/sewage	37767	Environment_Medium_SD	true	manual_review	high	Environment_Broad_Scale_SD should contain broad environmental settings only.	non_broad_values_in_environment_broad_scale
Environment_Broad_Scale_SD	environmental sample	sampling_context		sampling_context:environmental	33064	Sampling_Context_SD	true	manual_review	high	Environment_Broad_Scale_SD should contain broad environmental settings only.	non_broad_values_in_environment_broad_scale
Host_Anatomical_Site_SD	feces/stool	anatomical_material	sample_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	23405	Host_Anatomical_Material_SD|Sample_Material_SD|Sample_Type_SD	true	manual_review	medium	Site field contains non-site material/context without an anatomical-site component.	conflicting_anatomical_site_fields
Environment_Local_Scale_SD	activated sludge	environment_medium		environment_medium:activated sludge	13130	Environment_Medium_SD	true	manual_review	high	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Environment_Local_Scale_SD	groundwater	environment_medium		environment_medium:groundwater	12834	Environment_Medium_SD	true	manual_review	high	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Host_Anatomical_Site_SD	cecal/gut content	anatomical_material	sample_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	9821	Host_Anatomical_Material_SD|Sample_Material_SD|Sample_Type_SD	true	manual_review	medium	Site field contains non-site material/context without an anatomical-site component.	conflicting_anatomical_site_fields
Isolation_Site_SD	plant root/rhizosphere	environment_local_scale	host_context	environment_local_scale:local environmental or facility feature|host_context:host-associated context|environment_local_scale:rhizosphere|host_context:plant-associated	8567	Environment_Local_Scale_SD|Host_Context_SD	true	manual_review	medium	Isolation_Site_SD should contain anatomical sites or plant parts only.	conflicting_anatomical_site_fields|non_site_values_in_isolation_site|remaining_non_site_values
Environment_Medium_SD	environmental material	source_context		source_context:broad source context	7929	Isolation_Source_SD	true	manual_review	high	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Sampling_Context_SD	clinical subject	source_context		source_context:broad source context	6141	Isolation_Source_SD	true	manual_review	high	Sampling_Context_SD should contain sampling-context values only.	invalid_sampling_context_values
Environment_Local_Scale_SD	intensive care unit	care_setting		care_setting:care setting	2869	Host_Care_Setting_SD	true	manual_review	high	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Environment_Local_Scale_SD	laboratory	sampling_context		sampling_context:laboratory context	2481	Sampling_Context_SD	true	manual_review	medium	Environment_Local_Scale_SD should contain local environmental or facility features only.	non_local_values_in_environment_local_scale
Environment_Medium_SD	laboratory	sampling_context		sampling_context:laboratory context	2251	Sampling_Context_SD	true	manual_review	medium	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Environment_Medium_SD_Broad	laboratory environment	environment_broad_scale		environment_broad_scale:laboratory environment	2251	Environment_Broad_Scale_SD	true	manual_review	high	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	non_medium_values_in_environment_medium_broad
Environment_Medium_SD	culture medium	sample_material	sample_processing	sample_material:culture medium|sample_processing:culture medium/preparation	2229	Sample_Material_SD|Sample_Type_SD|Sample_Processing_SD	true	manual_review	medium	Environment_Medium_SD should contain physical environmental media only.	non_medium_values_in_environment_medium
Environment_Medium_SD_Broad	culture medium	sample_material	sample_processing	sample_material:culture medium|sample_processing:culture medium/preparation	2229	Sample_Material_SD|Sample_Type_SD|Sample_Processing_SD	true	manual_review	medium	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	non_medium_values_in_environment_medium_broad
Sampling_Context_SD	plant-associated	host_context		host_context:host-associated context	1891	Host_Context_SD	true	manual_review	high	Sampling_Context_SD should contain sampling-context values only.	invalid_sampling_context_values
Environment_Medium_SD_Broad	built environment	environment_broad_scale		environment_broad_scale:broad environmental setting	1758	Environment_Broad_Scale_SD	true	manual_review	high	Environment_Medium_SD_Broad should contain broad environmental medium classes only.	non_medium_values_in_environment_medium_broad
