field	strict_meaning	allowed_semantic_classes	field_role	phase1_action
Host_SD	Biological host taxon only.	host_taxon	strict_or_targeted	audit_only
Host_Context_SD	Broad host-associated context where taxon is unavailable or source-derived.	host_context	strict_or_targeted	audit_only
Host_Disease_SD	Named disease or defensible disease class only.	disease	strict_or_targeted	audit_only
Host_Health_State_SD	Strict health state only: healthy, diseased, asymptomatic, symptomatic, unknown.	health_state	strict_or_targeted	audit_only
Host_Production_Context_SD	Production/husbandry context when applicable.	production_context	strict_or_targeted	audit_only
Host_Anatomical_Site_SD	Anatomical part of a confirmed biological host.	anatomical_site	strict_or_targeted	audit_only
Host_Hospitalization_Status_SD	Hospitalization status only.	hospitalization_status	strict_or_targeted	audit_only
Host_Vital_Status_SD	Host vital status only.	vital_status	strict_or_targeted	audit_only
Host_Colonization_Status_SD	Host colonization or carriage status only.	colonization_status	strict_or_targeted	audit_only
Host_Disease_Stage_SD	Disease stage/phase only.	disease_stage	strict_or_targeted	audit_only
Host_Exposure_Context_SD	Exposure or contact context only.	exposure_context	strict_or_targeted	audit_only
Sample_Type_SD	Backward-compatible NCBI-style umbrella sample type; decompose into strict derived axes before migration.	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context	legacy_compatibility	audit_only
Sample_Type_SD_Broad	Backward-compatible broad sample type/context umbrella.	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context|source_context	legacy_compatibility	audit_only
Sample_Material_SD	Strict physical specimen or material axis.	sample_material	strict_or_targeted	audit_only
Sampling_Context_SD	Sampling context when material/source alone is not a physical specimen.	sampling_context	strict_or_targeted	audit_only
Host_Anatomical_Material_SD	Host-derived material such as blood, stool, pus or CSF; distinct from anatomical site.	anatomical_material	strict_or_targeted	audit_only
Isolation_Source_SD	Backward-compatible normalized physical/environmental/local source value; not a strict context-only field.	anatomical_material|environment_broad_scale|environment_local_scale|environment_medium|food_commodity|host_context|sample_material|source_context	legacy_compatibility	audit_only
Isolation_Source_SD_Broad	Broad source-context umbrella; may include compatibility categories requiring decomposition.	anatomical_material|environment_broad_scale|environment_medium|food_commodity|host_context|sample_material|source_context	legacy_compatibility	audit_only
Isolation_Site_SD	Sampling/isolation site when no host-specific assertion is made, or legacy site field pending contract decision.	anatomical_site	strict_or_targeted	audit_only
Environment_Medium_SD	Physical environmental medium only.	environment_medium	strict_or_targeted	audit_only
Environment_Medium_SD_Broad	Broad environmental medium class only.	environment_medium	strict_or_targeted	audit_only
Environment_Broad_Scale_SD	Broad environmental setting.	environment_broad_scale	strict_or_targeted	audit_only
Environment_Local_Scale_SD	Local environmental or facility feature.	environment_local_scale	strict_or_targeted	audit_only
