field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	additive_destinations	remove_from_current_field	review_required	action_class	row_count	reason	expected_semantic_classes
Environment_Broad_Scale_SD	host-associated gut/oral/fecal environment	environment_broad_scale	host_context	environment_broad_scale:host-associated gut/oral/fecal environment|host_context:host-associated	high	compatible_composite	Host_Context_SD	false	true	composite_requires_split	372564	environment_broad_scale:host-associated gut/oral/fecal environment; host_context:host-associated	environment_broad_scale
Sample_Material_SD	feces/stool	sample_material	anatomical_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	medium	compatible_composite	Sample_Type_SD|Host_Anatomical_Material_SD	false	true	composite_requires_split	341046	sample_material:physical specimen/material; anatomical_material:host anatomical material	sample_material
Sample_Type_SD	feces/stool	sample_material	anatomical_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	medium	compatible_composite	Sample_Material_SD|Host_Anatomical_Material_SD	false	true	composite_requires_split	340874	sample_material:physical specimen/material; anatomical_material:host anatomical material	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context
Sample_Type_SD_Broad	feces/stool	sample_material	anatomical_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	medium	compatible_composite	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD	false	true	composite_requires_split	340874	sample_material:physical specimen/material; anatomical_material:host anatomical material	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context|source_context
Host_Anatomical_Material_SD	feces/stool	anatomical_material	sample_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	medium	compatible_composite	Sample_Material_SD|Sample_Type_SD	false	true	composite_requires_split	266715	sample_material:physical specimen/material; anatomical_material:host anatomical material	anatomical_material
Sample_Material_SD	blood	sample_material	anatomical_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	medium	compatible_composite	Sample_Type_SD|Host_Anatomical_Material_SD	false	true	composite_requires_split	129026	sample_material:physical specimen/material; anatomical_material:host anatomical material	sample_material
Sample_Type_SD	blood	sample_material	anatomical_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	medium	compatible_composite	Sample_Material_SD|Host_Anatomical_Material_SD	false	true	composite_requires_split	119297	sample_material:physical specimen/material; anatomical_material:host anatomical material	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context
Host_Anatomical_Material_SD	blood	anatomical_material	sample_material	sample_material:physical specimen/material|anatomical_material:host anatomical material	medium	compatible_composite	Sample_Material_SD|Sample_Type_SD	false	true	composite_requires_split	114256	sample_material:physical specimen/material; anatomical_material:host anatomical material	anatomical_material
Sample_Type_SD_Broad	gut content	sample_material	anatomical_material|anatomical_site	sample_material:gut/intestinal content|anatomical_material:host anatomical material|anatomical_site:gastrointestinal tract	high	compatible_composite	Sample_Material_SD|Sample_Type_SD|Host_Anatomical_Material_SD|Host_Anatomical_Site_SD|Isolation_Site_SD	false	true	composite_requires_split	94192	sample_material:gut/intestinal content; anatomical_material:host anatomical material; anatomical_site:gastrointestinal tract	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context|source_context
Sample_Type_SD_Broad	culture	sample_entity	sample_processing	sample_entity:culture entity|sample_processing:cultured	high	compatible_composite	Sample_Entity_SD|Sample_Type_SD|Sample_Processing_SD	false	true	composite_requires_split	93689	sample_entity:culture entity; sample_processing:cultured	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context|source_context
Sample_Type_SD	gut content	sample_material	anatomical_material|anatomical_site	sample_material:gut/intestinal content|anatomical_material:host anatomical material|anatomical_site:gastrointestinal tract	high	compatible_composite	Sample_Material_SD|Host_Anatomical_Material_SD|Host_Anatomical_Site_SD|Isolation_Site_SD	false	true	composite_requires_split	91341	sample_material:gut/intestinal content; anatomical_material:host anatomical material; anatomical_site:gastrointestinal tract	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context
Environment_Broad_Scale_SD	freshwater environment	environment_broad_scale	environment_medium	environment_medium:environmental medium|environment_broad_scale:broad environmental setting	medium	compatible_composite	Environment_Medium_SD	false	true	composite_requires_split	81887	environment_medium:environmental medium; environment_broad_scale:broad environmental setting	environment_broad_scale
Isolation_Source_SD	poultry meat/product	food_commodity	host_context	food_commodity:explicit food or commodity context|host_context:host-associated context	medium	compatible_composite	Sample_Type_SD|Host_Context_SD	false	true	composite_requires_split	81819	food_commodity:explicit food or commodity context; host_context:host-associated context	anatomical_material|environment_broad_scale|environment_local_scale|environment_medium|food_commodity|host_context|sample_material|source_context
Sample_Type_SD_Broad	swab	sample_material	collection_device	sample_material:swab specimen|collection_device:swab	high	compatible_composite	Sample_Material_SD|Sample_Type_SD|Sample_Collection_Device_SD	false	true	composite_requires_split	70476	sample_material:swab specimen; collection_device:swab	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context|source_context
Sample_Type_SD	cell culture	sample_entity	sample_processing	sample_entity:cell culture|sample_processing:cultured	high	compatible_composite	Sample_Entity_SD|Sample_Processing_SD	false	true	composite_requires_split	54613	sample_entity:cell culture; sample_processing:cultured	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context
Environment_Medium_SD	agricultural/food-production water	environment_medium	food_commodity	food_commodity:explicit food or commodity context|environment_medium:environmental medium	medium	compatible_composite	Isolation_Source_SD|Sample_Type_SD	false	true	composite_requires_split	34580	food_commodity:explicit food or commodity context; environment_medium:environmental medium	environment_medium
Sample_Type_SD	rectal swab	sample_material	collection_device|anatomical_site	collection_device:collection device|anatomical_site:anatomical site or plant part|sample_material:swab specimen|collection_device:swab	medium	compatible_composite	Sample_Material_SD|Sample_Collection_Device_SD|Host_Anatomical_Site_SD|Isolation_Site_SD	false	true	composite_requires_split	26828	collection_device:collection device; anatomical_site:anatomical site or plant part; sample_material:swab specimen; collection_device:swab	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context
Sample_Type_SD	culture	sample_entity	sample_processing	sample_entity:culture entity|sample_processing:cultured	high	compatible_composite	Sample_Entity_SD|Sample_Processing_SD	false	true	composite_requires_split	21152	sample_entity:culture entity; sample_processing:cultured	collection_device|data_product|food_commodity|sample_entity|sample_material|sample_processing|sampling_context
