field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	additive_destinations	remove_from_current_field	review_required	action_class	row_count	reason	expected_semantic_classes
Environment_Broad_Scale_SD	host-associated gut/oral/fecal environment	environment_broad_scale	host_context	environment_broad_scale:host-associated gut/oral/fecal environment|host_context:host-associated	high	compatible_composite	Host_Context_SD	false	true	composite_requires_split	372564	environment_broad_scale:host-associated gut/oral/fecal environment; host_context:host-associated	environment_broad_scale
Environment_Broad_Scale_SD	freshwater environment	environment_broad_scale	environment_medium	environment_medium:environmental medium|environment_broad_scale:broad environmental setting	medium	compatible_composite	Environment_Medium_SD	false	true	composite_requires_split	81887	environment_medium:environmental medium; environment_broad_scale:broad environmental setting	environment_broad_scale
Environment_Broad_Scale_SD	host-associated environment	environment_broad_scale	host_context|source_context	environment_broad_scale:broad environmental setting|host_context:host-associated context|source_context:broad source context	medium	compatible_composite	Host_Context_SD|Isolation_Source_SD	false	true	composite_requires_split	19347	environment_broad_scale:broad environmental setting; host_context:host-associated context; source_context:broad source context	environment_broad_scale
Environment_Broad_Scale_SD	host-associated gut environment	environment_broad_scale	host_context	environment_broad_scale:host-associated gut environment|host_context:host-associated	high	compatible_composite	Host_Context_SD	false	true	composite_requires_split	17028	environment_broad_scale:host-associated gut environment; host_context:host-associated	environment_broad_scale
Environment_Broad_Scale_SD	plant-associated environment	environment_broad_scale	host_context	environment_broad_scale:broad environmental setting|host_context:host-associated context	medium	compatible_composite	Host_Context_SD	false	true	composite_requires_split	15467	environment_broad_scale:broad environmental setting; host_context:host-associated context	environment_broad_scale
Environment_Broad_Scale_SD	air/built environment	environment_broad_scale	environment_medium	environment_medium:environmental medium|environment_broad_scale:broad environmental setting	medium	compatible_composite	Environment_Medium_SD	false	true	composite_requires_split	792	environment_medium:environmental medium; environment_broad_scale:broad environmental setting	environment_broad_scale
Environment_Local_Scale_SD	food processing facility	environment_local_scale	food_commodity	food_commodity:explicit food or commodity context|environment_local_scale:local environmental or facility feature	medium	compatible_composite	Isolation_Source_SD|Sample_Type_SD	false	true	composite_requires_split	1415	food_commodity:explicit food or commodity context; environment_local_scale:local environmental or facility feature	environment_local_scale
Environment_Local_Scale_SD	dairy farm	environment_local_scale	production_context|host_context	production_context:dairy production setting|host_context:cattle/livestock|environment_local_scale:farm	high	compatible_composite	Host_Production_Context_SD|Host_Context_SD	false	true	composite_requires_split	1225	production_context:dairy production setting; host_context:cattle/livestock; environment_local_scale:farm	environment_local_scale
Environment_Local_Scale_SD	long-term care facility	environment_local_scale	care_setting	care_setting:care setting|environment_local_scale:local environmental or facility feature	medium	compatible_composite	Host_Care_Setting_SD	false	true	composite_requires_split	843	care_setting:care setting; environment_local_scale:local environmental or facility feature	environment_local_scale
Environment_Local_Scale_SD	surface water layer	environment_local_scale	environment_medium	environment_medium:environmental medium|environment_local_scale:local environmental or facility feature	medium	compatible_composite	Environment_Medium_SD	false	true	composite_requires_split	795	environment_medium:environmental medium; environment_local_scale:local environmental or facility feature	environment_local_scale
Environment_Local_Scale_SD	rhizosphere	environment_local_scale	host_context	environment_local_scale:rhizosphere|host_context:plant-associated	medium	compatible_composite	Host_Context_SD	false	true	composite_requires_split	665	environment_local_scale:rhizosphere; host_context:plant-associated	environment_local_scale
Environment_Local_Scale_SD	food-contact surface	environment_local_scale	food_commodity	food_commodity:explicit food or commodity context|environment_local_scale:local environmental or facility feature	medium	compatible_composite	Isolation_Source_SD|Sample_Type_SD	false	true	composite_requires_split	373	food_commodity:explicit food or commodity context; environment_local_scale:local environmental or facility feature	environment_local_scale
Environment_Local_Scale_SD	built environment surface	environment_local_scale	environment_broad_scale	environment_local_scale:local environmental or facility feature|environment_broad_scale:broad environmental setting	medium	compatible_composite	Environment_Broad_Scale_SD	false	true	composite_requires_split	1	environment_local_scale:local environmental or facility feature; environment_broad_scale:broad environmental setting	environment_local_scale
Environment_Medium_SD	agricultural/food-production water	environment_medium	food_commodity	food_commodity:explicit food or commodity context|environment_medium:environmental medium	medium	compatible_composite	Isolation_Source_SD|Sample_Type_SD	false	true	composite_requires_split	34580	food_commodity:explicit food or commodity context; environment_medium:environmental medium	environment_medium
Environment_Medium_SD	lake water	environment_medium	environment_local_scale	environment_medium:environmental medium|environment_local_scale:local environmental or facility feature	medium	compatible_composite	Environment_Local_Scale_SD	false	true	composite_requires_split	17515	environment_medium:environmental medium; environment_local_scale:local environmental or facility feature	environment_medium
Environment_Medium_SD	river water	environment_medium	environment_local_scale	environment_medium:environmental medium|environment_local_scale:local environmental or facility feature	medium	compatible_composite	Environment_Local_Scale_SD	false	true	composite_requires_split	6305	environment_medium:environmental medium; environment_local_scale:local environmental or facility feature	environment_medium
Environment_Medium_SD	manure	environment_medium	sample_material	sample_material:manure/fecal material|environment_medium:agricultural organic material	high	compatible_composite	Sample_Material_SD|Sample_Type_SD	false	true	composite_requires_split	4625	sample_material:manure/fecal material; environment_medium:agricultural organic material	environment_medium
Environment_Medium_SD	surface water	environment_medium	environment_local_scale	environment_medium:environmental medium|environment_local_scale:local environmental or facility feature	medium	compatible_composite	Environment_Local_Scale_SD	false	true	composite_requires_split	2882	environment_medium:environmental medium; environment_local_scale:local environmental or facility feature	environment_medium
